System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:24:23:793, 146592264512035,    0.109,    5.000,  800,   3.759,   0.411,   0.114,   1.861,   0.203,   0.056, 40,  0,   0.702,   0.077,   0.021,   0.107,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:23:902, 146592570486110,    0.218,   11.000,  800,   2.512,   0.684,   0.190,   0.722,   0.282,   0.078, 39,  0,   0.673,   0.150,   0.042,   0.026,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:010, 146592873926404,    0.326,   29.000,  800,   3.439,   1.056,   0.293,   1.566,   0.451,   0.125, 40,  0,   0.759,   0.232,   0.064,   0.003,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:116, 146593173515560,    0.433,   19.000,  900,   3.192,   1.396,   0.388,   1.343,   0.594,   0.165, 39,  0,   0.586,   0.295,   0.082,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:227, 146593486392764,    0.544,   38.000,  900,   3.788,   1.819,   0.505,   1.897,   0.806,   0.224, 41,  0,   0.784,   0.382,   0.106,   0.015,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:339, 146593798709610,    0.656,   32.000, 2500,   6.711,   2.565,   0.713,   4.758,   1.335,   0.371, 44,  0,   1.151,   0.510,   0.142,   0.014,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:450, 146594111416229,    0.767,   18.000,  900,   5.134,   3.137,   0.871,   3.134,   1.684,   0.468, 40,  0,   0.837,   0.603,   0.168,   0.020,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:555, 146594405697616,    0.872,   17.000,  900,   3.159,   3.468,   0.963,   1.305,   1.821,   0.506, 40,  0,   0.620,   0.668,   0.186,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:716, 146594860487574,    1.034,   32.000, 1500,   3.898,   4.099,   1.139,   1.968,   2.140,   0.594, 40,  0,   0.773,   0.793,   0.220,   0.038,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:24:777, 146595029294127,    1.094,   17.000,  900,   4.235,   4.354,   1.209,   2.293,   2.277,   0.633, 40,  0,   0.766,   0.839,   0.233,   0.054,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
