System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:23:35:653, 146457087031215,    0.103,    6.000,  800,   4.487,   0.463,   0.129,   2.523,   0.260,   0.072, 39,  0,   0.751,   0.078,   0.022,   0.161,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:35:757, 146457381287308,    0.208,   35.000, 1500,   3.796,   0.861,   0.239,   1.810,   0.450,   0.125, 40,  0,   0.826,   0.164,   0.046,   0.094,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:35:871, 146457699590505,    0.321,   13.000, 2500,   4.497,   1.371,   0.381,   2.581,   0.743,   0.206, 42,  0,   0.978,   0.275,   0.076,   0.004,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:35:978, 146458002394667,    0.429,    6.000,  800,   2.891,   1.682,   0.467,   1.152,   0.867,   0.241, 40,  0,   0.620,   0.342,   0.095,   0.000,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:088, 146458309351029,    0.539,   13.000,  800,   2.634,   1.970,   0.547,   0.820,   0.957,   0.266, 40,  0,   0.711,   0.420,   0.117,   0.012,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:195, 146458610778047,    0.646,   17.000,  800,   2.739,   2.264,   0.629,   0.914,   1.055,   0.293, 40,  0,   0.731,   0.498,   0.138,   0.007,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:306, 146458920559304,    0.756,   25.000,  900,   3.436,   2.643,   0.734,   1.577,   1.229,   0.341, 40,  0,   0.675,   0.573,   0.159,   0.003,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:418, 146459235295282,    0.868,   16.000,  900,   3.107,   2.992,   0.831,   1.261,   1.370,   0.381, 40,  0,   0.618,   0.642,   0.178,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:528, 146459545193458,    0.979,   20.000,  900,   3.425,   3.370,   0.936,   1.406,   1.525,   0.424, 41,  0,   0.780,   0.728,   0.202,   0.131,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:638, 146459853122606,    1.088,   19.000,  900,   3.297,   3.731,   1.036,   1.431,   1.682,   0.467, 40,  0,   0.632,   0.797,   0.221,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:741, 146460144065463,    1.192,   26.000, 1500,   4.173,   4.164,   1.157,   2.235,   1.914,   0.532, 41,  0,   0.735,   0.873,   0.243,   0.045,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:854, 146460459960990,    1.304,   19.000,  900,   3.454,   4.552,   1.264,   1.580,   2.092,   0.581, 40,  0,   0.718,   0.954,   0.265,   0.008,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:36:961, 146460761032727,    1.412,   38.000, 2200,   5.517,   5.144,   1.429,   3.586,   2.476,   0.688, 44,  0,   1.114,   1.073,   0.298,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:073, 146461075213213,    1.524,   17.000, 2600,   6.279,   5.846,   1.624,   4.341,   2.962,   0.823, 43,  0,   0.840,   1.167,   0.324,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:185, 146461390859767,    1.636,   15.000,  900,   4.223,   6.321,   1.756,   2.360,   3.227,   0.896, 40,  0,   0.614,   1.236,   0.343,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:293, 146461693473243,    1.744,   17.000, 1500,   4.045,   6.757,   1.877,   2.222,   3.466,   0.963, 41,  0,   0.624,   1.304,   0.362,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:401, 146461996283433,    1.852,   14.000, 1500,   4.113,   7.200,   2.000,   2.261,   3.710,   1.031, 41,  0,   0.605,   1.369,   0.380,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:507, 146462294972364,    1.958,   21.000,  900,   4.191,   7.646,   2.124,   2.304,   3.955,   1.099, 40,  0,   0.676,   1.441,   0.400,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:617, 146462603062750,    2.068,   29.000, 2600,   4.911,   8.185,   2.274,   3.087,   4.294,   1.193, 43,  0,   0.742,   1.522,   0.423,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:730, 146462919074656,    2.180,   29.000, 2800,   7.639,   9.045,   2.512,   5.711,   4.937,   1.371, 44,  0,   0.773,   1.609,   0.447,   0.021,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:840, 146463230081138,    2.291,   24.000, 2800,   7.135,   9.835,   2.732,   5.246,   5.518,   1.533, 45,  0,   0.714,   1.688,   0.469,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:37:951, 146463540025646,    2.401,   27.000, 2800,   7.827,  10.699,   2.972,   6.001,   6.180,   1.717, 43,  0,   0.765,   1.773,   0.492,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:059, 146463845483159,    2.510,   36.000, 2800,  15.574,  12.393,   3.443,  13.456,   7.644,   2.123, 50,  0,   1.439,   1.929,   0.536,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:163, 146464137731040,    2.614,   37.000, 2800,   8.583,  13.286,   3.691,   6.583,   8.329,   2.314, 44,  0,   1.090,   2.042,   0.567,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:275, 146464451250229,    2.726,   36.000, 3500,  10.001,  14.403,   4.001,   8.066,   9.230,   2.564, 49,  0,   0.989,   2.153,   0.598,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:386, 146464763136243,    2.837,   25.000, 2800,   6.441,  15.118,   4.200,   4.410,   9.720,   2.700, 44,  0,   0.946,   2.258,   0.627,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:492, 146465060324546,    2.943,   26.000, 3400,   5.569,  15.708,   4.363,   3.736,  10.115,   2.810, 43,  0,   1.149,   2.380,   0.661,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:601, 146465366640451,    3.052,   11.000, 1000,   5.105,  16.265,   4.518,   3.105,  10.454,   2.904, 40,  0,   0.750,   2.461,   0.684,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:730, 146465730808574,    3.182,   32.000, 1000,   2.810,  16.629,   4.619,   1.065,  10.592,   2.942, 40,  0,   0.623,   2.542,   0.706,   0.037,   0.056,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:822, 146465985454527,    3.272,    5.000,  900,   2.245,  16.833,   4.676,   0.495,  10.637,   2.955, 40,  0,   0.610,   2.598,   0.722,   0.017,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:38:932, 146466296551528,    3.383,    2.000,  900,   1.863,  17.039,   4.733,   0.242,  10.664,   2.962, 39,  0,   0.558,   2.659,   0.739,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:040, 146466597928669,    3.490,    3.000,  900,   1.961,  17.249,   4.792,   0.320,  10.698,   2.972, 40,  0,   0.579,   2.721,   0.756,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:151, 146466911282886,    3.602,   12.000, 2800,   5.406,  17.853,   4.959,   3.500,  11.089,   3.080, 41,  0,   0.956,   2.828,   0.786,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:260, 146467217567935,    3.711,    1.000,  900,   1.836,  18.053,   5.015,   0.263,  11.117,   3.088, 39,  0,   0.550,   2.888,   0.802,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:372, 146467532116388,    3.823,    1.000,  900,   1.750,  18.249,   5.069,   0.156,  11.135,   3.093, 39,  0,   0.552,   2.950,   0.819,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:479, 146467830710389,    3.929,    9.000,  900,   2.475,  18.512,   5.142,   0.741,  11.214,   3.115, 40,  0,   0.606,   3.014,   0.837,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:589, 146468141572997,    4.040,   25.000,  900,   3.358,  18.884,   5.246,   1.490,  11.378,   3.161, 40,  0,   0.761,   3.099,   0.861,   0.037,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:703, 146468460644493,    4.154,   33.000, 3300,  10.849,  20.117,   5.588,   8.764,  12.374,   3.437, 51,  0,   0.992,   3.211,   0.892,   0.237,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:811, 146468763048987,    4.261,   14.000, 1500,  11.148,  21.317,   5.921,   9.037,  13.348,   3.708, 42,  0,   0.834,   3.301,   0.917,   0.103,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:23:39:916, 146469059410400,    4.367,   14.000,  900,   3.152,  21.650,   6.014,   1.286,  13.483,   3.745, 40,  0,   0.755,   3.381,   0.939,   0.042,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
