System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:17:11:901, 145379512605308,    0.105,   11.000,  800,   2.909,   0.307,   0.085,   1.123,   0.118,   0.033, 40,  0,   0.691,   0.073,   0.020,   0.034,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:011, 145379820390147,    0.215,   10.000,  800,   2.505,   0.581,   0.161,   0.699,   0.195,   0.054, 39,  0,   0.660,   0.145,   0.040,   0.007,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:118, 145380121334637,    0.322,   10.000,  900,   2.475,   0.847,   0.235,   0.708,   0.271,   0.075, 40,  0,   0.641,   0.214,   0.059,   0.006,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:230, 145380436706467,    0.435,   24.000,  800,   3.213,   1.207,   0.335,   1.377,   0.426,   0.118, 39,  0,   0.749,   0.298,   0.083,   0.000,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:337, 145380736675673,    0.541,   37.000, 2300,   5.900,   1.838,   0.510,   3.899,   0.842,   0.234, 45,  0,   1.198,   0.426,   0.118,   0.033,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:446, 145381042770161,    0.650,   19.000,  900,   4.301,   2.307,   0.641,   2.372,   1.101,   0.306, 41,  0,   0.734,   0.506,   0.141,   0.008,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:559, 145381361053663,    0.764,   17.000,  900,   3.245,   2.674,   0.743,   1.354,   1.254,   0.348, 40,  0,   0.653,   0.580,   0.161,   0.010,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:707, 145381775831807,    0.911,   32.000, 1500,   3.580,   3.203,   0.890,   1.714,   1.507,   0.419, 39,  0,   0.705,   0.684,   0.190,   0.023,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:775, 145381966617245,    0.979,   22.000, 1500,   5.047,   3.546,   0.985,   3.039,   1.714,   0.476, 41,  0,   0.881,   0.744,   0.207,   0.098,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:883, 145382268714435,    1.087,   16.000,  900,   3.434,   3.916,   1.088,   1.540,   1.880,   0.522, 40,  0,   0.633,   0.812,   0.226,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:12:994, 145382579546188,    1.198,   17.000, 1500,   3.442,   4.297,   1.193,   1.580,   2.054,   0.571, 42,  0,   0.638,   0.883,   0.245,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:13:103, 145382888573362,    1.308,   19.000, 2500,   5.564,   4.909,   1.364,   3.692,   2.461,   0.684, 43,  0,   0.729,   0.963,   0.268,   0.006,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:13:211, 145383191240567,    1.415,   18.000,  900,   4.802,   5.427,   1.507,   2.739,   2.756,   0.766, 40,  0,   0.823,   1.052,   0.292,   0.169,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:13:320, 145383496958778,    1.524,   16.000,  900,   3.169,   5.772,   1.603,   1.316,   2.899,   0.805, 40,  0,   0.641,   1.122,   0.312,   0.000,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:13:434, 145383816556030,    1.638,   28.000, 2500,   5.210,   6.365,   1.768,   3.283,   3.273,   0.909, 44,  0,   1.037,   1.240,   0.344,   0.000,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:13:540, 145384115099213,    1.745,   20.000,  900,   6.895,   7.098,   1.972,   4.845,   3.788,   1.052, 40,  0,   0.986,   1.344,   0.373,   0.084,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:13:713, 145384601794667,    1.918,   30.000,  900,   3.523,   7.708,   2.141,   1.600,   4.065,   1.129, 40,  0,   0.707,   1.467,   0.408,   0.032,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
