System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:11:53:451, 144485302715030,    0.115,   14.000, 2800,   7.752,   0.890,   0.247,   5.870,   0.674,   0.187, 41,  0,   0.692,   0.080,   0.022,   0.031,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:53:559, 144485605892029,    0.223,   14.000, 2800,   6.972,   1.643,   0.456,   5.092,   1.224,   0.340, 44,  0,   0.716,   0.157,   0.044,   0.014,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:53:670, 144485918300334,    0.334,   23.000, 2800,   8.876,   2.631,   0.731,   6.945,   1.997,   0.555, 44,  0,   0.743,   0.239,   0.067,   0.039,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:53:779, 144486223983294,    0.443,   13.000, 2800,   6.370,   3.324,   0.923,   4.502,   2.487,   0.691, 43,  0,   0.676,   0.313,   0.087,   0.000,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:53:883, 144486515882505,    0.547,   19.000, 2800,   6.787,   4.030,   1.119,   4.798,   2.985,   0.829, 43,  0,   0.814,   0.398,   0.110,   0.082,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:53:994, 144486827676953,    0.658,   18.000, 1800,   5.560,   4.647,   1.291,   3.559,   3.381,   0.939, 42,  0,   0.778,   0.484,   0.134,   0.112,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:106, 144487142475494,    0.770,   26.000, 2800,  11.422,   5.927,   1.647,   9.411,   4.436,   1.232, 44,  0,   1.166,   0.615,   0.171,   0.024,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:211, 144487437288517,    0.875,   17.000, 2800,   6.914,   6.653,   1.848,   4.732,   4.932,   1.370, 44,  0,   1.037,   0.724,   0.201,   0.208,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:11:54:325, 144487756928545,    0.989,   23.000, 1000,   4.753,   7.194,   1.998,   2.567,   5.225,   1.451, 40,  0,   1.057,   0.844,   0.234,   0.188,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:432, 144488059648546,    1.097,   14.000,  900,   2.837,   7.500,   2.083,   1.061,   5.339,   1.483, 40,  0,   0.638,   0.913,   0.254,   0.000,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:540, 144488361838075,    1.204,   16.000,  900,   3.009,   7.824,   2.173,   1.126,   5.460,   1.517, 40,  0,   0.739,   0.992,   0.276,   0.074,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:700, 144488810819829,    1.364,   18.000,  900,   2.805,   8.273,   2.298,   0.966,   5.615,   1.560, 40,  0,   0.626,   1.092,   0.303,   0.055,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:757, 144488971763372,    1.421,    4.000,  900,   2.163,   8.397,   2.332,   0.412,   5.638,   1.566, 40,  0,   0.655,   1.130,   0.314,   0.017,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:868, 144489281478558,    1.532,    3.000,  900,   2.036,   8.621,   2.395,   0.361,   5.678,   1.577, 39,  0,   0.598,   1.196,   0.332,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:54:977, 144489588168407,    1.641,    9.000,  900,   2.487,   8.893,   2.470,   0.736,   5.758,   1.600, 40,  0,   0.625,   1.264,   0.351,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:091, 144489908345915,    1.755,    4.000,  900,   2.132,   9.136,   2.538,   0.435,   5.808,   1.613, 39,  0,   0.610,   1.334,   0.370,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:196, 144490202336271,    1.860,   14.000, 2800,   5.208,   9.681,   2.689,   3.269,   6.150,   1.708, 44,  0,   1.005,   1.439,   0.400,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:304, 144490506640798,    1.968,    6.000,  900,   2.617,   9.965,   2.768,   0.930,   6.251,   1.736, 40,  0,   0.596,   1.503,   0.418,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:419, 144490829422395,    2.083,    5.000,  900,   2.084,  10.204,   2.834,   0.417,   6.299,   1.750, 40,  0,   0.559,   1.568,   0.435,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:528, 144491135720467,    2.192,    4.000,  900,   2.043,  10.427,   2.896,   0.393,   6.342,   1.762, 38,  0,   0.540,   1.627,   0.452,   0.000,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:694, 144491603317364,    2.359,   21.000, 1500,   2.609,  10.861,   3.017,   0.868,   6.486,   1.802, 40,  0,   0.603,   1.727,   0.480,   0.018,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:11:55:747, 144491749660494,    2.411,    2.000, 1500,   2.461,  10.990,   3.053,   0.662,   6.521,   1.811, 39,  0,   0.679,   1.762,   0.490,   0.036,   0.099,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:854, 144492052457309,    2.519,    1.000,  800,   1.778,  11.181,   3.106,   0.186,   6.541,   1.817, 39,  0,   0.558,   1.823,   0.506,   0.000,   0.099,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:55:974, 144492388856908,    2.638,   14.000,  900,   2.581,  11.491,   3.192,   0.864,   6.644,   1.846, 39,  0,   0.637,   1.899,   0.527,   0.000,   0.099,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:073, 144492667034569,    2.737,   35.000, 1500,   5.228,  12.008,   3.336,   3.175,   6.959,   1.933, 40,  0,   0.960,   1.994,   0.554,   0.109,   0.110,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:183, 144492974993699,    2.847,   16.000, 3500,   9.903,  13.094,   3.637,   7.786,   7.813,   2.170, 54,  0,   0.943,   2.097,   0.583,   0.235,   0.135,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:289, 144493272607293,    2.953,   23.000, 2800,  14.821,  14.665,   4.074,  12.692,   9.158,   2.544, 44,  0,   1.353,   2.241,   0.622,   0.058,   0.142,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:401, 144493586813827,    3.065,    2.000,  800,   2.102,  14.901,   4.139,   0.392,   9.202,   2.556, 40,  0,   0.621,   2.310,   0.642,   0.048,   0.147,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:507, 144493886260982,    3.172,    2.000,  900,   1.890,  15.102,   4.195,   0.268,   9.231,   2.564, 40,  0,   0.571,   2.371,   0.659,   0.000,   0.147,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:622, 144494208397475,    3.286,    6.000,  900,   2.245,  15.360,   4.267,   0.548,   9.293,   2.582, 39,  0,   0.576,   2.437,   0.677,   0.000,   0.147,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:728, 144494506656128,    3.393,   11.000, 1500,   2.815,  15.659,   4.350,   0.987,   9.398,   2.611, 39,  0,   0.627,   2.504,   0.696,   0.069,   0.154,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:836, 144494808680351,    3.500,    2.000,  800,   1.866,  15.859,   4.405,   0.232,   9.423,   2.618, 39,  0,   0.582,   2.566,   0.713,   0.000,   0.154,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:56:946, 144495117510909,    3.610,    7.000,  900,   2.287,  16.111,   4.475,   0.528,   9.481,   2.634, 40,  0,   0.610,   2.634,   0.732,   0.035,   0.158,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:57:060, 144495436377759,    3.724,   14.000, 3500,   9.296,  17.167,   4.768,   7.439,  10.326,   2.868, 54,  0,   0.806,   2.725,   0.757,   0.097,   0.169,   0.047,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:57:170, 144495746564616,    3.834,   13.000, 1500,   8.943,  18.154,   5.043,   6.943,  11.093,   3.081, 41,  0,   0.864,   2.821,   0.784,   0.067,   0.177,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:57:275, 144496042200195,    3.939,    9.000,  900,   2.473,  18.415,   5.115,   0.747,  11.172,   3.103, 40,  0,   0.681,   2.892,   0.803,   0.000,   0.177,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:57:386, 144496352417739,    4.050,   10.000, 2800,   4.546,  18.917,   5.255,   2.672,  11.467,   3.185, 40,  0,   0.905,   2.992,   0.831,   0.000,   0.177,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:57:491, 144496649392262,    4.156,    2.000,  800,   1.964,  19.125,   5.312,   0.362,  11.505,   3.196, 39,  0,   0.574,   3.053,   0.848,   0.000,   0.177,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:11:57:601, 144496956617411,    4.265,    7.000,  900,   2.312,  19.378,   5.383,   0.535,  11.564,   3.212, 40,  0,   0.639,   3.123,   0.867,   0.030,   0.180,   0.050,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
