System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:19:44:707, 145808592356088,    0.131,   16.000,  900,   5.129,   0.673,   0.187,   3.032,   0.398,   0.110, 40,  0,   0.807,   0.106,   0.029,   0.139,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:44:789, 145808821246871,    0.213,    9.000,  800,   2.544,   0.880,   0.245,   0.729,   0.457,   0.127, 40,  0,   0.737,   0.166,   0.046,   0.012,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:44:902, 145809137745996,    0.325,   14.000, 2800,   4.248,   1.359,   0.378,   2.317,   0.718,   0.200, 40,  0,   0.955,   0.274,   0.076,   0.006,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:007, 145809434308402,    0.431,    9.000,  800,   2.591,   1.633,   0.454,   0.862,   0.809,   0.225, 39,  0,   0.625,   0.340,   0.094,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:119, 145809749431278,    0.543,   11.000,  800,   2.600,   1.925,   0.535,   0.771,   0.896,   0.249, 40,  0,   0.640,   0.411,   0.114,   0.016,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:228, 145810053342802,    0.651,    5.000,  800,   2.197,   2.162,   0.601,   0.448,   0.944,   0.262, 39,  0,   0.649,   0.482,   0.134,   0.009,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:339, 145810366787360,    0.763,   11.000,  900,   2.656,   2.459,   0.683,   0.887,   1.043,   0.290, 39,  0,   0.607,   0.549,   0.153,   0.008,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:446, 145810668327094,    0.870,    8.000,  800,   2.532,   2.731,   0.759,   0.797,   1.129,   0.314, 40,  0,   0.616,   0.616,   0.171,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:556, 145810976348591,    0.980,    8.000,  800,   2.495,   3.004,   0.835,   0.593,   1.194,   0.332, 40,  0,   0.753,   0.698,   0.194,   0.127,   0.038,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:716, 145811424205499,    1.140,   16.000, 1500,   2.820,   3.454,   0.959,   0.996,   1.353,   0.376, 40,  0,   0.603,   0.794,   0.221,   0.032,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:776, 145811592583861,    1.200,    3.000,  800,   2.486,   3.603,   1.001,   0.716,   1.396,   0.388, 40,  0,   0.672,   0.835,   0.232,   0.023,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:45:884, 145811896307542,    1.308,    5.000,  800,   2.088,   3.829,   1.064,   0.407,   1.440,   0.400, 40,  0,   0.606,   0.900,   0.250,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
