System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:08:44:461, 143954621078718,    0.109,    5.000,  800,   3.171,   0.347,   0.096,   1.248,   0.136,   0.038, 39,  0,   0.726,   0.079,   0.022,   0.104,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:44:575, 143954939508783,    0.223,    8.000,  900,   2.488,   0.629,   0.175,   0.714,   0.217,   0.060, 38,  0,   0.620,   0.150,   0.042,   0.024,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:44:693, 143955273946614,    0.342,   22.000,  900,   2.815,   0.964,   0.268,   0.976,   0.334,   0.093, 38,  0,   0.638,   0.226,   0.063,   0.036,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:44:791, 143955546872365,    0.439,    2.000,  800,   1.991,   1.158,   0.322,   0.292,   0.362,   0.101, 38,  0,   0.615,   0.286,   0.079,   0.009,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:44:903, 143955861512069,    0.551,    7.000,  900,   2.331,   1.419,   0.394,   0.617,   0.431,   0.120, 39,  0,   0.594,   0.352,   0.098,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:45:010, 143956162184701,    0.658,   10.000,  900,   2.593,   1.696,   0.471,   0.794,   0.516,   0.143, 39,  0,   0.674,   0.424,   0.118,   0.011,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:45:117, 143956461416371,    0.765,    7.000,  800,   2.359,   1.948,   0.541,   0.582,   0.578,   0.161, 38,  0,   0.687,   0.497,   0.138,   0.011,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:45:226, 143956769199271,    0.874,   10.000,  900,   2.566,   2.229,   0.619,   0.773,   0.663,   0.184, 39,  0,   0.652,   0.569,   0.158,   0.006,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:45:338, 143957083263528,    0.986,    4.000,  800,   2.081,   2.462,   0.684,   0.398,   0.708,   0.197, 38,  0,   0.610,   0.637,   0.177,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:08:45:445, 143957382723240,    1.093,   15.000, 2200,   4.210,   2.911,   0.809,   2.308,   0.954,   0.265, 42,  0,   0.955,   0.739,   0.205,   0.006,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
