System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:43:15:640, 149777666922907,    0.096,    4.000,  900,   2.832,   0.272,   0.076,   1.066,   0.102,   0.028, 41,  0,   0.653,   0.063,   0.017,   0.034,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:15:753, 149777984729950,    0.209,    9.000,  900,   2.526,   0.558,   0.155,   0.747,   0.187,   0.052, 41,  0,   0.632,   0.134,   0.037,   0.008,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:15:861, 149778288135177,    0.317,    4.000,  800,   2.112,   0.786,   0.218,   0.397,   0.230,   0.064, 41,  0,   0.633,   0.203,   0.056,   0.005,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:15:980, 149778623025318,    0.437,    7.000,  900,   2.216,   1.050,   0.292,   0.508,   0.290,   0.081, 41,  0,   0.609,   0.275,   0.076,   0.009,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:081, 149778904071042,    0.537,   22.000,  900,   3.237,   1.374,   0.382,   1.334,   0.424,   0.118, 41,  0,   0.698,   0.345,   0.096,   0.042,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:220, 149779293954583,    0.676,   30.000, 1500,   3.609,   1.875,   0.521,   1.586,   0.644,   0.179, 43,  0,   0.935,   0.475,   0.132,   0.138,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:298, 149779513251990,    0.754,   10.000, 1000,   5.056,   2.270,   0.631,   3.050,   0.882,   0.245, 42,  0,   1.009,   0.554,   0.154,   0.088,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:409, 149779825936418,    0.865,   16.000,  800,   2.903,   2.594,   0.720,   1.027,   0.997,   0.277, 42,  0,   0.741,   0.636,   0.177,   0.049,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:519, 149780135420464,    0.975,   10.000,  800,   2.537,   2.873,   0.798,   0.678,   1.072,   0.298, 41,  0,   0.761,   0.720,   0.200,   0.052,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:627, 149780439097336,    1.083,    7.000,  800,   2.352,   3.128,   0.869,   0.520,   1.128,   0.313, 41,  0,   0.690,   0.795,   0.221,   0.049,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:741, 149780757061665,    1.197,   16.000,  900,   2.851,   3.451,   0.958,   1.066,   1.249,   0.347, 41,  0,   0.697,   0.874,   0.243,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:843, 149781045930263,    1.299,   11.000,  800,   2.571,   3.715,   1.032,   0.818,   1.333,   0.370, 41,  0,   0.649,   0.940,   0.261,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:16:954, 149781355871336,    1.410,    7.000,  800,   2.243,   3.963,   1.101,   0.511,   1.389,   0.386, 41,  0,   0.655,   1.013,   0.281,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:17:067, 149781675068521,    1.523,    8.000,  900,   2.350,   4.230,   1.175,   0.623,   1.460,   0.406, 41,  0,   0.608,   1.082,   0.300,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:17:245, 149782176200442,    1.702,   44.000, 3200,   4.305,   4.998,   1.388,   2.407,   1.889,   0.525, 46,  0,   0.809,   1.226,   0.341,   0.048,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:17:281, 149782275144848,    1.737,   18.000, 2800,  12.586,   5.441,   1.512,  10.223,   2.250,   0.625, 49,  0,   1.507,   1.279,   0.355,   0.294,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:17:392, 149782587028737,    1.848,   11.000, 1500,   5.836,   6.090,   1.692,   3.993,   2.693,   0.748, 42,  0,   0.855,   1.374,   0.382,   0.000,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:17:504, 149782900859682,    1.960,    3.000,  800,   2.217,   6.337,   1.760,   0.541,   2.754,   0.765, 42,  0,   0.593,   1.440,   0.400,   0.000,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:43:17:614, 149783209221281,    2.070,    6.000,  800,   2.049,   6.562,   1.823,   0.383,   2.796,   0.777, 41,  0,   0.595,   1.506,   0.418,   0.000,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
