System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:41:07:004, 149416457524421,    0.106,    5.000,  800,   2.745,   0.290,   0.081,   0.941,   0.100,   0.028, 41,  0,   0.640,   0.068,   0.019,   0.028,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:112, 149416761189035,    0.214,    6.000,  800,   2.227,   0.531,   0.148,   0.480,   0.151,   0.042, 41,  0,   0.633,   0.136,   0.038,   0.022,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:220, 149417063051124,    0.321,   18.000,  900,   3.057,   0.860,   0.239,   1.197,   0.280,   0.078, 42,  0,   0.665,   0.208,   0.058,   0.044,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:332, 149417377202466,    0.433,   13.000, 2500,   3.415,   1.242,   0.345,   1.590,   0.458,   0.127, 45,  0,   0.861,   0.304,   0.084,   0.000,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:441, 149417682678500,    0.542,    6.000,  900,   3.960,   1.673,   0.465,   2.148,   0.692,   0.192, 42,  0,   0.779,   0.389,   0.108,   0.000,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:549, 149417985954221,    0.650,   11.000,  800,   2.657,   1.959,   0.544,   0.848,   0.783,   0.218, 41,  0,   0.685,   0.463,   0.128,   0.024,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:656, 149418287191503,    0.757,    8.000,  800,   2.428,   2.220,   0.617,   0.649,   0.853,   0.237, 41,  0,   0.638,   0.531,   0.148,   0.014,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:770, 149418607753682,    0.871,    4.000,  800,   2.089,   2.458,   0.683,   0.371,   0.895,   0.249, 41,  0,   0.619,   0.602,   0.167,   0.014,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:877, 149418909449583,    0.979,   10.000,  800,   2.505,   2.728,   0.758,   0.755,   0.976,   0.271, 41,  0,   0.652,   0.672,   0.187,   0.000,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:07:989, 149419224336916,    1.091,    8.000,  800,   2.432,   3.000,   0.833,   0.631,   1.047,   0.291, 41,  0,   0.682,   0.748,   0.208,   0.029,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:08:095, 149419519177989,    1.196,    5.000,  800,   2.218,   3.233,   0.898,   0.462,   1.096,   0.304, 41,  0,   0.651,   0.817,   0.227,   0.016,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:08:215, 149419858441089,    1.317,   27.000,  900,   3.197,   3.619,   1.005,   1.347,   1.258,   0.350, 42,  0,   0.671,   0.898,   0.249,   0.048,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
