System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:52:20:264, 151306972525311,    0.135,   17.000, 1500,   3.087,   0.418,   0.116,   1.262,   0.171,   0.047, 41,  0,   0.635,   0.086,   0.024,   0.052,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:20:344, 151307197550355,    0.216,    6.000,  900,   2.443,   0.614,   0.171,   0.650,   0.223,   0.062, 40,  0,   0.652,   0.138,   0.038,   0.035,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:20:455, 151307508401539,    0.326,   12.000,  800,   2.739,   0.917,   0.255,   0.926,   0.326,   0.090, 40,  0,   0.652,   0.210,   0.058,   0.008,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:20:566, 151307819527024,    0.437,   18.000,  900,   3.030,   1.253,   0.348,   1.149,   0.453,   0.126, 40,  0,   0.658,   0.283,   0.079,   0.040,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:20:675, 151308125929093,    0.546,    8.000,  800,   2.561,   1.532,   0.426,   0.642,   0.523,   0.145, 40,  0,   0.734,   0.363,   0.101,   0.127,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:20:787, 151308439064417,    0.658,   20.000, 2500,   4.488,   2.033,   0.565,   2.556,   0.808,   0.224, 44,  0,   1.007,   0.476,   0.132,   0.045,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:20:893, 151308740114068,    0.765,    9.000,  800,   3.637,   2.423,   0.673,   1.724,   0.993,   0.276, 40,  0,   0.845,   0.566,   0.157,   0.042,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:21:002, 151309044459375,    0.873,    8.000,  800,   2.442,   2.687,   0.746,   0.594,   1.057,   0.294, 40,  0,   0.715,   0.644,   0.179,   0.071,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:21:109, 151309346000819,    0.981,   11.000,  800,   2.700,   2.977,   0.827,   0.838,   1.147,   0.319, 40,  0,   0.704,   0.720,   0.200,   0.040,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:21:262, 151309777720955,    1.134,   19.000, 1400,   2.686,   3.390,   0.942,   0.919,   1.289,   0.358, 42,  0,   0.637,   0.817,   0.227,   0.021,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
