System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:53:57:145, 151579014853663,    0.107,    6.000,  800,   4.149,   0.445,   0.124,   2.151,   0.231,   0.064, 40,  0,   0.768,   0.082,   0.023,   0.129,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:262, 151579343820341,    0.224,   29.000, 1500,   3.629,   0.870,   0.242,   1.736,   0.434,   0.121, 42,  0,   0.813,   0.178,   0.049,   0.055,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:364, 151579629865139,    0.326,    9.000, 2800,   5.283,   1.409,   0.391,   3.434,   0.784,   0.218, 41,  0,   0.957,   0.275,   0.076,   0.012,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:469, 151579924116874,    0.431,   10.000,  800,   2.572,   1.678,   0.466,   0.733,   0.861,   0.239, 40,  0,   0.686,   0.347,   0.096,   0.016,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:583, 151580243586594,    0.545,   12.000,  800,   2.636,   1.978,   0.549,   0.829,   0.955,   0.265, 40,  0,   0.680,   0.424,   0.118,   0.013,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:689, 151580541575487,    0.651,   20.000,  900,   2.996,   2.296,   0.638,   1.181,   1.081,   0.300, 41,  0,   0.677,   0.496,   0.138,   0.003,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:801, 151580854879729,    0.763,   22.000,  900,   3.316,   2.666,   0.741,   1.444,   1.242,   0.345, 40,  0,   0.696,   0.574,   0.159,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:57:906, 151581150481120,    0.868,   24.000,  900,   3.493,   3.034,   0.843,   1.635,   1.414,   0.393, 40,  0,   0.730,   0.651,   0.181,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:021, 151581472654729,    0.983,   16.000,  900,   3.134,   3.393,   0.943,   1.285,   1.561,   0.434, 40,  0,   0.622,   0.722,   0.201,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:126, 151581769613354,    1.088,   20.000,  800,   3.236,   3.736,   1.038,   1.396,   1.709,   0.475, 40,  0,   0.687,   0.795,   0.221,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:256, 151582135068544,    1.219,   32.000, 1500,   3.946,   4.249,   1.180,   2.058,   1.977,   0.549, 42,  0,   0.734,   0.890,   0.247,   0.037,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:345, 151582384197747,    1.307,   21.000,  900,   4.019,   4.606,   1.279,   2.081,   2.161,   0.600, 42,  0,   0.821,   0.963,   0.268,   0.007,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:453, 151582688066299,    1.415,   46.000, 1500,   6.212,   5.278,   1.466,   4.205,   2.616,   0.727, 43,  0,   1.271,   1.101,   0.306,   0.022,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:563, 151582996766925,    1.525,   27.000, 1500,   7.165,   6.066,   1.685,   4.988,   3.165,   0.879, 43,  0,   1.073,   1.219,   0.339,   0.165,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:676, 151583313600565,    1.638,   14.000,  900,   4.645,   6.590,   1.830,   2.764,   3.477,   0.966, 41,  0,   0.639,   1.291,   0.359,   0.024,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:786, 151583623208326,    1.748,   14.000,  900,   3.357,   6.960,   1.933,   1.531,   3.645,   1.013, 40,  0,   0.577,   1.354,   0.376,   0.000,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:58:891, 151583916899151,    1.853,   23.000, 1500,   4.116,   7.390,   2.053,   2.260,   3.882,   1.078, 41,  0,   0.670,   1.425,   0.396,   0.000,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:002, 151584228516644,    1.964,   16.000,  900,   3.238,   7.750,   2.153,   1.340,   4.030,   1.120, 40,  0,   0.634,   1.495,   0.415,   0.046,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:110, 151584532550008,    2.072,   14.000, 1500,   3.838,   8.165,   2.268,   2.003,   4.247,   1.180, 43,  0,   0.634,   1.564,   0.434,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:265, 151584967859703,    2.227,   27.000,  900,   4.789,   8.908,   2.474,   2.837,   4.687,   1.302, 41,  0,   0.729,   1.677,   0.466,   0.079,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:334, 151585161722452,    2.296,   14.000, 1000,   3.116,   9.123,   2.534,   1.246,   4.773,   1.326, 42,  0,   0.652,   1.722,   0.478,   0.013,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:440, 151585459687968,    2.403,   12.000, 1500,   5.599,   9.717,   2.699,   3.788,   5.175,   1.438, 44,  0,   0.592,   1.784,   0.496,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:547, 151585759391384,    2.509,   23.000, 1500,  13.475,  11.155,   3.099,  11.418,   6.394,   1.776, 46,  0,   1.209,   1.914,   0.532,   0.034,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:657, 151586067426753,    2.619,   12.000, 2800,   5.441,  11.752,   3.264,   3.589,   6.787,   1.885, 46,  0,   0.599,   1.979,   0.550,   0.000,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:767, 151586375438056,    2.729,   22.000, 3500,  14.460,  13.338,   3.705,  12.527,   8.162,   2.267, 58,  0,   0.763,   2.063,   0.573,   0.031,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:881, 151586695430776,    2.843,   28.000, 1500,  12.730,  14.789,   4.108,  10.545,   9.363,   2.601, 44,  0,   1.399,   2.222,   0.617,   0.101,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:53:59:991, 151587004574065,    2.953,   13.000,  900,   4.386,  15.272,   4.242,   2.595,   9.649,   2.680, 41,  0,   0.640,   2.293,   0.637,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:00:098, 151587305514795,    3.060,   12.000,  900,   2.501,  15.540,   4.317,   0.773,   9.732,   2.703, 40,  0,   0.672,   2.365,   0.657,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:00:270, 151587790423672,    3.233,   20.000, 1000,   2.599,  15.988,   4.441,   0.856,   9.880,   2.744, 40,  0,   0.584,   2.466,   0.685,   0.028,   0.095,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:00:314, 151587912172531,    3.276,    8.000,  900,   2.763,  16.108,   4.475,   0.826,   9.916,   2.754, 40,  0,   0.722,   2.497,   0.694,   0.041,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:00:427, 151588228747629,    3.389,   10.000,  900,   2.759,  16.419,   4.561,   0.963,  10.024,   2.784, 40,  0,   0.583,   2.563,   0.712,   0.019,   0.099,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:00:535, 151588534459060,    3.498,   12.000,  900,   2.640,  16.707,   4.641,   0.912,  10.123,   2.812, 40,  0,   0.584,   2.626,   0.730,   0.000,   0.099,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
