System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:18:07:319, 145535126929006,    0.107,    9.000, 1200,   6.382,   0.682,   0.189,   4.453,   0.476,   0.132, 40,  0,   0.993,   0.106,   0.029,   0.016,   0.002,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:07:435, 145535450490981,    0.222,    7.000,  900,   2.424,   0.961,   0.267,   0.661,   0.552,   0.153, 40,  0,   0.631,   0.179,   0.050,   0.021,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:07:545, 145535760046030,    0.332,    4.000,  900,   2.081,   1.190,   0.331,   0.372,   0.593,   0.165, 39,  0,   0.616,   0.247,   0.068,   0.003,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:07:704, 145536207497447,    0.492,   26.000, 1500,   2.585,   1.602,   0.445,   0.888,   0.734,   0.204, 40,  0,   0.628,   0.347,   0.096,   0.025,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:07:759, 145536360131421,    0.546,    8.000,  900,   3.221,   1.777,   0.494,   1.233,   0.801,   0.223, 39,  0,   0.730,   0.386,   0.107,   0.040,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:07:871, 145536675816790,    0.658,   11.000,  800,   2.561,   2.065,   0.574,   0.760,   0.887,   0.246, 40,  0,   0.684,   0.463,   0.129,   0.009,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:07:976, 145536969725971,    0.763,   11.000,  800,   2.528,   2.330,   0.647,   0.701,   0.960,   0.267, 40,  0,   0.713,   0.538,   0.149,   0.033,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:08:091, 145537293253576,    0.878,   10.000,  800,   2.551,   2.624,   0.729,   0.770,   1.049,   0.291, 40,  0,   0.642,   0.612,   0.170,   0.019,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:08:199, 145537599113741,    0.987,    7.000,  800,   2.248,   2.869,   0.797,   0.532,   1.107,   0.307, 40,  0,   0.663,   0.684,   0.190,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:18:08:305, 145537893901781,    1.092,   10.000,  900,   2.503,   3.131,   0.870,   0.723,   1.182,   0.328, 40,  0,   0.717,   0.759,   0.211,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
