System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:29:21:998, 147429626540468,    0.110,    4.000,  800,   2.639,   0.291,   0.081,   0.877,   0.097,   0.027, 39,  0,   0.655,   0.072,   0.020,   0.011,   0.001,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:102, 147429918045368,    0.214,    8.000,  800,   2.325,   0.532,   0.148,   0.564,   0.155,   0.043, 39,  0,   0.647,   0.139,   0.039,   0.016,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:210, 147430222065510,    0.322,    9.000,  900,   2.523,   0.806,   0.224,   0.736,   0.235,   0.065, 39,  0,   0.640,   0.209,   0.058,   0.004,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:325, 147430542717349,    0.437,    4.000,  800,   2.020,   1.036,   0.288,   0.339,   0.274,   0.076, 40,  0,   0.599,   0.277,   0.077,   0.000,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:430, 147430838180873,    0.542,   11.000,  800,   2.583,   1.308,   0.363,   0.774,   0.355,   0.099, 39,  0,   0.679,   0.348,   0.097,   0.022,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:540, 147431147723005,    0.652,   12.000,  900,   2.724,   1.608,   0.447,   0.857,   0.449,   0.125, 40,  0,   0.691,   0.425,   0.118,   0.035,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:650, 147431455211952,    0.761,   15.000, 2300,   3.872,   2.032,   0.564,   1.983,   0.667,   0.185, 43,  0,   0.904,   0.524,   0.145,   0.012,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:761, 147431767836190,    0.873,    8.000,  800,   3.987,   2.476,   0.688,   2.118,   0.902,   0.251, 39,  0,   0.747,   0.607,   0.169,   0.024,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:868, 147432068214845,    0.980,    9.000,  900,   2.463,   2.740,   0.761,   0.721,   0.980,   0.272, 40,  0,   0.625,   0.674,   0.187,   0.000,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:22:979, 147432379662418,    1.091,    6.000,  800,   2.121,   2.975,   0.826,   0.406,   1.025,   0.285, 39,  0,   0.630,   0.744,   0.207,   0.000,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:091, 147432695404287,    1.203,    8.000,  800,   2.367,   3.241,   0.900,   0.624,   1.095,   0.304, 39,  0,   0.663,   0.818,   0.227,   0.003,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:197, 147432991807733,    1.309,    9.000,  900,   2.448,   3.499,   0.972,   0.689,   1.167,   0.324, 40,  0,   0.644,   0.886,   0.246,   0.009,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:305, 147433296739016,    1.417,    5.000,  800,   2.140,   3.732,   1.037,   0.419,   1.213,   0.337, 39,  0,   0.613,   0.953,   0.265,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:417, 147433613095630,    1.530,    9.000,  800,   2.367,   3.998,   1.111,   0.617,   1.282,   0.356, 39,  0,   0.685,   1.030,   0.286,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:525, 147433914173926,    1.637,    8.000,  900,   2.329,   4.248,   1.180,   0.605,   1.347,   0.374, 39,  0,   0.635,   1.098,   0.305,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:637, 147434229553852,    1.749,    5.000,  800,   2.172,   4.492,   1.248,   0.481,   1.401,   0.389, 39,  0,   0.575,   1.162,   0.323,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:742, 147434523519842,    1.854,   39.000, 1500,   4.344,   4.947,   1.374,   2.397,   1.652,   0.459, 41,  0,   0.953,   1.262,   0.351,   0.068,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:856, 147434841681789,    1.967,   28.000, 2800,   7.659,   5.815,   1.615,   5.519,   2.278,   0.633, 42,  0,   1.211,   1.399,   0.389,   0.168,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:23:963, 147435144322747,    2.075,    3.000,  800,   2.371,   6.070,   1.686,   0.578,   2.340,   0.650, 40,  0,   0.656,   1.470,   0.408,   0.031,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:24:072, 147435448564741,    2.184,    5.000,  800,   2.139,   6.302,   1.751,   0.435,   2.387,   0.663, 39,  0,   0.612,   1.536,   0.427,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:29:24:179, 147435750416381,    2.291,    6.000,  900,   2.234,   6.542,   1.817,   0.523,   2.443,   0.679, 40,  0,   0.592,   1.600,   0.444,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
