System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:12:42:726, 144623667100460,    0.106,    5.000,  900,   4.262,   0.450,   0.125,   2.404,   0.254,   0.070, 40,  0,   0.665,   0.070,   0.019,   0.053,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:42:841, 144623991784696,    0.221,    7.000,  900,   2.329,   0.719,   0.200,   0.582,   0.321,   0.089, 39,  0,   0.646,   0.145,   0.040,   0.023,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:42:945, 144624284198252,    0.325,    9.000,  900,   2.541,   0.984,   0.273,   0.740,   0.398,   0.111, 39,  0,   0.621,   0.209,   0.058,   0.021,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:054, 144624589401423,    0.434,   16.000,  900,   2.647,   1.271,   0.353,   0.918,   0.498,   0.138, 39,  0,   0.659,   0.281,   0.078,   0.000,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:164, 144624897179009,    0.544,    4.000,  900,   2.109,   1.503,   0.417,   0.418,   0.543,   0.151, 40,  0,   0.615,   0.348,   0.097,   0.000,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:272, 144625202481068,    0.652,   13.000,  900,   2.753,   1.802,   0.501,   0.923,   0.644,   0.179, 39,  0,   0.647,   0.419,   0.116,   0.033,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:383, 144625513186035,    0.763,    8.000,  900,   2.425,   2.070,   0.575,   0.651,   0.716,   0.199, 40,  0,   0.692,   0.495,   0.138,   0.010,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:494, 144625825949683,    0.874,    5.000,  900,   2.185,   2.314,   0.643,   0.431,   0.764,   0.212, 39,  0,   0.650,   0.568,   0.158,   0.026,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:605, 144626136734218,    0.985,    9.000,  900,   2.431,   2.583,   0.717,   0.701,   0.841,   0.234, 40,  0,   0.604,   0.635,   0.176,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:711, 144626433407067,    1.091,   29.000, 1500,   3.961,   3.001,   0.834,   1.979,   1.051,   0.292, 40,  0,   0.983,   0.738,   0.205,   0.050,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:820, 144626740517716,    1.200,    8.000,  900,   3.445,   3.378,   0.938,   1.642,   1.230,   0.342, 39,  0,   0.806,   0.827,   0.230,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:43:929, 144627045287821,    1.309,    7.000,  900,   2.343,   3.632,   1.009,   0.622,   1.298,   0.360, 40,  0,   0.599,   0.892,   0.248,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:44:042, 144627364391527,    1.422,   10.000, 1500,   2.696,   3.939,   1.094,   0.952,   1.406,   0.391, 40,  0,   0.580,   0.958,   0.266,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:44:154, 144627678709531,    1.534,   11.000, 1500,   3.123,   4.288,   1.191,   1.299,   1.551,   0.431, 39,  0,   0.678,   1.033,   0.287,   0.060,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:44:262, 144627981699330,    1.642,    6.000,  900,   2.501,   4.558,   1.266,   0.763,   1.634,   0.454, 39,  0,   0.630,   1.101,   0.306,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:44:369, 144628281324856,    1.749,    8.000,  900,   2.412,   4.815,   1.338,   0.669,   1.705,   0.474, 39,  0,   0.649,   1.171,   0.325,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:12:44:476, 144628583551856,    1.856,    5.000,  900,   2.085,   5.040,   1.400,   0.417,   1.750,   0.486, 39,  0,   0.618,   1.237,   0.344,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
