System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:58:05:988, 152277764667393,    0.114,    4.000,  800,   2.709,   0.308,   0.085,   0.892,   0.101,   0.028, 40,  0,   0.649,   0.074,   0.020,   0.026,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:098, 152278074718297,    0.224,    9.000,  800,   2.536,   0.588,   0.163,   0.721,   0.181,   0.050, 40,  0,   0.646,   0.145,   0.040,   0.023,   0.005,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:261, 152278532638553,    0.387,   17.000, 1500,   2.660,   1.021,   0.284,   0.884,   0.325,   0.090, 41,  0,   0.621,   0.246,   0.068,   0.029,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:58:06:314, 152278683562398,    0.441,    5.000,  800,   2.656,   1.164,   0.323,   0.807,   0.368,   0.102, 40,  0,   0.725,   0.285,   0.079,   0.020,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:421, 152278983076412,    0.547,   15.000,  900,   2.896,   1.473,   0.409,   1.053,   0.481,   0.134, 40,  0,   0.675,   0.357,   0.099,   0.019,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:534, 152279300117647,    0.660,   13.000,  900,   2.824,   1.792,   0.498,   0.949,   0.588,   0.163, 40,  0,   0.738,   0.440,   0.122,   0.062,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:646, 152279613481339,    0.772,   15.000, 2700,   4.226,   2.263,   0.629,   2.347,   0.850,   0.236, 42,  0,   0.726,   0.521,   0.145,   0.043,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:755, 152279919023783,    0.881,   16.000, 2700,   5.942,   2.910,   0.808,   3.999,   1.285,   0.357, 43,  0,   0.738,   0.602,   0.167,   0.047,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:06:860, 152280214219252,    0.986,   23.000, 3100,  10.626,   4.027,   1.119,   8.687,   2.198,   0.611, 51,  0,   1.175,   0.725,   0.201,   0.031,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:58:06:972, 152280527128510,    1.097,   17.000, 2800,   6.315,   4.731,   1.314,   4.263,   2.673,   0.743, 43,  0,   0.843,   0.819,   0.228,   0.034,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:07:078, 152280827200322,    1.204,   23.000, 2800,   7.145,   5.494,   1.526,   5.239,   3.233,   0.898, 44,  0,   0.920,   0.918,   0.255,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:07:187, 152281133058833,    1.313,   26.000, 2800,   5.845,   6.131,   1.703,   3.897,   3.658,   1.016, 44,  0,   1.014,   1.028,   0.286,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:07:298, 152281443253853,    1.424,   18.000, 2800,   8.066,   7.022,   1.951,   6.031,   4.324,   1.201, 43,  0,   0.933,   1.131,   0.314,   0.022,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:07:406, 152281746520867,    1.532,   28.000, 1500,  13.831,   8.516,   2.365,  11.607,   5.577,   1.549, 45,  0,   1.238,   1.265,   0.351,   0.141,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:58:07:520, 152282067297771,    1.646,   10.000, 1500,   4.612,   9.043,   2.512,   2.588,   5.873,   1.631, 41,  0,   0.858,   1.363,   0.379,   0.115,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
