System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:56:54:391, 152076721949988,    0.099,   15.000, 2800,   7.405,   0.733,   0.204,   5.338,   0.529,   0.147, 44,  0,   0.815,   0.081,   0.022,   0.139,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:54:504, 152077038306088,    0.212,   15.000, 2500,   5.768,   1.383,   0.384,   3.803,   0.957,   0.266, 44,  0,   0.709,   0.161,   0.045,   0.047,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:54:609, 152077333488486,    0.317,   15.000, 2500,   5.844,   1.997,   0.555,   3.986,   1.376,   0.382, 43,  0,   0.679,   0.232,   0.064,   0.008,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:54:721, 152077647668306,    0.429,   21.000, 2800,  11.093,   3.239,   0.900,   9.075,   2.391,   0.664, 46,  0,   1.197,   0.366,   0.102,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:54:834, 152077964838865,    0.542,   13.000, 2800,   5.982,   3.914,   1.087,   4.132,   2.858,   0.794, 42,  0,   0.627,   0.437,   0.121,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:54:941, 152078264335732,    0.648,   14.000, 2800,   7.524,   4.717,   1.310,   5.659,   3.462,   0.962, 43,  0,   0.671,   0.508,   0.141,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:052, 152078577020119,    0.760,   13.000, 2800,   5.732,   5.355,   1.488,   3.904,   3.896,   1.082, 44,  0,   0.605,   0.576,   0.160,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:162, 152078885929032,    0.870,   16.000, 2800,   5.996,   6.015,   1.671,   4.128,   4.351,   1.209, 43,  0,   0.707,   0.654,   0.182,   0.003,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:273, 152079197961255,    0.981,   36.000, 1500,   4.880,   6.557,   1.821,   2.884,   4.671,   1.298, 41,  0,   0.809,   0.743,   0.206,   0.105,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:378, 152079491879365,    1.085,   16.000, 1700,   4.235,   7.000,   1.945,   2.313,   4.913,   1.365, 41,  0,   0.691,   0.816,   0.227,   0.033,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:486, 152079794529863,    1.193,   17.000, 2600,   4.760,   7.513,   2.087,   2.894,   5.225,   1.451, 43,  0,   0.636,   0.884,   0.246,   0.012,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:596, 152080105940930,    1.304,   17.000, 2800,   7.051,   8.295,   2.304,   5.058,   5.786,   1.607, 43,  0,   1.122,   1.009,   0.280,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:704, 152080408996256,    1.412,   12.000,  900,   5.670,   8.907,   2.474,   3.897,   6.207,   1.724, 40,  0,   0.690,   1.083,   0.301,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:812, 152080711646840,    1.520,   14.000, 2900,   4.921,   9.438,   2.622,   3.013,   6.531,   1.814, 46,  0,   0.974,   1.188,   0.330,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:55:944, 152081082673938,    1.652,   10.000,  900,   3.115,   9.849,   2.736,   1.397,   6.716,   1.866, 40,  0,   0.633,   1.272,   0.353,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:032, 152081329143838,    1.740,   30.000,  900,   4.039,  10.204,   2.834,   2.040,   6.895,   1.915, 40,  0,   0.818,   1.344,   0.373,   0.081,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:145, 152081647637269,    1.853,    4.000,  900,   2.953,  10.539,   2.927,   1.097,   7.019,   1.950, 40,  0,   0.715,   1.425,   0.396,   0.077,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:274, 152082008926421,    1.982,   16.000,  900,   2.971,  10.921,   3.034,   1.098,   7.161,   1.989, 40,  0,   0.626,   1.505,   0.418,   0.069,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:364, 152082261488783,    2.072,    4.000,  900,   2.127,  11.112,   3.087,   0.400,   7.197,   1.999, 40,  0,   0.632,   1.562,   0.434,   0.011,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:471, 152082561419163,    2.179,    5.000,  900,   2.087,  11.335,   3.149,   0.397,   7.239,   2.011, 40,  0,   0.597,   1.626,   0.452,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:583, 152082877726190,    2.291,    5.000,  900,   2.287,  11.593,   3.220,   0.545,   7.300,   2.028, 39,  0,   0.601,   1.694,   0.470,   0.036,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:688, 152083171939429,    2.396,    1.000,  900,   1.727,  11.774,   3.270,   0.141,   7.315,   2.032, 40,  0,   0.549,   1.751,   0.486,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:801, 152083488773887,    2.509,    9.000,  900,   2.258,  12.029,   3.341,   0.566,   7.379,   2.050, 40,  0,   0.533,   1.811,   0.503,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:56:908, 152083788283782,    2.616,   17.000, 1600,   3.572,  12.410,   3.447,   1.674,   7.558,   2.099, 41,  0,   0.863,   1.903,   0.529,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:019, 152084100136629,    2.727,    4.000,  900,   2.997,  12.742,   3.540,   1.297,   7.702,   2.139, 40,  0,   0.693,   1.980,   0.550,   0.018,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:128, 152084406508129,    2.836,    1.000,  900,   1.866,  12.946,   3.596,   0.197,   7.723,   2.145, 40,  0,   0.588,   2.044,   0.568,   0.031,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:264, 152084788269358,    2.972,   15.000, 1400,   2.790,  13.325,   3.701,   0.975,   7.856,   2.182, 40,  0,   0.598,   2.126,   0.590,   0.047,   0.078,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:349, 152085027243601,    3.057,    1.000,  900,   2.032,  13.498,   3.749,   0.377,   7.888,   2.191, 39,  0,   0.615,   2.178,   0.605,   0.011,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:455, 152085324095993,    3.162,    2.000,  900,   1.865,  13.695,   3.804,   0.244,   7.914,   2.198, 40,  0,   0.559,   2.237,   0.621,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:565, 152085632694342,    3.272,    6.000,  900,   2.252,  13.943,   3.873,   0.555,   7.975,   2.215, 39,  0,   0.576,   2.301,   0.639,   0.005,   0.080,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:672, 152085935199973,    3.380,    1.000,  900,   1.855,  14.143,   3.929,   0.207,   7.997,   2.221, 39,  0,   0.584,   2.363,   0.657,   0.009,   0.081,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:782, 152086243188497,    3.490,    1.000,  900,   1.733,  14.333,   3.981,   0.144,   8.013,   2.226, 39,  0,   0.546,   2.423,   0.673,   0.000,   0.081,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:57:893, 152086553802933,    3.600,    5.000,  900,   2.160,  14.572,   4.048,   0.483,   8.066,   2.241, 40,  0,   0.572,   2.487,   0.691,   0.000,   0.081,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:005, 152086869988449,    3.713,   10.000, 3000,   3.666,  14.984,   4.162,   1.882,   8.278,   2.299, 47,  0,   0.822,   2.579,   0.716,   0.000,   0.081,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:109, 152087160635887,    3.817,    3.000,  900,   3.264,  15.322,   4.256,   1.528,   8.436,   2.343, 40,  0,   0.680,   2.650,   0.736,   0.018,   0.082,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:282, 152087649036124,    3.990,   23.000, 1500,   2.753,  15.801,   4.389,   0.947,   8.601,   2.389, 40,  0,   0.600,   2.754,   0.765,   0.032,   0.088,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:330, 152087781971630,    4.038,   10.000, 2800,   5.158,  16.045,   4.457,   3.514,   8.767,   2.435, 43,  0,   0.808,   2.792,   0.776,   0.012,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:438, 152088083820123,    4.145,   15.000, 3400,  12.374,  17.376,   4.827,  10.332,   9.878,   2.744, 56,  0,   0.950,   2.894,   0.804,   0.040,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:547, 152088391692588,    4.255,   14.000, 3500,  15.733,  19.101,   5.306,  13.964,  11.409,   3.169, 58,  0,   0.610,   2.961,   0.823,   0.000,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:656, 152088696945480,    4.364,   12.000, 3500,  15.054,  20.737,   5.760,  13.191,  12.843,   3.567, 58,  0,   0.526,   3.018,   0.838,   0.000,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:771, 152089018925405,    4.478,   12.000, 3600,  15.926,  22.563,   6.268,  14.055,  14.455,   4.015, 60,  0,   0.521,   3.078,   0.855,   0.000,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:874, 152089310179263,    4.582,   13.000, 3600,   8.454,  23.440,   6.511,   6.694,  15.149,   4.208, 50,  0,   0.563,   3.137,   0.871,   0.000,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:58:984, 152089618216208,    4.692,   12.000, 3600,  13.621,  24.934,   6.926,  11.770,  16.440,   4.567, 58,  0,   0.515,   3.193,   0.887,   0.000,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:095, 152089929099782,    4.802,   19.000, 3500,  19.463,  27.089,   7.525,  17.489,  18.376,   5.105, 58,  0,   0.940,   3.297,   0.916,   0.000,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:281, 152090453876563,    4.989,   20.000, 1000,   9.103,  28.790,   7.997,   7.087,  19.701,   5.472, 42,  0,   0.815,   3.450,   0.958,   0.082,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:314, 152090544018509,    5.021,    4.000, 1000,   2.228,  28.862,   8.017,   0.468,  19.716,   5.477, 41,  0,   0.702,   3.472,   0.964,   0.078,   0.111,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:427, 152090860919094,    5.134,    4.000,  800,   2.078,  29.096,   8.082,   0.404,  19.761,   5.489, 41,  0,   0.601,   3.540,   0.983,   0.000,   0.111,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:537, 152091172244601,    5.245,    5.000,  800,   2.136,  29.333,   8.148,   0.488,  19.815,   5.504, 40,  0,   0.557,   3.602,   1.000,   0.000,   0.111,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:642, 152091466385591,    5.350,    1.000,  800,   1.767,  29.518,   8.200,   0.175,  19.834,   5.509, 40,  0,   0.548,   3.659,   1.016,   0.000,   0.111,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
