System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:51:18:455, 151133412650714,    0.106,   17.000, 2800,   7.705,   0.814,   0.226,   5.555,   0.587,   0.163, 42,  0,   0.889,   0.094,   0.026,   0.131,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:18:564, 151133717907227,    0.214,   16.000,  900,   6.862,   1.560,   0.433,   4.947,   1.125,   0.312, 43,  0,   0.686,   0.169,   0.047,   0.040,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:18:675, 151134028956134,    0.325,   15.000, 1500,   4.115,   2.016,   0.560,   2.251,   1.374,   0.382, 42,  0,   0.650,   0.241,   0.067,   0.003,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:18:784, 151134337157007,    0.435,   24.000, 1500,   3.760,   2.429,   0.675,   1.946,   1.588,   0.441, 42,  0,   0.616,   0.308,   0.086,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:18:895, 151134648396310,    0.546,   23.000,  900,   3.768,   2.846,   0.791,   1.891,   1.797,   0.499, 41,  0,   0.711,   0.387,   0.107,   0.006,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:002, 151134949734571,    0.653,   30.000,  900,   3.682,   3.241,   0.900,   1.797,   1.990,   0.553, 41,  0,   0.837,   0.477,   0.132,   0.010,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:112, 151135255925820,    0.762,   29.000, 2500,   6.040,   3.900,   1.083,   4.032,   2.430,   0.675, 45,  0,   1.179,   0.605,   0.168,   0.008,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:219, 151135556287937,    0.869,   24.000, 2800,   7.780,   4.732,   1.314,   5.862,   3.057,   0.849, 44,  0,   0.762,   0.687,   0.191,   0.047,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:328, 151135865271200,    0.979,   15.000, 2500,   7.478,   5.555,   1.543,   5.562,   3.669,   1.019, 44,  0,   0.792,   0.774,   0.215,   0.070,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:437, 151136170120809,    1.088,   17.000, 2900,   8.979,   6.530,   1.814,   6.929,   4.421,   1.228, 46,  0,   0.882,   0.870,   0.242,   0.080,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:552, 151136493992944,    1.203,   19.000, 1900,   4.828,   7.087,   1.968,   2.894,   4.755,   1.321, 44,  0,   0.690,   0.949,   0.264,   0.050,   0.049,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:656, 151136785379156,    1.307,   16.000, 1900,   5.081,   7.614,   2.115,   3.149,   5.081,   1.412, 44,  0,   0.696,   1.021,   0.284,   0.061,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:771, 151137107967978,    1.422,   16.000, 1000,   3.917,   8.064,   2.240,   1.965,   5.307,   1.474, 41,  0,   0.695,   1.101,   0.306,   0.074,   0.063,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:877, 151137404499683,    1.527,   20.000, 1700,   4.570,   8.546,   2.374,   2.596,   5.581,   1.550, 41,  0,   0.851,   1.191,   0.331,   0.058,   0.070,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:19:990, 151137720830461,    1.640,   27.000, 3200,   7.209,   9.358,   2.600,   5.396,   6.189,   1.719, 47,  0,   1.016,   1.306,   0.363,   0.000,   0.070,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:093, 151138012418909,    1.744,   16.000, 2800,   5.074,   9.885,   2.746,   3.066,   6.508,   1.808, 45,  0,   0.687,   1.377,   0.382,   0.000,   0.070,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:209, 151138336404388,    1.859,   24.000, 3500,  13.174,  11.405,   3.168,  11.176,   7.797,   2.166, 50,  0,   1.184,   1.513,   0.420,   0.014,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:319, 151138647710224,    1.970,   30.000, 1200,  12.274,  12.766,   3.546,  10.105,   8.917,   2.477, 43,  0,   1.074,   1.632,   0.453,   0.176,   0.091,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:427, 151138949643587,    2.078,   16.000, 2800,   4.857,  13.288,   3.691,   2.851,   9.224,   2.562, 45,  0,   0.749,   1.713,   0.476,   0.117,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:533, 151139246236792,    2.183,   30.000, 2800,   8.155,  14.150,   3.930,   6.131,   9.871,   2.742, 44,  0,   1.060,   1.825,   0.507,   0.000,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:645, 151139560626168,    2.295,   19.000, 1500,   6.381,  14.864,   4.129,   4.424,  10.367,   2.880, 42,  0,   0.950,   1.931,   0.536,   0.000,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:750, 151139857992943,    2.401,   13.000, 1500,   4.670,  15.359,   4.266,   2.752,  10.658,   2.961, 41,  0,   0.809,   2.017,   0.560,   0.000,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:863, 151140172549983,    2.513,   14.000, 1500,   5.851,  16.014,   4.448,   3.870,  11.092,   3.081, 44,  0,   0.881,   2.116,   0.588,   0.041,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:20:973, 151140482369840,    2.623,    3.000, 1000,   2.428,  16.282,   4.523,   0.752,  11.175,   3.104, 42,  0,   0.596,   2.181,   0.606,   0.000,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:21:077, 151140776137191,    2.728,    5.000, 1000,   2.169,  16.509,   4.586,   0.510,  11.228,   3.119, 41,  0,   0.602,   2.244,   0.623,   0.000,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:51:21:235, 151141219658992,    2.886,   26.000,  900,   3.202,  17.014,   4.726,   1.390,  11.448,   3.180, 42,  0,   0.760,   2.365,   0.657,   0.035,   0.113,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
