System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:50:20:250, 150969971359763,    0.108,   12.000,  900,   5.213,   0.565,   0.157,   3.346,   0.363,   0.101, 40,  0,   0.675,   0.073,   0.020,   0.029,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:20:364, 150970293979832,    0.223,    4.000,  800,   2.120,   0.809,   0.225,   0.387,   0.407,   0.113, 40,  0,   0.629,   0.145,   0.040,   0.019,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:20:473, 150970598146156,    0.332,    6.000,  800,   2.176,   1.044,   0.290,   0.437,   0.454,   0.126, 40,  0,   0.647,   0.216,   0.060,   0.011,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:20:579, 150970896685097,    0.438,   12.000,  900,   2.618,   1.323,   0.367,   0.855,   0.545,   0.151, 40,  0,   0.623,   0.282,   0.078,   0.008,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:20:689, 150971205314417,    0.548,    9.000,  800,   2.405,   1.587,   0.441,   0.627,   0.614,   0.171, 40,  0,   0.695,   0.358,   0.100,   0.023,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:20:802, 150971521211046,    0.660,   12.000, 2500,   3.381,   1.967,   0.546,   1.532,   0.787,   0.219, 43,  0,   0.851,   0.454,   0.126,   0.008,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:20:906, 150971814165793,    0.765,   10.000,  900,   4.635,   2.451,   0.681,   2.758,   1.074,   0.298, 41,  0,   0.836,   0.541,   0.150,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:017, 150972126825268,    0.876,   10.000,  800,   2.514,   2.731,   0.759,   0.750,   1.158,   0.322, 40,  0,   0.697,   0.619,   0.172,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:125, 150972430677041,    0.984,    9.000,  800,   2.452,   2.996,   0.832,   0.682,   1.232,   0.342, 40,  0,   0.689,   0.693,   0.193,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:238, 150972745623146,    1.096,   22.000, 1500,   3.442,   3.382,   0.940,   1.571,   1.408,   0.391, 41,  0,   0.710,   0.773,   0.215,   0.032,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:343, 150973042773152,    1.202,    4.000,  800,   2.247,   3.620,   1.006,   0.528,   1.464,   0.407, 40,  0,   0.645,   0.841,   0.234,   0.009,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:458, 150973363594131,    1.316,   17.000,  900,   2.783,   3.938,   1.094,   1.004,   1.578,   0.438, 40,  0,   0.635,   0.914,   0.254,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:566, 150973668359661,    1.425,   21.000,  900,   3.168,   4.282,   1.189,   1.359,   1.726,   0.479, 41,  0,   0.691,   0.989,   0.275,   0.010,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:676, 150973975825668,    1.534,   30.000, 2800,   4.487,   4.773,   1.326,   2.560,   2.006,   0.557, 41,  0,   0.846,   1.081,   0.300,   0.091,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:50:21:782, 150974274127556,    1.641,    3.000,  800,   2.492,   5.038,   1.399,   0.656,   2.076,   0.577, 40,  0,   0.671,   1.153,   0.320,   0.061,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:21:894, 150974588264355,    1.753,   15.000, 1500,   3.151,   5.390,   1.497,   1.328,   2.225,   0.618, 41,  0,   0.783,   1.240,   0.345,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:001, 150974888104011,    1.859,    9.000,  800,   3.778,   5.794,   1.609,   1.977,   2.436,   0.677, 41,  0,   0.836,   1.330,   0.369,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:111, 150975197599641,    1.970,    3.000,  800,   2.007,   6.015,   1.671,   0.336,   2.473,   0.687, 40,  0,   0.596,   1.395,   0.388,   0.003,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:240, 150975562062953,    2.099,   20.000, 1500,   2.816,   6.380,   1.772,   0.989,   2.601,   0.723, 40,  0,   0.629,   1.477,   0.410,   0.070,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:50:22:333, 150975822085067,    2.192,    1.000,  800,   1.950,   6.561,   1.822,   0.251,   2.624,   0.729, 40,  0,   0.612,   1.534,   0.426,   0.015,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:437, 150976114400883,    2.296,    1.000,  800,   1.756,   6.744,   1.873,   0.171,   2.642,   0.734, 40,  0,   0.556,   1.591,   0.442,   0.000,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:548, 150976425441242,    2.407,    6.000,  800,   2.172,   6.984,   1.940,   0.494,   2.697,   0.749, 40,  0,   0.568,   1.654,   0.460,   0.000,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:656, 150976727609455,    2.514,    4.000,  900,   1.989,   7.198,   2.000,   0.334,   2.733,   0.759, 40,  0,   0.561,   1.715,   0.476,   0.007,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:766, 150977038541090,    2.625,    2.000,  800,   1.873,   7.406,   2.057,   0.256,   2.761,   0.767, 40,  0,   0.553,   1.776,   0.493,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:879, 150977354734583,    2.738,    6.000,  900,   2.168,   7.650,   2.125,   0.500,   2.817,   0.783, 40,  0,   0.569,   1.840,   0.511,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:22:984, 150977649822429,    2.843,    6.000,  900,   2.275,   7.889,   2.191,   0.556,   2.876,   0.799, 41,  0,   0.646,   1.908,   0.530,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:094, 150977957941204,    2.953,    8.000,  800,   4.375,   8.369,   2.325,   2.579,   3.159,   0.877, 41,  0,   0.867,   2.003,   0.556,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:242, 150978374354935,    3.101,   20.000,  900,   2.613,   8.756,   2.432,   0.840,   3.283,   0.912, 40,  0,   0.603,   2.093,   0.581,   0.043,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:313, 150978572284726,    3.171,    3.000,  800,   2.075,   8.903,   2.473,   0.356,   3.308,   0.919, 40,  0,   0.623,   2.137,   0.593,   0.007,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:423, 150978881504979,    3.282,    1.000,  800,   1.727,   9.093,   2.526,   0.136,   3.323,   0.923, 40,  0,   0.551,   2.197,   0.610,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:535, 150979197765609,    3.394,    5.000,  900,   2.118,   9.331,   2.592,   0.459,   3.375,   0.937, 40,  0,   0.559,   2.260,   0.628,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:640, 150979492906913,    3.499,    7.000, 2800,   3.744,   9.725,   2.701,   2.177,   3.604,   1.001, 45,  0,   0.649,   2.328,   0.647,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:750, 150979800712734,    3.609,   18.000,  900,   9.269,  10.741,   2.984,   7.252,   4.399,   1.222, 43,  0,   0.757,   2.411,   0.670,   0.047,   0.056,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:860, 150980110323747,    3.719,   21.000,  900,   3.558,  11.133,   3.093,   1.591,   4.574,   1.271, 41,  0,   0.766,   2.496,   0.693,   0.085,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:23:968, 150980413828989,    3.827,    5.000,  800,   2.142,  11.365,   3.157,   0.460,   4.624,   1.284, 40,  0,   0.577,   2.558,   0.711,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:079, 150980724242670,    3.938,    7.000, 1500,   2.447,  11.635,   3.232,   0.716,   4.703,   1.306, 41,  0,   0.680,   2.633,   0.731,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:220, 150981120799298,    4.079,   17.000, 1500,   4.604,  12.285,   3.413,   2.753,   5.092,   1.414, 41,  0,   0.791,   2.745,   0.762,   0.025,   0.069,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:300, 150981346214379,    4.159,    4.000,  800,   2.281,  12.469,   3.463,   0.536,   5.135,   1.426, 40,  0,   0.627,   2.795,   0.776,   0.037,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:407, 150981646799297,    4.266,    1.000,  800,   1.785,  12.660,   3.517,   0.147,   5.150,   1.431, 40,  0,   0.570,   2.856,   0.793,   0.015,   0.074,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:520, 150981962004240,    4.379,    5.000,  900,   2.125,  12.898,   3.583,   0.461,   5.202,   1.445, 40,  0,   0.574,   2.921,   0.811,   0.000,   0.074,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:629, 150982268290420,    4.488,    2.000,  800,   1.805,  13.095,   3.638,   0.206,   5.225,   1.451, 40,  0,   0.549,   2.981,   0.828,   0.000,   0.074,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:737, 150982573460951,    4.596,    3.000,  800,   1.905,  13.302,   3.695,   0.289,   5.256,   1.460, 40,  0,   0.565,   3.042,   0.845,   0.000,   0.074,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:843, 150982870203742,    4.702,    6.000,  900,   2.218,  13.536,   3.760,   0.492,   5.308,   1.474, 41,  0,   0.620,   3.108,   0.863,   0.032,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:24:953, 150983177368025,    4.811,   32.000, 1400,   4.342,  14.011,   3.892,   2.509,   5.583,   1.551, 40,  0,   0.819,   3.197,   0.888,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:065, 150983494002526,    4.924,    2.000,  800,   1.864,  14.222,   3.950,   0.243,   5.610,   1.558, 40,  0,   0.572,   3.262,   0.906,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:210, 150983900980064,    5.069,   30.000, 2500,   3.782,  14.770,   4.103,   1.964,   5.895,   1.637, 44,  0,   0.803,   3.378,   0.938,   0.019,   0.080,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:282, 150984101868014,    5.141,    8.000,  800,   4.209,  15.071,   4.186,   2.283,   6.058,   1.683, 40,  0,   0.834,   3.438,   0.955,   0.009,   0.081,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:396, 150984421924661,    5.255,    1.000,  800,   1.866,  15.284,   4.245,   0.202,   6.081,   1.689, 40,  0,   0.584,   3.504,   0.973,   0.021,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:505, 150984728587187,    5.364,   15.000, 1500,  11.507,  16.540,   4.595,   9.577,   7.127,   1.980, 45,  0,   0.772,   3.589,   0.997,   0.049,   0.088,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:616, 150985039339433,    5.474,   10.000,  800,   5.972,  17.201,   4.778,   4.092,   7.580,   2.105, 41,  0,   0.843,   3.682,   1.023,   0.073,   0.096,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:725, 150985345742577,    5.584,    1.000,  800,   1.797,  17.397,   4.833,   0.175,   7.599,   2.111, 40,  0,   0.558,   3.743,   1.040,   0.000,   0.096,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:827, 150985633913907,    5.686,    6.000,  800,   2.089,  17.612,   4.892,   0.445,   7.645,   2.123, 40,  0,   0.563,   3.801,   1.056,   0.000,   0.096,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:25:941, 150985953534617,    5.800,    3.000,  800,   1.908,  17.829,   4.952,   0.278,   7.676,   2.132, 40,  0,   0.561,   3.865,   1.073,   0.000,   0.096,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:26:048, 150986253304367,    5.907,    2.000,  800,   1.842,  18.025,   5.007,   0.216,   7.699,   2.139, 40,  0,   0.576,   3.926,   1.091,   0.004,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:26:156, 150986555122454,    6.014,    6.000,  800,   2.215,  18.264,   5.073,   0.463,   7.749,   2.152, 40,  0,   0.634,   3.994,   1.109,   0.032,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:50:26:266, 150986865252531,    6.125,   14.000, 1500,   3.405,  18.640,   5.178,   1.507,   7.915,   2.199, 43,  0,   0.695,   4.071,   1.131,   0.031,   0.104,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
