System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:25:30:759, 146780306461182,    0.106,    5.000,  900,   4.291,   0.454,   0.126,   2.438,   0.258,   0.072, 40,  0,   0.668,   0.071,   0.020,   0.050,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:30:867, 146780610348021,    0.214,    5.000,  900,   2.151,   0.686,   0.191,   0.431,   0.304,   0.085, 40,  0,   0.647,   0.141,   0.039,   0.010,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:30:981, 146780929855490,    0.328,    9.000,  900,   2.499,   0.971,   0.270,   0.713,   0.386,   0.107, 39,  0,   0.645,   0.214,   0.059,   0.018,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:096, 146781253101250,    0.443,    9.000,  900,   2.409,   1.248,   0.347,   0.652,   0.461,   0.128, 40,  0,   0.623,   0.286,   0.079,   0.014,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:195, 146781532303795,    0.542,   13.000,  900,   3.050,   1.551,   0.431,   1.004,   0.560,   0.156, 39,  0,   0.843,   0.369,   0.103,   0.216,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:25:31:305, 146781839600545,    0.652,   10.000,  900,   2.773,   1.855,   0.515,   0.823,   0.650,   0.181, 40,  0,   0.740,   0.450,   0.125,   0.099,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:415, 146782147361347,    0.761,    5.000,  900,   2.229,   2.099,   0.583,   0.470,   0.702,   0.195, 40,  0,   0.665,   0.523,   0.145,   0.022,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:527, 146782463919935,    0.874,   13.000,  900,   2.932,   2.429,   0.675,   0.958,   0.810,   0.225, 40,  0,   0.776,   0.611,   0.170,   0.141,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:633, 146782760488613,    0.980,   16.000, 2500,   3.447,   2.793,   0.776,   1.652,   0.984,   0.273, 40,  0,   0.836,   0.699,   0.194,   0.000,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:744, 146783072985567,    1.091,    9.000, 2800,   5.953,   3.456,   0.960,   3.998,   1.429,   0.397, 42,  0,   0.833,   0.792,   0.220,   0.038,   0.065,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:853, 146783378852085,    1.200,    5.000,  800,   2.372,   3.714,   1.032,   0.638,   1.499,   0.416, 40,  0,   0.653,   0.863,   0.240,   0.027,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:31:965, 146783692968573,    1.312,    9.000,  900,   2.456,   3.989,   1.108,   0.705,   1.578,   0.438, 40,  0,   0.631,   0.934,   0.259,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:073, 146783996518883,    1.420,   11.000,  900,   2.711,   4.282,   1.189,   0.958,   1.681,   0.467, 39,  0,   0.593,   0.998,   0.277,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:184, 146784308129572,    1.531,    5.000,  900,   2.125,   4.518,   1.255,   0.440,   1.730,   0.481, 40,  0,   0.591,   1.063,   0.295,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:290, 146784604186101,    1.636,    8.000,  900,   2.384,   4.769,   1.325,   0.661,   1.800,   0.500, 40,  0,   0.598,   1.126,   0.313,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:398, 146784908766438,    1.745,    4.000,  800,   1.987,   4.985,   1.385,   0.308,   1.833,   0.509, 39,  0,   0.598,   1.191,   0.331,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:508, 146785216731193,    1.854,    3.000,  800,   2.003,   5.205,   1.446,   0.345,   1.871,   0.520, 39,  0,   0.587,   1.255,   0.349,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:619, 146785529818699,    1.966,    6.000,  900,   2.273,   5.458,   1.516,   0.556,   1.933,   0.537, 39,  0,   0.586,   1.321,   0.367,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:754, 146785909946684,    2.101,   64.000, 2200,   5.816,   6.245,   1.735,   3.799,   2.447,   0.680, 43,  0,   1.210,   1.485,   0.412,   0.079,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:839, 146786147502498,    2.186,   25.000, 3000,  11.153,   7.189,   1.997,   8.683,   3.182,   0.884, 47,  0,   1.361,   1.600,   0.444,   0.339,   0.107,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:32:946, 146786447218415,    2.293,   16.000, 2800,  12.477,   8.521,   2.367,  10.606,   4.314,   1.198, 47,  0,   0.843,   1.690,   0.469,   0.087,   0.117,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:33:054, 146786750210159,    2.400,    6.000,  800,   4.272,   8.982,   2.495,   2.365,   4.569,   1.269, 40,  0,   0.741,   1.770,   0.492,   0.041,   0.121,   0.034,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:25:33:165, 146787062049077,    2.512,    2.000,  800,   1.856,   9.188,   2.552,   0.231,   4.595,   1.276, 39,  0,   0.568,   1.833,   0.509,   0.000,   0.121,   0.034,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
