System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:45:42:673, 150190536147290,    0.099,   14.000, 2800,   6.975,   0.693,   0.192,   5.070,   0.503,   0.140, 45,  0,   0.709,   0.070,   0.020,   0.046,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:42:782, 150190842687127,    0.208,   16.000, 3500,   8.827,   1.656,   0.460,   6.995,   1.267,   0.352, 53,  0,   0.805,   0.158,   0.044,   0.017,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:42:893, 150191154176829,    0.319,   22.000, 2800,  11.012,   2.878,   0.799,   8.923,   2.257,   0.627, 46,  0,   1.181,   0.289,   0.080,   0.003,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:001, 150191455516733,    0.427,   13.000, 2800,   6.898,   3.618,   1.005,   5.061,   2.800,   0.778, 44,  0,   0.647,   0.359,   0.100,   0.000,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:109, 150191760210896,    0.535,   18.000, 2800,   7.189,   4.398,   1.222,   5.224,   3.367,   0.935, 45,  0,   0.826,   0.448,   0.125,   0.047,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:45:43:220, 150192072933880,    0.647,   37.000, 1500,   5.268,   4.985,   1.385,   3.192,   3.722,   1.034, 43,  0,   0.821,   0.540,   0.150,   0.176,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:332, 150192386845627,    0.758,   17.000, 1000,   3.885,   5.419,   1.505,   1.929,   3.938,   1.094, 43,  0,   0.748,   0.623,   0.173,   0.056,   0.038,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:441, 150192692267936,    0.867,   18.000, 1700,   4.659,   5.926,   1.646,   2.707,   4.233,   1.176, 44,  0,   0.722,   0.702,   0.195,   0.075,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:551, 150193000160807,    0.977,   17.000, 2600,   6.807,   6.672,   1.853,   4.896,   4.769,   1.325, 45,  0,   0.755,   0.785,   0.218,   0.042,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:656, 150193297379009,    1.083,   19.000,  900,   5.071,   7.209,   2.002,   3.055,   5.093,   1.415, 42,  0,   1.064,   0.897,   0.249,   0.044,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:768, 150193610012881,    1.194,   21.000, 2500,   4.482,   7.708,   2.141,   2.574,   5.379,   1.494, 43,  0,   0.771,   0.983,   0.273,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:876, 150193913616112,    1.302,   12.000,  900,   5.190,   8.269,   2.297,   3.391,   5.746,   1.596, 44,  0,   0.844,   1.075,   0.298,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:43:992, 150194238531067,    1.418,   13.000, 2500,   3.905,   8.721,   2.422,   2.032,   5.981,   1.661, 43,  0,   0.898,   1.178,   0.327,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:098, 150194536869370,    1.524,    6.000,  900,   2.511,   8.987,   2.497,   0.801,   6.066,   1.685, 41,  0,   0.597,   1.242,   0.345,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:221, 150194883503129,    1.647,   16.000, 1000,   2.904,   9.346,   2.596,   1.097,   6.202,   1.723, 41,  0,   0.597,   1.316,   0.365,   0.022,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:312, 150195138992582,    1.738,    8.000,  900,   2.444,   9.568,   2.658,   0.655,   6.261,   1.739, 41,  0,   0.694,   1.379,   0.383,   0.011,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:426, 150195457609435,    1.852,    6.000,  900,   2.210,   9.819,   2.728,   0.512,   6.319,   1.755, 40,  0,   0.657,   1.453,   0.404,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:533, 150195757360704,    1.959,   12.000,  900,   2.672,  10.104,   2.807,   0.914,   6.417,   1.782, 40,  0,   0.668,   1.525,   0.423,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:645, 150196072909026,    2.071,    8.000,  900,   2.372,  10.371,   2.881,   0.643,   6.489,   1.802, 40,  0,   0.636,   1.596,   0.443,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:756, 150196383777494,    2.182,    4.000,  900,   2.061,  10.599,   2.944,   0.392,   6.532,   1.815, 41,  0,   0.595,   1.662,   0.462,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:860, 150196677853891,    2.287,    7.000,  900,   2.394,  10.850,   3.014,   0.671,   6.603,   1.834, 40,  0,   0.597,   1.724,   0.479,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:44:974, 150196995486553,    2.400,    6.000,  900,   2.234,  11.102,   3.084,   0.538,   6.664,   1.851, 40,  0,   0.572,   1.789,   0.497,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:078, 150197288818815,    2.504,   17.000, 2800,   5.756,  11.704,   3.251,   3.774,   7.058,   1.961, 49,  0,   1.122,   1.906,   0.530,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:209, 150197657401645,    2.635,   16.000, 1400,   3.439,  12.155,   3.376,   1.658,   7.276,   2.021, 41,  0,   0.638,   1.990,   0.553,   0.020,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:45:45:297, 150197904225605,    2.723,    5.000,  900,   2.338,  12.361,   3.434,   0.580,   7.326,   2.035, 41,  0,   0.651,   2.047,   0.569,   0.020,   0.063,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:406, 150198210513937,    2.832,    3.000,  900,   1.974,  12.576,   3.493,   0.323,   7.362,   2.045, 40,  0,   0.585,   2.111,   0.586,   0.000,   0.063,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:522, 150198535313931,    2.948,   36.000,  900,   3.946,  13.032,   3.620,   2.054,   7.599,   2.111, 41,  0,   0.846,   2.209,   0.614,   0.036,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:629, 150198836618029,    3.055,   10.000, 2800,   4.011,  13.463,   3.740,   2.059,   7.820,   2.172, 41,  0,   0.804,   2.295,   0.638,   0.109,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:734, 150199132711782,    3.161,    9.000,  900,   2.411,  13.717,   3.810,   0.702,   7.894,   2.193, 42,  0,   0.638,   2.363,   0.656,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:844, 150199440296826,    3.270,    8.000,  900,   2.442,  13.984,   3.885,   0.698,   7.971,   2.214, 41,  0,   0.617,   2.430,   0.675,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:45:953, 150199745685232,    3.379,    4.000,  900,   2.043,  14.207,   3.946,   0.366,   8.010,   2.225, 40,  0,   0.604,   2.496,   0.693,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:062, 150200051898887,    3.488,    5.000,  900,   2.018,  14.427,   4.007,   0.316,   8.045,   2.235, 40,  0,   0.621,   2.564,   0.712,   0.034,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:187, 150200404680516,    3.614,   32.000, 1500,   5.737,  15.148,   4.208,   3.783,   8.520,   2.367, 43,  0,   0.978,   2.686,   0.746,   0.042,   0.088,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:287, 150200684905011,    3.714,    2.000,  800,   2.049,  15.352,   4.264,   0.358,   8.556,   2.377, 40,  0,   0.591,   2.745,   0.763,   0.010,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:390, 150200973216929,    3.816,    1.000,  800,   1.782,  15.535,   4.315,   0.187,   8.575,   2.382, 40,  0,   0.561,   2.803,   0.779,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:500, 150201283123974,    3.927,    5.000,  800,   2.145,  15.772,   4.381,   0.481,   8.628,   2.397, 40,  0,   0.569,   2.866,   0.796,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:613, 150201597698818,    4.039,    8.000, 2800,   4.673,  16.295,   4.527,   2.937,   8.957,   2.488, 48,  0,   0.699,   2.944,   0.818,   0.033,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:721, 150201901206193,    4.147,   16.000, 1100,  11.731,  17.563,   4.879,   9.766,  10.012,   2.781, 44,  0,   0.854,   3.036,   0.843,   0.039,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:832, 150202214758088,    4.258,    5.000,  800,   2.416,  17.833,   4.954,   0.649,  10.085,   2.801, 41,  0,   0.622,   3.106,   0.863,   0.037,   0.101,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:46:938, 150202511951196,    4.364,    1.000,  800,   1.766,  18.020,   5.006,   0.170,  10.103,   2.806, 40,  0,   0.555,   3.165,   0.879,   0.000,   0.101,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:049, 150202823156329,    4.475,    2.000,  800,   1.817,  18.221,   5.062,   0.203,  10.125,   2.813, 40,  0,   0.568,   3.228,   0.897,   0.000,   0.101,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:224, 150203315552494,    4.650,   25.000,  900,   2.771,  18.707,   5.196,   1.000,  10.301,   2.861, 41,  0,   0.683,   3.347,   0.930,   0.020,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:45:47:267, 150203435594942,    4.693,   17.000,  900,   3.311,  18.849,   5.236,   1.308,  10.357,   2.877, 42,  0,   0.959,   3.388,   0.941,   0.044,   0.106,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:378, 150203748168898,    4.804,   10.000,  900,   3.057,  19.189,   5.330,   1.246,  10.495,   2.915, 41,  0,   0.779,   3.475,   0.965,   0.000,   0.106,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:484, 150204046218302,    4.911,    5.000,  800,   2.145,  19.417,   5.394,   0.486,  10.547,   2.930, 40,  0,   0.568,   3.535,   0.982,   0.000,   0.106,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:597, 150204360684470,    5.023,   12.000, 3200,   9.211,  20.448,   5.680,   7.460,  11.382,   3.162, 54,  0,   0.707,   3.615,   1.004,   0.035,   0.110,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:708, 150204674385161,    5.134,   14.000,  800,   8.071,  21.350,   5.931,   6.079,  12.061,   3.350, 41,  0,   0.840,   3.708,   1.030,   0.072,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:815, 150204974044363,    5.241,    5.000,  800,   2.160,  21.580,   5.995,   0.463,  12.111,   3.364, 41,  0,   0.581,   3.770,   1.047,   0.000,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:47:922, 150205276076380,    5.349,    2.000,  800,   1.863,  21.781,   6.050,   0.253,  12.138,   3.372, 41,  0,   0.563,   3.831,   1.064,   0.000,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:037, 150205598371794,    5.463,    4.000,  800,   2.119,  22.024,   6.118,   0.400,  12.184,   3.384, 40,  0,   0.615,   3.902,   1.084,   0.024,   0.121,   0.034,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:142, 150205893405082,    5.568,    5.000,  800,   2.132,  22.248,   6.180,   0.465,  12.233,   3.398, 40,  0,   0.560,   3.960,   1.100,   0.000,   0.121,   0.034,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:254, 150206206968831,    5.680,   10.000,  800,   2.710,  22.551,   6.264,   0.889,  12.332,   3.426, 40,  0,   0.614,   4.029,   1.119,   0.052,   0.127,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:364, 150206518994885,    5.791,   19.000, 2800,  12.816,  23.975,   6.660,  10.861,  13.539,   3.761, 50,  0,   1.016,   4.142,   1.151,   0.023,   0.130,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:474, 150206826034271,    5.901,   15.000, 1200,   7.760,  24.823,   6.895,   5.778,  14.171,   3.936, 42,  0,   1.055,   4.257,   1.183,   0.055,   0.136,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:583, 150207130107525,    6.009,    2.000,  800,   1.888,  25.028,   6.952,   0.267,  14.199,   3.944, 41,  0,   0.565,   4.318,   1.200,   0.000,   0.136,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:690, 150207430832214,    6.116,    3.000,  800,   1.947,  25.236,   7.010,   0.309,  14.233,   3.953, 40,  0,   0.577,   4.380,   1.217,   0.009,   0.137,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:801, 150207742734860,    6.227,    5.000,  800,   2.250,  25.486,   7.079,   0.515,  14.290,   3.969, 40,  0,   0.603,   4.447,   1.235,   0.010,   0.138,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:48:907, 150208042055242,    6.334,    2.000,  800,   1.827,  25.681,   7.134,   0.228,  14.314,   3.976, 40,  0,   0.571,   4.508,   1.252,   0.002,   0.138,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:49:019, 150208354943140,    6.445,    7.000, 3300,   5.141,  26.254,   7.293,   3.313,  14.683,   4.079, 49,  0,   0.698,   4.586,   1.274,   0.055,   0.144,   0.040,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:45:49:126, 150208655729368,    6.552,   20.000,  900,   8.905,  27.208,   7.558,   6.981,  15.431,   4.286, 41,  0,   0.797,   4.671,   1.298,   0.036,   0.148,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
