System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:21:00:605, 146021713051734,    0.111,   14.000, 2800,  12.252,   1.357,   0.377,  10.194,   1.129,   0.314, 45,  0,   0.793,   0.088,   0.024,   0.023,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:00:713, 146022016219833,    0.219,   21.000, 3200,  14.561,   2.929,   0.814,  12.648,   2.494,   0.693, 50,  0,   0.811,   0.175,   0.049,   0.034,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:00:822, 146022321975670,    0.328,   14.000, 3400,  13.920,   4.445,   1.235,  11.990,   3.800,   1.056, 48,  0,   0.769,   0.259,   0.072,   0.006,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:00:935, 146022638556347,    0.440,   13.000, 2800,   9.954,   5.567,   1.546,   8.039,   4.706,   1.307, 44,  0,   0.693,   0.337,   0.094,   0.000,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:043, 146022944270442,    0.549,   21.000, 1000,   6.470,   6.271,   1.742,   4.564,   5.203,   1.445, 44,  0,   0.724,   0.416,   0.116,   0.011,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:21:01:153, 146023252470110,    0.659,   24.000,  900,   3.556,   6.662,   1.850,   1.585,   5.377,   1.494, 42,  0,   0.752,   0.499,   0.139,   0.092,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:258, 146023545618576,    0.763,   18.000,  900,   3.246,   7.000,   1.945,   1.380,   5.521,   1.534, 42,  0,   0.617,   0.563,   0.156,   0.004,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:367, 146023853749320,    0.873,   19.000, 2500,   5.336,   7.586,   2.107,   3.435,   5.898,   1.638, 48,  0,   0.706,   0.641,   0.178,   0.019,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:477, 146024161024529,    0.983,   14.000, 3500,  10.831,   8.771,   2.436,   8.971,   6.880,   1.911, 61,  0,   0.676,   0.715,   0.198,   0.044,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:585, 146024465370430,    1.091,   24.000, 3200,  16.197,  10.527,   2.924,  14.136,   8.412,   2.337, 48,  0,   1.317,   0.857,   0.238,   0.072,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:696, 146024777386760,    1.202,   21.000, 2800,  11.651,  11.821,   3.284,   9.611,   9.480,   2.633, 49,  0,   0.849,   0.952,   0.264,   0.086,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:808, 146025091903941,    1.314,   16.000, 1000,   5.838,  12.475,   3.465,   3.776,   9.903,   2.751, 43,  0,   0.717,   1.032,   0.287,   0.106,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:01:914, 146025389831198,    1.420,   17.000, 2800,   5.528,  13.062,   3.628,   3.536,  10.278,   2.855, 45,  0,   0.693,   1.105,   0.307,   0.078,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:023, 146025693498223,    1.528,   31.000, 2800,  11.161,  14.269,   3.964,   9.179,  11.271,   3.131, 50,  0,   0.929,   1.206,   0.335,   0.082,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:138, 146026018572343,    1.644,   38.000, 2800,  16.087,  16.131,   4.481,  14.175,  12.912,   3.587, 47,  0,   0.868,   1.306,   0.363,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:245, 146026318332144,    1.751,   34.000, 2800,   8.910,  17.082,   4.745,   6.989,  13.658,   3.794, 48,  0,   0.830,   1.395,   0.387,   0.067,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:357, 146026632304767,    1.863,   34.000, 3200,  10.975,  18.309,   5.086,   8.972,  14.661,   4.073, 49,  0,   0.897,   1.495,   0.415,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:462, 146026926483218,    1.967,   30.000, 2800,   7.653,  19.111,   5.309,   5.727,  15.261,   4.239, 46,  0,   0.813,   1.580,   0.439,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:576, 146027247885183,    2.082,   36.000, 2800,  10.583,  20.323,   5.645,   8.602,  16.246,   4.513, 50,  0,   1.248,   1.723,   0.479,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:679, 146027536489118,    2.185,   24.000, 2800,  13.374,  21.697,   6.027,  11.153,  17.392,   4.831, 51,  0,   1.422,   1.869,   0.519,   0.035,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:796, 146027864497934,    2.301,   13.000, 2600,   4.550,  22.229,   6.175,   2.579,  17.693,   4.915, 44,  0,   0.817,   1.965,   0.546,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:02:900, 146028157582828,    2.406,   14.000, 2500,   5.315,  22.783,   6.329,   3.384,  18.046,   5.013, 42,  0,   0.853,   2.054,   0.570,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:012, 146028471370568,    2.518,    3.000, 1000,   1.977,  23.004,   6.390,   0.332,  18.083,   5.023, 42,  0,   0.594,   2.120,   0.589,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:122, 146028780303670,    2.628,    1.000,  900,   1.805,  23.203,   6.445,   0.192,  18.105,   5.029, 42,  0,   0.561,   2.182,   0.606,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:232, 146029089462518,    2.738,   11.000, 1000,   2.597,  23.489,   6.525,   0.843,  18.197,   5.055, 41,  0,   0.633,   2.252,   0.625,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:336, 146029383913388,    2.843,   11.000,  900,   2.343,  23.735,   6.593,   0.658,  18.266,   5.074, 42,  0,   0.620,   2.317,   0.644,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:447, 146029692541120,    2.952,   28.000, 1500,   4.463,  24.225,   6.729,   2.387,  18.529,   5.147, 42,  0,   0.910,   2.417,   0.671,   0.141,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:556, 146029998103125,    3.061,   22.000, 3500,  11.748,  25.504,   7.084,   9.592,  19.573,   5.437, 56,  0,   0.991,   2.524,   0.701,   0.214,   0.121,   0.034,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:713, 146030442274140,    3.219,   46.000, 1500,   6.833,  26.584,   7.385,   4.775,  20.328,   5.647, 43,  0,   1.047,   2.690,   0.747,   0.104,   0.138,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:21:03:777, 146030621063574,    3.283,   12.000, 1500,   4.470,  26.869,   7.464,   2.447,  20.484,   5.690, 44,  0,   1.019,   2.755,   0.765,   0.056,   0.141,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
