System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:26:30:289, 146947467327818,    0.100,   10.000,  900,   5.150,   0.517,   0.144,   3.080,   0.309,   0.086, 40,  0,   0.903,   0.091,   0.025,   0.102,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:30:403, 146947787796091,    0.215,    6.000,  900,   2.225,   0.771,   0.214,   0.483,   0.364,   0.101, 39,  0,   0.616,   0.161,   0.045,   0.016,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:30:507, 146948079172794,    0.318,    4.000,  900,   2.125,   0.992,   0.275,   0.392,   0.405,   0.113, 39,  0,   0.632,   0.227,   0.063,   0.005,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:30:618, 146948389697906,    0.429,    5.000,  800,   2.059,   1.219,   0.339,   0.393,   0.449,   0.125, 39,  0,   0.591,   0.292,   0.081,   0.000,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:30:733, 146948711788179,    0.544,   14.000,  900,   2.698,   1.529,   0.425,   0.869,   0.548,   0.152, 38,  0,   0.567,   0.357,   0.099,   0.059,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:30:837, 146949005268441,    0.648,    9.000,  800,   2.470,   1.787,   0.496,   0.721,   0.624,   0.173, 39,  0,   0.586,   0.418,   0.116,   0.005,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:30:944, 146949306742776,    0.755,    5.000,  800,   1.979,   2.000,   0.555,   0.323,   0.658,   0.183, 39,  0,   0.597,   0.482,   0.134,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:056, 146949621759463,    0.868,   12.000,  900,   2.778,   2.311,   0.642,   0.962,   0.766,   0.213, 39,  0,   0.659,   0.556,   0.155,   0.010,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:170, 146949940004906,    0.981,    9.000,  800,   2.572,   2.603,   0.723,   0.652,   0.840,   0.233, 39,  0,   0.763,   0.643,   0.179,   0.114,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:278, 146950242628494,    1.089,   14.000, 2200,   3.440,   2.973,   0.826,   1.517,   1.004,   0.279, 41,  0,   0.900,   0.740,   0.205,   0.072,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:382, 146950535817519,    1.193,    9.000, 2800,   5.334,   3.530,   0.981,   3.315,   1.350,   0.375, 40,  0,   0.929,   0.837,   0.232,   0.102,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:495, 146950853488507,    1.306,    9.000,  800,   2.616,   3.826,   1.063,   0.733,   1.433,   0.398, 39,  0,   0.752,   0.922,   0.256,   0.064,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:605, 146951161939818,    1.416,   15.000,  900,   2.953,   4.151,   1.153,   1.045,   1.547,   0.430, 40,  0,   0.720,   1.001,   0.278,   0.042,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:725, 146951500934139,    1.537,   16.000, 1500,   2.900,   4.501,   1.250,   1.038,   1.673,   0.465, 39,  0,   0.616,   1.075,   0.299,   0.063,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:823, 146951772876163,    1.634,    7.000,  800,   2.592,   4.752,   1.320,   0.801,   1.750,   0.486, 39,  0,   0.694,   1.142,   0.317,   0.005,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:31:932, 146952078916137,    1.743,    9.000,  800,   2.390,   5.012,   1.392,   0.634,   1.819,   0.505, 39,  0,   0.696,   1.218,   0.338,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:041, 146952386158510,    1.852,   13.000,  800,   2.743,   5.312,   1.476,   0.957,   1.924,   0.534, 39,  0,   0.629,   1.287,   0.358,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:148, 146952686738404,    1.959,    5.000,  800,   2.093,   5.536,   1.538,   0.401,   1.967,   0.546, 38,  0,   0.615,   1.353,   0.376,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:258, 146952996257829,    2.069,   26.000,  900,   3.368,   5.908,   1.641,   1.509,   2.133,   0.593, 40,  0,   0.679,   1.428,   0.397,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:367, 146953301669499,    2.178,   48.000,  900,   4.285,   6.374,   1.770,   2.315,   2.385,   0.663, 40,  0,   0.955,   1.532,   0.425,   0.022,   0.075,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:476, 146953608577136,    2.287,   48.000, 1500,   7.895,   7.237,   2.010,   5.710,   3.009,   0.836, 44,  0,   1.416,   1.686,   0.468,   0.116,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:589, 146953926236425,    2.401,   13.000, 1500,   6.057,   7.922,   2.200,   4.216,   3.486,   0.968, 43,  0,   0.677,   1.763,   0.490,   0.000,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:705, 146954251025315,    2.516,   26.000, 1500,   7.429,   8.781,   2.439,   5.474,   4.120,   1.144, 44,  0,   0.737,   1.848,   0.513,   0.055,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:804, 146954528046110,    2.615,   17.000,  900,   5.545,   9.328,   2.591,   3.692,   4.484,   1.245, 40,  0,   0.686,   1.916,   0.532,   0.014,   0.095,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:32:913, 146954836047919,    2.725,   18.000, 1500,   3.715,   9.735,   2.704,   1.804,   4.682,   1.300, 42,  0,   0.672,   1.990,   0.553,   0.041,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:023, 146955144082374,    2.834,   17.000, 1500,   4.521,  10.231,   2.842,   2.650,   4.972,   1.381, 40,  0,   0.661,   2.062,   0.573,   0.000,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:135, 146955456899485,    2.946,   17.000, 1500,   4.467,  10.729,   2.980,   2.595,   5.261,   1.461, 42,  0,   0.752,   2.146,   0.596,   0.000,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:243, 146955760945143,    3.054,   17.000, 1500,   4.452,  11.211,   3.114,   2.614,   5.544,   1.540, 42,  0,   0.691,   2.221,   0.617,   0.000,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:357, 146956080564196,    3.168,   16.000,  900,   4.253,  11.695,   3.249,   2.375,   5.815,   1.615, 40,  0,   0.651,   2.295,   0.637,   0.000,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:461, 146956374808668,    3.273,   16.000, 1500,   3.218,  12.032,   3.342,   1.316,   5.953,   1.654, 40,  0,   0.651,   2.363,   0.656,   0.039,   0.104,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:572, 146956684065076,    3.383,   25.000, 1500,  10.108,  13.146,   3.652,   8.062,   6.841,   1.900, 44,  0,   1.282,   2.504,   0.696,   0.028,   0.107,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:33:708, 146957070320963,    3.520,   26.000, 1500,   6.647,  14.060,   3.906,   4.715,   7.489,   2.080, 44,  0,   0.714,   2.602,   0.723,   0.044,   0.113,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
