System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:28:24:496, 147268160057432,    0.104,   15.000, 2800,   7.993,   0.832,   0.231,   5.964,   0.621,   0.172, 43,  0,   0.825,   0.086,   0.024,   0.124,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:24:601, 147268456095180,    0.209,   41.000, 3400,  19.097,   2.845,   0.790,  16.973,   2.410,   0.669, 55,  0,   1.502,   0.244,   0.068,   0.058,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:24:714, 147268772257028,    0.322,   48.000, 2800,  13.783,   4.397,   1.221,  11.743,   3.732,   1.037, 45,  0,   1.091,   0.367,   0.102,   0.034,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:24:824, 147269080624891,    0.432,   33.000, 2800,   9.806,   5.474,   1.521,   7.905,   4.600,   1.278, 45,  0,   0.883,   0.464,   0.129,   0.016,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:24:934, 147269389339553,    0.542,   39.000, 2800,  11.716,   6.762,   1.878,   9.750,   5.672,   1.576, 44,  0,   0.992,   0.573,   0.159,   0.024,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:25:042, 147269692457482,    0.650,   29.000, 1200,   7.436,   7.565,   2.101,   5.484,   6.264,   1.740, 42,  0,   0.909,   0.671,   0.186,   0.004,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:25:148, 147269990253477,    0.756,   36.000, 1200,   4.559,   8.048,   2.236,   2.660,   6.546,   1.818, 41,  0,   0.874,   0.764,   0.212,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:25:260, 147270306333182,    0.868,   36.000, 1200,   4.821,   8.591,   2.386,   2.896,   6.872,   1.909, 40,  0,   0.858,   0.860,   0.239,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:25:373, 147270621468331,    0.981,   35.000, 1500,   4.305,   9.074,   2.521,   2.416,   7.143,   1.984, 40,  0,   0.768,   0.947,   0.263,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:28:25:476, 147270910789083,    1.084,   36.000, 1500,   4.458,   9.533,   2.648,   2.591,   7.410,   2.058, 41,  0,   0.784,   1.027,   0.285,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
