System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:15:34:633, 145106382781299,    0.110,    7.000,  800,   3.674,   0.403,   0.112,   1.812,   0.199,   0.055, 42,  0,   0.675,   0.074,   0.021,   0.043,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:34:748, 145106704702010,    0.224,   15.000,  800,   2.995,   0.746,   0.207,   1.140,   0.329,   0.091, 40,  0,   0.636,   0.147,   0.041,   0.040,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:34:855, 145107008064810,    0.332,    4.000,  800,   2.121,   0.975,   0.271,   0.383,   0.371,   0.103, 40,  0,   0.623,   0.214,   0.060,   0.017,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:34:963, 145107310555044,    0.440,    7.000,  800,   2.311,   1.224,   0.340,   0.601,   0.435,   0.121, 40,  0,   0.589,   0.278,   0.077,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:35:069, 145107609103461,    0.546,    5.000,  800,   2.118,   1.449,   0.403,   0.413,   0.479,   0.133, 40,  0,   0.624,   0.344,   0.096,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:35:179, 145107916058432,    0.656,   13.000,  800,   2.722,   1.747,   0.485,   0.902,   0.578,   0.161, 40,  0,   0.705,   0.421,   0.117,   0.022,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:35:290, 145108229697042,    0.767,    8.000,  800,   2.434,   2.019,   0.561,   0.683,   0.654,   0.182, 40,  0,   0.629,   0.491,   0.136,   0.012,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:35:398, 145108531390016,    0.875,    4.000,  800,   2.087,   2.243,   0.623,   0.362,   0.693,   0.192, 40,  0,   0.623,   0.558,   0.155,   0.008,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:35:507, 145108838407232,    0.984,   18.000, 2200,   3.473,   2.623,   0.728,   1.657,   0.874,   0.243, 44,  0,   0.867,   0.653,   0.181,   0.000,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:15:35:616, 145109144904362,    1.093,   12.000,  800,   4.623,   3.127,   0.869,   2.630,   1.161,   0.323, 41,  0,   0.931,   0.755,   0.210,   0.067,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
