System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:47:20:735, 150465895584278,    0.109,    6.000,  900,   4.385,   0.476,   0.132,   2.574,   0.280,   0.078, 41,  0,   0.799,   0.087,   0.024,   0.012,   0.001,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:20:849, 150466215723502,    0.223,    7.000,  900,   2.339,   0.743,   0.206,   0.588,   0.347,   0.096, 40,  0,   0.652,   0.161,   0.045,   0.009,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:20:954, 150466509109846,    0.327,    8.000,  900,   2.470,   1.001,   0.278,   0.696,   0.419,   0.117, 40,  0,   0.637,   0.228,   0.063,   0.003,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:062, 150466813442261,    0.436,    4.000,  900,   2.066,   1.225,   0.340,   0.393,   0.462,   0.128, 40,  0,   0.604,   0.293,   0.081,   0.000,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:228, 150467279401245,    0.601,   17.000,  900,   2.956,   1.716,   0.477,   1.133,   0.650,   0.181, 40,  0,   0.660,   0.403,   0.112,   0.023,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:286, 150467442638057,    0.660,   13.000,  900,   2.862,   1.882,   0.523,   1.021,   0.709,   0.197, 41,  0,   0.699,   0.443,   0.123,   0.043,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:393, 150467741047411,    0.766,    5.000,  900,   2.286,   2.125,   0.590,   0.487,   0.761,   0.211, 40,  0,   0.647,   0.512,   0.142,   0.031,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:501, 150468044190820,    0.874,    4.000,  900,   2.060,   2.347,   0.652,   0.373,   0.802,   0.223, 40,  0,   0.613,   0.578,   0.161,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:610, 150468349989597,    0.983,   11.000,  900,   2.564,   2.627,   0.730,   0.819,   0.891,   0.247, 40,  0,   0.652,   0.649,   0.180,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:721, 150468661741949,    1.094,   14.000, 1500,   3.284,   2.991,   0.831,   1.437,   1.050,   0.292, 43,  0,   0.817,   0.740,   0.206,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:833, 150468978546885,    1.207,    8.000,  900,   3.510,   3.387,   0.941,   1.706,   1.243,   0.345, 40,  0,   0.787,   0.829,   0.230,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:21:939, 150469274028179,    1.312,    6.000,  900,   2.243,   3.623,   1.006,   0.553,   1.301,   0.361, 40,  0,   0.615,   0.894,   0.248,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:051, 150469590253256,    1.424,   13.000,  900,   2.728,   3.930,   1.092,   0.946,   1.408,   0.391, 40,  0,   0.602,   0.961,   0.267,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:227, 150470083163675,    1.600,   17.000,  900,   2.825,   4.426,   1.230,   1.015,   1.586,   0.440, 40,  0,   0.631,   1.072,   0.298,   0.020,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:266, 150470195600333,    1.640,   13.000,  900,   2.796,   4.538,   1.261,   0.954,   1.624,   0.451, 40,  0,   0.767,   1.103,   0.306,   0.015,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:379, 150470509677996,    1.752,    9.000,  900,   2.463,   4.814,   1.337,   0.715,   1.704,   0.473, 40,  0,   0.642,   1.175,   0.326,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:484, 150470804509040,    1.857,    4.000,  900,   2.019,   5.026,   1.396,   0.361,   1.742,   0.484, 39,  0,   0.593,   1.237,   0.344,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:595, 150471116944443,    1.968,    8.000,  900,   2.313,   5.283,   1.468,   0.579,   1.806,   0.502, 40,  0,   0.676,   1.312,   0.364,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:708, 150471433554000,    2.081,    9.000,  800,   2.495,   5.565,   1.546,   0.742,   1.890,   0.525, 40,  0,   0.643,   1.385,   0.385,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:815, 150471734074568,    2.188,    9.000, 1500,   2.691,   5.853,   1.626,   0.902,   1.986,   0.552, 42,  0,   0.714,   1.461,   0.406,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:22:926, 150472045032413,    2.299,   11.000, 1500,   4.074,   6.304,   1.751,   2.251,   2.236,   0.621, 42,  0,   0.882,   1.559,   0.433,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:031, 150472343459735,    2.405,    7.000,  900,   2.408,   6.560,   1.822,   0.658,   2.306,   0.640, 40,  0,   0.620,   1.625,   0.451,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:143, 150472656012161,    2.516,    8.000,  900,   2.330,   6.819,   1.894,   0.598,   2.372,   0.659, 40,  0,   0.666,   1.699,   0.472,   0.000,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:251, 150472957855179,    2.624,   11.000, 1500,   3.042,   7.146,   1.985,   1.228,   2.504,   0.696, 42,  0,   0.661,   1.770,   0.492,   0.031,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:364, 150473277443817,    2.738,   11.000,  900,   2.672,   7.450,   2.069,   0.897,   2.606,   0.724, 40,  0,   0.655,   1.844,   0.512,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:469, 150473571949440,    2.842,    4.000,  900,   2.064,   7.667,   2.130,   0.378,   2.646,   0.735, 40,  0,   0.606,   1.908,   0.530,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:583, 150473891074803,    2.956,    4.000,  800,   2.082,   7.903,   2.195,   0.396,   2.691,   0.747, 40,  0,   0.609,   1.977,   0.549,   0.000,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:688, 150474187218349,    3.062,   51.000,  900,   4.702,   8.399,   2.333,   2.707,   2.976,   0.827, 40,  0,   0.910,   2.073,   0.576,   0.090,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:801, 150474504816281,    3.175,    6.000,  800,   3.805,   8.829,   2.453,   1.908,   3.192,   0.887, 40,  0,   0.768,   2.160,   0.600,   0.096,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:23:908, 150474804154443,    3.281,    7.000,  900,   2.269,   9.071,   2.520,   0.535,   3.249,   0.903, 40,  0,   0.660,   2.230,   0.620,   0.000,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:016, 150475105633235,    3.389,   14.000, 2800,   5.139,   9.623,   2.673,   3.240,   3.597,   0.999, 41,  0,   0.973,   2.335,   0.649,   0.000,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:130, 150475426345693,    3.503,    3.000,  800,   2.078,   9.860,   2.739,   0.421,   3.645,   1.013, 40,  0,   0.587,   2.402,   0.667,   0.000,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:235, 150475721181513,    3.608,   12.000, 1500,   2.718,  10.146,   2.818,   0.896,   3.739,   1.039, 40,  0,   0.620,   2.467,   0.685,   0.098,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:47:24:345, 150476032006053,    3.718,    4.000,  800,   2.326,  10.403,   2.890,   0.607,   3.806,   1.057, 40,  0,   0.597,   2.533,   0.704,   0.005,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:459, 150476350763233,    3.832,   10.000, 3400,   6.362,  11.125,   3.090,   4.594,   4.328,   1.202, 51,  0,   0.694,   2.612,   0.726,   0.031,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:567, 150476652941509,    3.940,   19.000, 1100,   9.336,  12.130,   3.369,   7.377,   5.122,   1.423, 43,  0,   0.897,   2.708,   0.752,   0.044,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:675, 150476958005661,    4.048,    4.000,  800,   2.259,  12.375,   3.438,   0.503,   5.176,   1.438, 40,  0,   0.636,   2.778,   0.772,   0.033,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:781, 150477256040148,    4.154,    2.000,  800,   1.828,  12.570,   3.492,   0.209,   5.198,   1.444, 40,  0,   0.566,   2.838,   0.788,   0.000,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:24:897, 150477580383407,    4.270,   25.000, 1500,   3.307,  12.951,   3.598,   1.568,   5.380,   1.494, 42,  0,   0.704,   2.919,   0.811,   0.000,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:000, 150477871421845,    4.374,   12.000,  800,   2.992,  13.262,   3.684,   1.281,   5.512,   1.531, 40,  0,   0.692,   2.991,   0.831,   0.006,   0.063,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:109, 150478177157293,    4.482,   15.000, 2800,   5.235,  13.832,   3.842,   3.240,   5.865,   1.629, 44,  0,   1.030,   3.103,   0.862,   0.032,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:225, 150478503992427,    4.599,   19.000,  900,   2.647,  14.140,   3.928,   0.875,   5.967,   1.657, 41,  0,   0.604,   3.173,   0.881,   0.040,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:329, 150478795496854,    4.703,    3.000,  800,   1.980,  14.345,   3.985,   0.289,   5.997,   1.666, 40,  0,   0.589,   3.234,   0.898,   0.008,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:438, 150479102314742,    4.812,    6.000, 2800,   2.507,  14.619,   4.061,   0.821,   6.087,   1.691, 42,  0,   0.609,   3.301,   0.917,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:547, 150479404597030,    4.920,   18.000, 3300,  11.473,  15.854,   4.404,   9.705,   7.131,   1.981, 49,  0,   0.798,   3.387,   0.941,   0.028,   0.075,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:656, 150479712926322,    5.029,    5.000,  800,   4.775,  16.379,   4.550,   2.821,   7.441,   2.067, 41,  0,   0.744,   3.469,   0.963,   0.054,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:769, 150480029005770,    5.142,   10.000, 2600,   3.067,  16.724,   4.646,   1.289,   7.586,   2.107, 41,  0,   0.543,   3.530,   0.980,   0.000,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:880, 150480342372036,    5.254,    6.000,  900,   2.188,  16.968,   4.713,   0.521,   7.644,   2.123, 41,  0,   0.578,   3.594,   0.998,   0.000,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:25:984, 150480634090198,    5.357,    1.000,  800,   1.764,  17.151,   4.764,   0.157,   7.661,   2.128, 40,  0,   0.553,   3.652,   1.014,   0.000,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:26:099, 150480956084050,    5.472,    5.000,  800,   1.976,  17.378,   4.827,   0.327,   7.698,   2.138, 40,  0,   0.589,   3.719,   1.033,   0.013,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:26:204, 150481251465918,    5.577,   33.000, 2200,   4.351,  17.836,   4.954,   2.394,   7.950,   2.208, 44,  0,   0.973,   3.821,   1.062,   0.046,   0.088,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:26:313, 150481556118769,    5.686,    4.000,  800,   3.059,  18.167,   5.047,   1.292,   8.090,   2.247, 40,  0,   0.736,   3.901,   1.084,   0.019,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:26:425, 150481872384344,    5.798,    4.000,  800,   1.952,  18.387,   5.108,   0.307,   8.125,   2.257, 40,  0,   0.569,   3.965,   1.101,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:47:26:531, 150482168754354,    5.904,    5.000,  900,   2.091,  18.608,   5.169,   0.429,   8.170,   2.269, 40,  0,   0.565,   4.025,   1.118,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
