System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:48:28:643, 150656580951190,    0.101,    3.000,  900,   2.830,   0.286,   0.079,   0.994,   0.100,   0.028, 40,  0,   0.645,   0.065,   0.018,   0.028,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:28:750, 150656880673058,    0.208,    5.000,  900,   2.119,   0.512,   0.142,   0.397,   0.143,   0.040, 40,  0,   0.629,   0.132,   0.037,   0.017,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:28:859, 150657186436916,    0.317,   15.000, 1500,   3.397,   0.882,   0.245,   1.517,   0.308,   0.086, 42,  0,   0.865,   0.227,   0.063,   0.012,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:28:970, 150657498930778,    0.428,    8.000,  900,   3.633,   1.286,   0.357,   1.842,   0.513,   0.142, 41,  0,   0.791,   0.315,   0.087,   0.000,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:081, 150657810593796,    0.539,   11.000,  900,   2.604,   1.575,   0.438,   0.800,   0.602,   0.167, 40,  0,   0.692,   0.391,   0.109,   0.018,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:227, 150658222124255,    0.685,   24.000,  900,   3.113,   2.031,   0.564,   1.203,   0.778,   0.216, 40,  0,   0.742,   0.500,   0.139,   0.073,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:300, 150658426031032,    0.758,    6.000,  900,   2.368,   2.203,   0.612,   0.524,   0.816,   0.227, 40,  0,   0.707,   0.551,   0.153,   0.076,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:411, 150658738253524,    0.869,   11.000,  900,   2.709,   2.505,   0.696,   0.872,   0.913,   0.254, 41,  0,   0.648,   0.623,   0.173,   0.042,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:515, 150659029432495,    0.973,   14.000,  900,   2.925,   2.808,   0.780,   1.022,   1.019,   0.283, 41,  0,   0.744,   0.701,   0.195,   0.056,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:627, 150659341918853,    1.084,    9.000,  900,   2.581,   3.095,   0.860,   0.710,   1.098,   0.305, 40,  0,   0.702,   0.779,   0.216,   0.064,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:735, 150659647177202,    1.193,    8.000,  800,   2.190,   3.333,   0.926,   0.477,   1.150,   0.319, 40,  0,   0.618,   0.846,   0.235,   0.000,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:844, 150659953416101,    1.302,   19.000,  800,   2.721,   3.630,   1.008,   0.961,   1.255,   0.349, 41,  0,   0.704,   0.923,   0.256,   0.016,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:29:954, 150660259809272,    1.411,   51.000, 2800,   5.999,   4.285,   1.190,   3.968,   1.688,   0.469, 47,  0,   1.067,   1.039,   0.289,   0.117,   0.056,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:48:30:065, 150660574177308,    1.523,   10.000, 1500,   6.827,   5.049,   1.402,   4.794,   2.224,   0.618, 42,  0,   0.988,   1.150,   0.319,   0.065,   0.063,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:230, 150661037112567,    1.688,   23.000,  900,   2.671,   5.489,   1.525,   0.909,   2.374,   0.660, 40,  0,   0.622,   1.252,   0.348,   0.034,   0.069,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:282, 150661181178380,    1.739,    5.000,  800,   2.170,   5.601,   1.556,   0.371,   2.393,   0.665, 41,  0,   0.660,   1.286,   0.357,   0.027,   0.070,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:395, 150661499160003,    1.852,    3.000,  800,   2.007,   5.828,   1.619,   0.341,   2.432,   0.676, 40,  0,   0.597,   1.354,   0.376,   0.003,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:506, 150661811787739,    1.964,    2.000,  800,   1.891,   6.038,   1.677,   0.237,   2.458,   0.683, 40,  0,   0.594,   1.420,   0.394,   0.010,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:611, 150662105172507,    2.068,    9.000, 1300,   2.517,   6.301,   1.750,   0.766,   2.538,   0.705, 42,  0,   0.568,   1.479,   0.411,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:720, 150662411953321,    2.178,    3.000,  800,   2.063,   6.527,   1.813,   0.432,   2.585,   0.718, 40,  0,   0.557,   1.540,   0.428,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:833, 150662730502235,    2.291,    9.000, 3100,   5.211,   7.118,   1.977,   3.500,   2.982,   0.828, 49,  0,   0.682,   1.617,   0.449,   0.014,   0.073,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:30:938, 150663023547836,    2.395,   15.000, 3500,  15.284,   8.713,   2.420,  13.343,   4.375,   1.215, 61,  0,   0.652,   1.685,   0.468,   0.023,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:48:31:047, 150663329518731,    2.504,   20.000, 3100,  15.476,  10.399,   2.889,  13.526,   5.849,   1.625, 54,  0,   0.935,   1.787,   0.497,   0.012,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
