System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:44:51:116, 150045763731490,    0.109,   10.000, 1100,   6.199,   0.676,   0.188,   4.276,   0.466,   0.129, 41,  0,   0.998,   0.109,   0.030,   0.010,   0.001,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:223, 150046063490102,    0.216,   15.000, 1500,   3.169,   1.014,   0.282,   1.336,   0.609,   0.169, 41,  0,   0.615,   0.174,   0.048,   0.049,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:332, 150046370128784,    0.325,    3.000,  800,   2.322,   1.268,   0.352,   0.560,   0.670,   0.186, 40,  0,   0.646,   0.245,   0.068,   0.014,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:439, 150046669825834,    0.432,   10.000,  800,   2.421,   1.526,   0.424,   0.690,   0.744,   0.207, 40,  0,   0.652,   0.315,   0.087,   0.003,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:547, 150046975548794,    0.541,   11.000,  800,   2.636,   1.813,   0.504,   0.834,   0.834,   0.232, 40,  0,   0.688,   0.390,   0.108,   0.012,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:656, 150047280760690,    0.649,    6.000,  800,   2.267,   2.060,   0.572,   0.501,   0.889,   0.247, 40,  0,   0.651,   0.460,   0.128,   0.016,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:771, 150047602417057,    0.764,    5.000,  800,   2.111,   2.301,   0.639,   0.415,   0.936,   0.260, 40,  0,   0.596,   0.529,   0.147,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:876, 150047896498792,    0.869,    9.000,  800,   2.434,   2.556,   0.710,   0.709,   1.011,   0.281, 40,  0,   0.615,   0.593,   0.165,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:51:985, 150048204223349,    0.978,   10.000,  900,   2.443,   2.824,   0.784,   0.684,   1.086,   0.302, 41,  0,   0.675,   0.667,   0.185,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:52:094, 150048509495175,    1.087,   12.000,  800,   2.712,   3.119,   0.866,   0.900,   1.183,   0.329, 41,  0,   0.734,   0.747,   0.207,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
