System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:05:44:884, 143450366797899,    0.099,   13.000, 2800,   6.911,   0.684,   0.190,   5.002,   0.495,   0.137, 42,  0,   0.701,   0.069,   0.019,   0.014,   0.001,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:44:992, 143450670366829,    0.207,   13.000, 2800,   6.935,   1.433,   0.398,   5.066,   1.042,   0.290, 43,  0,   0.702,   0.145,   0.040,   0.008,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:103, 143450980977195,    0.318,   15.000, 3400,   7.136,   2.223,   0.617,   5.427,   1.643,   0.456, 47,  0,   0.728,   0.226,   0.063,   0.003,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:211, 143451283725499,    0.425,   12.000, 2800,   7.764,   3.060,   0.850,   5.753,   2.263,   0.629, 43,  0,   0.649,   0.296,   0.082,   0.000,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:321, 143451593024407,    0.536,   27.000, 2800,   7.868,   3.926,   1.091,   5.997,   2.924,   0.812, 43,  0,   0.757,   0.379,   0.105,   0.000,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:431, 143451902651819,    0.646,   28.000, 2500,   6.896,   4.687,   1.302,   4.904,   3.464,   0.962, 44,  0,   1.067,   0.497,   0.138,   0.000,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:539, 143452207319719,    0.754,   22.000, 2000,   7.174,   5.465,   1.518,   5.266,   4.036,   1.121, 42,  0,   0.925,   0.597,   0.166,   0.015,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:651, 143452521170041,    0.866,   39.000,  900,   4.747,   5.996,   1.665,   2.748,   4.343,   1.206, 40,  0,   0.724,   0.678,   0.188,   0.082,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:761, 143452828294213,    0.976,   19.000, 1000,   4.290,   6.465,   1.796,   2.412,   4.607,   1.280, 40,  0,   0.677,   0.752,   0.209,   0.015,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:05:45:873, 143453145316007,    1.088,   18.000, 2600,   4.686,   6.994,   1.943,   2.819,   4.925,   1.368, 43,  0,   0.648,   0.825,   0.229,   0.043,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
