System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:54:45:376, 151714445829455,    0.099,   10.000,  900,   4.994,   0.492,   0.137,   2.884,   0.284,   0.079, 41,  0,   0.851,   0.084,   0.023,   0.135,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:45:486, 151714754577535,    0.208,    5.000,  800,   2.170,   0.731,   0.203,   0.406,   0.329,   0.091, 41,  0,   0.656,   0.156,   0.043,   0.028,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:45:596, 151715064484581,    0.319,   10.000,  800,   2.627,   1.021,   0.283,   0.817,   0.419,   0.116, 41,  0,   0.647,   0.227,   0.063,   0.023,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:45:705, 151715369925541,    0.428,   29.000,  900,   3.469,   1.398,   0.388,   1.571,   0.590,   0.164, 42,  0,   0.800,   0.314,   0.087,   0.023,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:45:813, 151715673035808,    0.536,   35.000, 2300,   6.158,   2.063,   0.573,   3.987,   1.020,   0.283, 44,  0,   1.271,   0.452,   0.125,   0.158,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:45:927, 151715993209731,    0.650,   22.000,  900,   5.336,   2.671,   0.742,   3.358,   1.403,   0.390, 42,  0,   0.845,   0.548,   0.152,   0.059,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:033, 151716291344499,    0.756,   23.000,  900,   3.508,   3.043,   0.845,   1.563,   1.569,   0.436, 41,  0,   0.794,   0.632,   0.176,   0.064,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:144, 151716604240920,    0.867,   24.000,  900,   3.458,   3.429,   0.952,   1.517,   1.738,   0.483, 41,  0,   0.800,   0.721,   0.200,   0.061,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:271, 151716959583159,    0.994,   40.000, 1500,   4.152,   3.954,   1.098,   2.135,   2.008,   0.558, 42,  0,   0.866,   0.831,   0.231,   0.101,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:361, 151717214004588,    1.084,   22.000,  900,   4.104,   4.326,   1.202,   2.232,   2.210,   0.614, 41,  0,   0.721,   0.896,   0.249,   0.009,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:470, 151717519968677,    1.193,   16.000,  900,   3.129,   4.667,   1.296,   1.287,   2.351,   0.653, 41,  0,   0.627,   0.965,   0.268,   0.000,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:580, 151717827129132,    1.303,   48.000,  900,   4.369,   5.145,   1.429,   2.398,   2.613,   0.726, 42,  0,   0.871,   1.060,   0.294,   0.049,   0.078,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:687, 151718128565028,    1.410,   25.000, 1500,   5.785,   5.766,   1.602,   3.801,   3.021,   0.839, 45,  0,   0.840,   1.150,   0.319,   0.115,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:46:803, 151718452464606,    1.525,   13.000, 1500,   6.310,   6.494,   1.804,   4.413,   3.530,   0.981, 45,  0,   0.638,   1.224,   0.340,   0.000,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
