System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:09:51:790, 144143680425679,    0.112,    6.000,  800,   4.209,   0.472,   0.131,   2.207,   0.247,   0.069, 38,  0,   0.780,   0.087,   0.024,   0.124,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:51:903, 144143995824521,    0.224,    8.000,  900,   2.468,   0.749,   0.208,   0.664,   0.322,   0.089, 38,  0,   0.665,   0.162,   0.045,   0.032,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:009, 144144293915585,    0.331,   10.000,  800,   2.536,   1.018,   0.283,   0.734,   0.400,   0.111, 38,  0,   0.669,   0.233,   0.065,   0.004,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:117, 144144599686354,    0.439,   14.000,  800,   2.662,   1.308,   0.363,   0.853,   0.493,   0.137, 38,  0,   0.665,   0.306,   0.085,   0.019,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:226, 144144905152988,    0.548,   10.000,  800,   2.524,   1.583,   0.440,   0.731,   0.572,   0.159, 38,  0,   0.718,   0.384,   0.107,   0.023,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:336, 144145214223814,    0.658,    9.000,  800,   2.518,   1.860,   0.517,   0.716,   0.651,   0.181, 38,  0,   0.630,   0.453,   0.126,   0.014,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:447, 144145525087045,    0.769,   13.000, 2200,   3.424,   2.239,   0.622,   1.565,   0.824,   0.229, 41,  0,   0.856,   0.548,   0.152,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:557, 144145834467585,    0.879,    9.000,  800,   3.681,   2.644,   0.735,   1.877,   1.031,   0.286, 39,  0,   0.819,   0.638,   0.177,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:689, 144146203722732,    1.011,   21.000, 1500,   3.253,   3.072,   0.853,   1.366,   1.211,   0.336, 39,  0,   0.649,   0.723,   0.201,   0.042,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:779, 144146456712157,    1.101,    4.000,  800,   2.237,   3.273,   0.909,   0.438,   1.250,   0.347, 39,  0,   0.652,   0.782,   0.217,   0.072,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:887, 144146760809125,    1.209,    5.000,  800,   2.103,   3.501,   0.973,   0.421,   1.296,   0.360, 38,  0,   0.590,   0.846,   0.235,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:52:992, 144147053307640,    1.313,    9.000,  800,   2.459,   3.757,   1.044,   0.714,   1.370,   0.381, 38,  0,   0.623,   0.911,   0.253,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:103, 144147365500382,    1.424,    8.000,  800,   2.369,   4.021,   1.117,   0.582,   1.435,   0.399, 38,  0,   0.695,   0.988,   0.274,   0.032,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:211, 144147671099790,    1.533,    8.000,  800,   2.369,   4.279,   1.189,   0.544,   1.494,   0.415, 38,  0,   0.704,   1.065,   0.296,   0.043,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:321, 144147978977633,    1.643,   11.000,  800,   2.565,   4.560,   1.267,   0.801,   1.582,   0.439, 38,  0,   0.630,   1.134,   0.315,   0.011,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:435, 144148298329912,    1.757,    5.000,  800,   2.099,   4.799,   1.333,   0.365,   1.623,   0.451, 38,  0,   0.638,   1.206,   0.335,   0.015,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:539, 144148591992147,    1.861,   10.000, 1300,   2.700,   5.081,   1.411,   0.924,   1.720,   0.478, 40,  0,   0.737,   1.283,   0.356,   0.000,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:688, 144149011058405,    2.010,   16.000, 1300,   4.131,   5.697,   1.583,   2.225,   2.052,   0.570, 39,  0,   0.799,   1.403,   0.390,   0.034,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:763, 144149220257717,    2.085,    3.000,  800,   2.137,   5.857,   1.627,   0.419,   2.083,   0.579, 38,  0,   0.626,   1.449,   0.403,   0.008,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:868, 144149514001834,    2.190,    4.000,  800,   1.984,   6.064,   1.684,   0.316,   2.116,   0.588, 38,  0,   0.592,   1.511,   0.420,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:53:981, 144149831817729,    2.303,    9.000,  800,   2.461,   6.343,   1.762,   0.714,   2.197,   0.610, 38,  0,   0.593,   1.578,   0.438,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:54:086, 144150126045351,    2.408,    4.000,  800,   2.068,   6.559,   1.822,   0.377,   2.237,   0.621, 38,  0,   0.608,   1.642,   0.456,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:54:199, 144150443251685,    2.520,    4.000,  800,   2.045,   6.790,   1.886,   0.363,   2.278,   0.633, 38,  0,   0.596,   1.709,   0.475,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:54:304, 144150740280271,    2.626,    7.000,  800,   2.266,   7.030,   1.953,   0.566,   2.337,   0.649, 38,  0,   0.579,   1.771,   0.492,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
