System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:10:55:340, 144322129062244,    0.107,    8.000, 3600,  20.369,   2.173,   0.604,   8.193,   0.874,   0.243, 41,  0,   0.976,   0.104,   0.029,   0.047,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:55:450, 144322437489106,    0.217,    1.000, 3600,  14.598,   3.776,   1.049,   2.382,   1.135,   0.315, 40,  0,   0.613,   0.171,   0.048,   0.039,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:55:556, 144322734634508,    0.322,    2.000, 3800,  15.728,   5.440,   1.511,   3.588,   1.515,   0.421, 40,  0,   0.622,   0.237,   0.066,   0.014,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:55:670, 144323054609305,    0.436,    6.000, 3600,  15.743,   7.234,   2.010,   3.521,   1.916,   0.532, 41,  0,   0.583,   0.304,   0.084,   0.086,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:55:778, 144323357485289,    0.544,    1.000, 3600,  14.289,   8.776,   2.438,   2.022,   2.135,   0.593, 40,  0,   0.599,   0.368,   0.102,   0.083,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:55:883, 144323651630630,    0.649,    5.000, 3600,  17.255,  10.583,   2.940,   5.166,   2.676,   0.743, 41,  0,   0.661,   0.438,   0.122,   0.043,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:55:992, 144323960079114,    0.759,    2.000, 3600,  15.131,  12.245,   3.401,   2.958,   3.001,   0.834, 40,  0,   0.657,   0.510,   0.142,   0.006,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:56:102, 144324267824795,    0.868,    2.000, 3600,  15.153,  13.906,   3.863,   2.932,   3.322,   0.923, 40,  0,   0.638,   0.580,   0.161,   0.041,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:56:211, 144324573155142,    0.977,    2.000, 3600,  15.678,  15.611,   4.336,   3.471,   3.699,   1.028, 40,  0,   0.606,   0.646,   0.179,   0.036,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:10:56:326, 144324895576013,    1.092,    5.000, 3500,  17.387,  17.607,   4.891,   5.395,   4.319,   1.200, 51,  0,   0.803,   0.738,   0.205,   0.038,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
