TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746684168,25.6,0.5,10.0,0.1,15.0,0.1
63750746685194,25.6,0.6,10.0,0.0,15.0,0.1
63750746686202,25.6,0.6,10.0,0.0,15.0,0.1
63750746687221,25.2,0.2,10.0,0.0,15.0,0.0
63750746688241,25.5,0.5,10.0,0.0,15.0,0.0
63750746689261,25.5,0.3,10.0,0.2,15.0,0.1
63750746690299,25.5,0.5,10.0,0.0,15.0,0.0
63750746691321,25.5,0.4,10.0,0.2,15.0,0.1
63750746692349,26.8,1.7,10.0,0.1,15.0,0.2
63750746693365,26.1,1.0,10.0,0.1,15.0,0.1
63750746694394,26.5,1.4,10.0,0.1,15.0,0.2
63750746695406,25.6,0.5,10.0,0.1,15.0,0.1
63750746696407,26.5,1.4,10.0,0.1,15.0,0.3
63750746697410,25.6,0.5,10.0,0.2,15.0,0.1
63750746698433,25.6,0.5,10.0,0.1,15.0,0.1
63750746699462,26.4,1.2,10.0,0.2,15.0,0.3
63750746700475,25.7,0.6,10.0,0.0,15.0,0.1
63750746701515,25.7,0.6,10.0,0.1,15.0,0.1
63750746702540,25.5,0.5,10.0,0.0,15.0,0.0
63750746703579,26.2,1.1,10.0,0.1,15.0,0.1
63750746704594,26.1,1.1,10.0,0.0,15.0,0.0
63750746705604,25.4,0.4,10.0,0.0,15.0,0.0
