TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750745871161,25.7,0.7,10.0,0.0,15.0,0.1
63750745872192,30.5,4.5,10.0,1.1,15.0,0.1
63750745873206,27.1,1.9,10.0,0.2,15.0,0.1
63750745874206,27.1,2.0,10.0,0.1,15.0,0.0
63750745875220,27.2,2.0,10.0,0.2,15.0,0.3
63750745876238,28.0,2.9,10.0,0.1,15.0,0.3
63750745877253,27.0,1.8,10.0,0.2,15.0,0.2
63750745878295,29.5,3.5,10.0,0.9,15.0,0.2
63750745879314,28.0,2.5,10.0,0.5,15.0,0.3
63750745880318,28.0,2.9,10.0,0.1,15.0,0.3
63750745881330,27.3,1.9,10.0,0.4,15.0,0.2
63750745882350,28.8,3.2,10.0,0.6,15.0,0.2
63750745883359,26.8,1.5,10.0,0.3,15.0,0.1
63750745884365,27.8,2.5,10.0,0.3,15.0,0.1
63750745885416,27.1,1.8,10.0,0.3,15.0,0.2
63750745886428,27.2,1.9,10.0,0.3,15.0,0.0
63750745887444,26.4,1.2,10.0,0.2,15.0,0.1
63750745888456,26.4,1.1,10.0,0.3,15.0,0.0
63750745889472,26.8,1.5,10.0,0.3,15.0,0.3
63750745890484,26.9,1.6,10.0,0.3,15.0,0.2
63750745891485,26.3,1.0,10.0,0.3,15.0,0.1
63750745892484,26.5,1.3,10.0,0.2,15.0,0.0
63750745893486,26.5,1.3,10.0,0.2,15.0,0.3
63750745894486,27.2,1.9,10.0,0.3,15.0,0.1
63750745895483,26.2,1.0,10.0,0.2,15.0,0.2
63750745896487,26.9,1.7,10.0,0.2,15.0,0.1
63750745897496,26.8,1.5,10.0,0.3,15.0,0.2
63750745898506,27.5,1.7,10.0,0.8,15.0,0.0
63750745899515,26.1,1.0,10.0,0.1,15.0,0.1
63750745900518,27.0,2.0,10.0,0.0,15.0,0.1
63750745901531,26.1,1.1,10.0,0.0,15.0,0.1
63750745902537,26.9,1.8,10.0,0.0,15.0,0.1
63750745903552,26.6,1.3,10.0,0.2,15.0,0.2
63750745904560,27.0,1.7,10.0,0.4,15.0,0.1
63750745905570,26.5,1.2,10.0,0.3,15.0,0.1
63750745906576,27.0,1.6,10.0,0.3,15.0,0.3
63750745907581,27.0,1.5,10.0,0.5,15.0,0.3
63750745908596,27.1,2.0,10.0,0.2,15.0,0.0
63750745909612,26.5,1.1,10.0,0.4,15.0,0.1
63750745910611,26.8,1.5,10.0,0.3,15.0,0.2
63750745911618,26.2,1.0,10.0,0.2,15.0,0.0
63750745912624,27.0,1.8,10.0,0.2,15.0,0.0
63750745913623,27.0,1.7,10.0,0.3,15.0,0.0
63750745914630,26.8,1.7,10.0,0.0,15.0,0.0
63750745915643,26.6,1.5,10.0,0.2,15.0,0.1
