TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750745965847,27.5,2.0,10.0,0.5,15.0,0.1
63750745966859,27.3,1.9,10.0,0.4,15.0,0.1
63750745967864,27.9,2.5,10.0,0.4,15.0,0.3
63750745968905,26.8,1.5,10.0,0.3,15.0,0.0
63750745969921,26.9,1.6,10.0,0.3,15.0,0.3
63750745970945,27.2,1.8,10.0,0.4,15.0,0.1
63750745971956,26.1,0.8,10.0,0.3,15.0,0.1
63750745972967,27.0,1.7,10.0,0.3,15.0,0.0
63750745973976,26.6,1.3,10.0,0.2,15.0,0.2
63750745974982,26.5,1.3,10.0,0.2,15.0,0.0
63750745975987,26.0,0.9,10.0,0.2,15.0,0.1
63750745976999,27.4,2.1,10.0,0.3,15.0,0.2
63750745978005,26.8,1.5,10.0,0.3,15.0,0.4
63750745979020,27.9,2.6,10.0,0.2,15.0,0.1
63750745980033,26.9,1.5,10.0,0.4,15.0,0.2
63750745981030,28.0,2.7,10.0,0.3,15.0,0.3
63750745982036,26.6,1.5,10.0,0.1,15.0,0.1
63750745983054,27.7,2.5,10.0,0.1,15.0,0.5
63750745984068,27.2,1.8,10.0,0.5,15.0,0.2
63750745985079,27.2,2.2,10.0,0.0,15.0,0.4
63750745986083,26.1,1.1,10.0,0.0,15.0,0.1
63750745987094,26.5,1.3,10.0,0.2,15.0,0.0
63750745988100,26.3,1.0,10.0,0.3,15.0,0.1
63750745989108,26.7,1.6,10.0,0.1,15.0,0.3
63750745990113,26.6,1.4,10.0,0.2,15.0,0.1
63750745991130,27.1,1.9,10.0,0.2,15.0,0.2
63750745992144,26.2,1.0,10.0,0.2,15.0,0.1
63750745993160,26.5,1.3,10.0,0.2,15.0,0.0
63750745994174,26.0,0.7,10.0,0.3,15.0,0.0
