TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748151938,26.0,1.0,10.0,0.0,15.0,0.2
63750748152944,25.5,0.5,10.0,0.0,15.0,0.0
63750748153959,26.9,1.9,10.0,0.0,15.0,0.0
63750748154976,25.8,0.8,10.0,0.0,15.0,0.2
63750748156019,26.6,1.6,10.0,0.0,15.0,0.1
63750748157040,25.5,0.5,10.0,0.0,15.0,0.0
63750748158058,27.1,2.1,10.0,0.0,15.0,0.1
63750748159064,25.0,0.0,10.0,0.0,15.0,0.1
63750748160066,27.6,2.6,10.0,0.0,15.0,0.1
63750748161085,26.7,1.6,10.0,0.0,15.0,0.1
63750748162102,27.4,2.4,10.0,0.0,15.0,0.1
63750748163116,26.3,1.3,10.0,0.0,15.0,0.2
63750748164135,27.7,2.7,10.0,0.0,15.0,0.1
63750748165150,26.4,1.4,10.0,0.0,15.0,0.2
63750748166163,28.3,3.3,10.0,0.0,15.0,0.2
63750748167175,25.0,0.0,10.0,0.0,15.0,0.0
63750748168190,26.3,1.3,10.0,0.0,15.0,0.0
