TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746363717,26.8,1.4,10.0,0.3,15.0,0.1
63750746364720,28.0,2.6,10.0,0.5,15.0,0.0
63750746365722,30.0,3.8,10.0,1.1,15.0,0.1
63750746366737,27.9,2.3,10.0,0.6,15.0,0.2
63750746367736,26.4,1.2,10.0,0.2,15.0,0.0
63750746368738,27.1,1.7,10.0,0.3,15.0,0.2
63750746369756,26.5,1.1,10.0,0.3,15.0,0.0
63750746370767,26.2,0.9,10.0,0.3,15.0,0.3
63750746371766,28.5,2.5,10.0,1.0,15.0,0.1
63750746372764,26.2,1.1,10.0,0.1,15.0,0.3
63750746373766,26.1,1.1,10.0,0.0,15.0,0.2
63750746374773,26.5,1.2,10.0,0.3,15.0,0.0
63750746375786,26.7,1.5,10.0,0.1,15.0,0.1
63750746376802,26.5,1.1,10.0,0.4,15.0,0.1
63750746377815,26.8,1.5,10.0,0.3,15.0,0.2
63750746378816,26.8,1.5,10.0,0.3,15.0,0.2
63750746379830,27.7,2.3,10.0,0.4,15.0,0.3
63750746380836,27.1,1.6,10.0,0.4,15.0,0.3
63750746381848,27.4,2.1,10.0,0.3,15.0,0.4
63750746382860,27.1,1.7,10.0,0.4,15.0,0.3
63750746383868,27.0,1.6,10.0,0.4,15.0,0.4
63750746384884,26.5,1.2,10.0,0.3,15.0,0.3
63750746385887,26.7,1.4,10.0,0.3,15.0,0.0
63750746386893,27.7,2.5,10.0,0.2,15.0,0.0
63750746387905,27.7,2.5,10.0,0.2,15.0,0.1
