TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746815007,25.6,0.6,10.0,0.0,15.0,0.1
63750746816048,25.8,0.7,10.0,0.1,15.0,0.0
63750746817071,25.6,0.6,10.0,0.1,15.0,0.1
63750746818089,25.9,0.8,10.0,0.1,15.0,0.2
63750746819119,25.8,0.5,10.0,0.3,15.0,0.1
63750746820154,25.7,0.6,10.0,0.1,15.0,0.0
63750746821195,26.0,0.8,10.0,0.2,15.0,0.0
63750746822244,25.6,0.4,10.0,0.2,15.0,0.0
63750746823278,25.5,0.4,10.0,0.2,15.0,0.0
63750746824307,25.7,0.6,10.0,0.1,15.0,0.0
63750746825346,25.7,0.6,10.0,0.1,15.0,0.1
63750746826373,28.7,3.5,10.0,0.2,15.0,0.5
63750746827407,25.5,0.4,10.0,0.1,15.0,0.0
63750746828437,25.7,0.6,10.0,0.1,15.0,0.2
63750746829466,27.2,2.0,10.0,0.2,15.0,0.4
63750746830510,25.6,0.4,10.0,0.1,15.0,0.0
63750746831545,25.3,0.2,10.0,0.1,15.0,0.0
63750746832573,25.8,0.7,10.0,0.1,15.0,0.1
63750746833609,25.6,0.4,10.0,0.2,15.0,0.0
63750746834623,25.8,0.6,10.0,0.2,15.0,0.0
63750746835623,25.3,0.2,10.0,0.1,15.0,0.0
63750746836634,25.6,0.5,10.0,0.1,15.0,0.0
63750746837649,25.3,0.2,10.0,0.1,15.0,0.0
63750746838670,25.7,0.6,10.0,0.1,15.0,0.0
63750746839717,26.1,1.0,10.0,0.1,15.0,0.0
63750746840745,26.4,1.3,10.0,0.1,15.0,0.1
63750746841777,25.8,0.6,10.0,0.2,15.0,0.0
63750746842807,26.2,1.1,10.0,0.1,15.0,0.0
63750746843839,25.5,0.3,10.0,0.2,15.0,0.1
63750746844877,25.8,0.7,10.0,0.1,15.0,0.1
63750746845915,25.7,0.5,10.0,0.1,15.0,0.0
63750746846949,25.7,0.5,10.0,0.1,15.0,0.0
63750746847977,26.5,1.4,10.0,0.1,15.0,0.2
63750746849001,25.8,0.7,10.0,0.1,15.0,0.0
63750746850031,25.4,0.3,10.0,0.1,15.0,0.0
63750746851059,25.7,0.7,10.0,0.1,15.0,0.0
63750746852092,27.4,2.1,10.0,0.3,15.0,0.4
63750746853122,25.6,0.5,10.0,0.1,15.0,0.0
63750746854163,26.1,1.0,10.0,0.1,15.0,0.1
63750746855187,27.6,2.3,10.0,0.4,15.0,0.3
63750746856217,25.6,0.4,10.0,0.2,15.0,0.0
63750746857246,27.4,2.1,10.0,0.3,15.0,0.3
63750746858257,26.2,1.0,10.0,0.1,15.0,0.2
63750746859265,27.3,2.1,10.0,0.2,15.0,0.3
63750746860267,25.7,0.6,10.0,0.2,15.0,0.1
63750746861280,26.3,0.7,10.0,0.5,15.0,0.1
63750746862308,27.0,1.8,10.0,0.1,15.0,0.3
63750746863339,27.3,2.1,10.0,0.2,15.0,0.3
63750746864359,25.8,0.5,10.0,0.3,15.0,0.1
63750746865383,26.9,1.1,10.0,0.8,15.0,0.1
63750746866395,26.3,0.8,10.0,0.5,15.0,0.0
63750746867407,27.4,2.2,10.0,0.2,15.0,0.4
63750746868422,25.6,0.4,10.0,0.2,15.0,0.1
63750746869430,27.5,2.2,10.0,0.3,15.0,0.2
63750746870470,25.6,0.5,10.0,0.1,15.0,0.0
63750746871486,26.0,0.8,10.0,0.2,15.0,0.1
63750746872487,25.8,0.6,10.0,0.2,15.0,0.1
63750746873497,26.2,0.9,10.0,0.3,15.0,0.1
63750746874504,25.6,0.4,10.0,0.1,15.0,0.0
63750746875522,25.8,0.7,10.0,0.1,15.0,0.1
63750746876533,25.5,0.4,10.0,0.1,15.0,0.0
63750746877550,25.6,0.4,10.0,0.2,15.0,0.0
63750746878578,25.4,0.2,10.0,0.2,15.0,0.0
