TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750747967851,27.6,2.4,10.0,0.2,15.0,0.0
63750747968866,28.7,3.2,10.0,0.5,15.0,0.2
63750747969873,27.4,2.4,10.0,0.0,15.0,0.2
63750747970904,26.1,1.1,10.0,0.0,15.0,0.2
63750747971911,26.9,1.9,10.0,0.0,15.0,0.1
63750747972927,27.9,2.9,10.0,0.0,15.0,0.2
63750747973944,26.1,1.1,10.0,0.0,15.0,0.1
63750747974958,25.9,0.9,10.0,0.0,15.0,0.1
63750747975968,26.9,1.9,10.0,0.0,15.0,0.1
63750747976985,26.0,1.0,10.0,0.0,15.0,0.1
63750747977993,27.2,2.2,10.0,0.0,15.0,0.1
63750747978998,27.0,1.9,10.0,0.0,15.0,0.2
63750747979998,25.9,0.9,10.0,0.0,15.0,0.2
63750747981001,27.2,2.2,10.0,0.0,15.0,0.2
63750747982017,27.0,2.0,10.0,0.0,15.0,0.2
63750747983033,26.9,1.9,10.0,0.1,15.0,0.0
63750747984039,27.5,2.5,10.0,0.0,15.0,0.1
63750747985048,26.8,1.7,10.0,0.0,15.0,0.2
63750747986048,27.1,2.1,10.0,0.0,15.0,0.2
63750747987047,25.9,0.9,10.0,0.0,15.0,0.2
63750747988053,27.3,2.2,10.0,0.0,15.0,0.0
63750747989068,26.5,1.5,10.0,0.0,15.0,0.0
