TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748719170,26.5,1.5,10.0,0.0,15.0,0.3
63750748720207,26.9,1.9,10.0,0.0,15.0,0.2
63750748721222,26.5,1.5,10.0,0.0,15.0,0.3
63750748722239,26.1,1.1,10.0,0.0,15.0,0.0
63750748723249,25.6,0.6,10.0,0.0,15.0,0.3
63750748724259,26.3,1.3,10.0,0.0,15.0,0.3
63750748725269,25.2,0.2,10.0,0.0,15.0,0.2
63750748726288,26.4,1.4,10.0,0.0,15.0,0.4
63750748727299,26.0,1.0,10.0,0.0,15.0,0.4
63750748728304,26.5,1.5,10.0,0.0,15.0,0.3
63750748729317,25.9,0.9,10.0,0.0,15.0,0.3
63750748730327,26.7,1.7,10.0,0.0,15.0,0.3
63750748731332,25.8,0.8,10.0,0.0,15.0,0.3
63750748732342,26.4,1.4,10.0,0.0,15.0,0.3
63750748733343,26.3,1.3,10.0,0.0,15.0,0.7
63750748734351,27.0,2.0,10.0,0.0,15.0,0.3
63750748735358,26.0,1.0,10.0,0.0,15.0,0.7
63750748736365,25.8,0.8,10.0,0.0,15.0,0.0
63750748737374,25.8,0.8,10.0,0.0,15.0,0.0
63750748738385,27.5,2.4,10.0,0.0,15.0,0.3
63750748739393,26.4,1.3,10.0,0.1,15.0,0.0
63750748740414,26.8,1.8,10.0,0.0,15.0,0.2
