TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748032219,27.4,2.3,10.0,0.1,15.0,0.2
63750748033219,26.8,1.7,10.0,0.0,15.0,0.2
63750748034224,26.1,1.1,10.0,0.0,15.0,0.3
63750748035232,26.5,1.5,10.0,0.0,15.0,0.0
63750748036238,27.5,2.3,10.0,0.3,15.0,0.1
63750748037253,28.5,3.1,10.0,0.4,15.0,0.0
63750748038251,32.1,6.2,10.0,0.9,15.0,0.2
63750748039267,27.7,2.4,10.0,0.2,15.0,0.2
63750748040269,27.9,2.4,10.0,0.5,15.0,0.1
63750748041286,27.6,2.3,10.0,0.3,15.0,0.1
63750748042300,27.8,2.3,10.0,0.5,15.0,0.1
63750748043314,26.1,1.0,10.0,0.1,15.0,0.0
63750748044315,26.4,1.4,10.0,0.1,15.0,0.2
63750748045330,26.8,1.7,10.0,0.1,15.0,0.1
63750748046340,27.1,2.1,10.0,0.0,15.0,0.1
63750748047349,27.3,2.2,10.0,0.1,15.0,0.2
63750748048361,27.0,1.9,10.0,0.1,15.0,0.2
63750748049376,28.0,2.9,10.0,0.1,15.0,0.3
63750748050380,27.1,2.0,10.0,0.1,15.0,0.0
63750748051394,27.2,2.1,10.0,0.0,15.0,0.3
63750748052409,26.2,1.1,10.0,0.1,15.0,0.0
63750748053423,26.3,1.2,10.0,0.1,15.0,0.0
63750748054425,26.4,1.2,10.0,0.2,15.0,0.0
63750748055440,27.1,1.9,10.0,0.2,15.0,0.2
63750748056455,27.1,1.9,10.0,0.1,15.0,0.0
63750748057456,27.0,1.9,10.0,0.1,15.0,0.1
63750748058469,25.7,0.6,10.0,0.1,15.0,0.0
