TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746958883,25.4,0.4,10.0,0.0,15.0,0.0
63750746959922,26.5,1.5,10.0,0.1,15.0,0.1
63750746960948,26.8,1.6,10.0,0.2,15.0,0.0
63750746961972,25.7,0.6,10.0,0.1,15.0,0.1
63750746962982,28.1,2.9,10.0,0.2,15.0,0.4
63750746964017,25.6,0.4,10.0,0.2,15.0,0.1
63750746965040,25.8,0.7,10.0,0.1,15.0,0.2
63750746966080,25.6,0.5,10.0,0.1,15.0,0.0
63750746967106,25.8,0.6,10.0,0.2,15.0,0.0
63750746968148,25.6,0.5,10.0,0.1,15.0,0.1
63750746969164,25.7,0.5,10.0,0.1,15.0,0.0
63750746970202,25.5,0.3,10.0,0.2,15.0,0.0
63750746971229,25.7,0.6,10.0,0.1,15.0,0.0
63750746972270,25.6,0.4,10.0,0.2,15.0,0.0
63750746973282,27.4,2.1,10.0,0.3,15.0,0.1
63750746974286,30.4,5.1,10.0,0.3,15.0,0.2
63750746975303,28.6,3.2,10.0,0.3,15.0,0.3
63750746976320,28.9,3.7,10.0,0.2,15.0,0.5
63750746977327,37.0,11.9,10.0,0.1,15.0,2.1
63750746978333,26.9,1.7,10.0,0.2,15.0,0.6
63750746979364,26.0,0.9,10.0,0.1,15.0,0.1
63750746980391,26.6,1.4,10.0,0.2,15.0,0.4
63750746981432,29.1,4.0,10.0,0.1,15.0,0.1
63750746982463,27.2,2.0,10.0,0.2,15.0,0.2
63750746983502,37.8,12.7,10.0,0.1,15.0,1.8
63750746984525,28.9,3.6,10.0,0.3,15.0,0.3
63750746985546,28.7,3.6,10.0,0.1,15.0,0.1
63750746986553,28.5,3.0,10.0,0.5,15.0,0.2
63750746987583,32.1,6.7,10.0,0.4,15.0,1.1
63750746988609,35.5,10.3,10.0,0.3,15.0,2.3
63750746989640,29.1,3.8,10.0,0.3,15.0,0.1
63750746990666,28.2,2.8,10.0,0.4,15.0,0.0
63750746991683,27.3,2.0,10.0,0.3,15.0,0.3
63750746992706,31.2,5.8,10.0,0.4,15.0,1.0
63750746993720,31.2,5.9,10.0,0.4,15.0,1.0
63750746994735,38.2,12.7,10.0,0.5,15.0,2.0
63750746995761,30.4,5.0,10.0,0.4,15.0,0.7
63750746996771,31.6,5.9,10.0,0.7,15.0,1.0
63750746997781,26.5,1.3,10.0,0.1,15.0,0.1
63750746998785,28.8,3.4,10.0,0.4,15.0,0.4
63750746999799,28.8,3.4,10.0,0.4,15.0,0.3
63750747000816,28.2,2.8,10.0,0.3,15.0,0.2
63750747001831,28.4,3.1,10.0,0.3,15.0,0.4
63750747002857,28.7,3.2,10.0,0.4,15.0,0.2
63750747003877,32.4,6.9,10.0,0.4,15.0,0.6
63750747004904,28.4,3.1,10.0,0.3,15.0,0.0
63750747005911,29.2,4.2,10.0,0.0,15.0,0.0
63750747006928,27.6,2.5,10.0,0.1,15.0,0.0
63750747007942,28.1,3.0,10.0,0.2,15.0,0.0
63750747008955,28.0,2.6,10.0,0.4,15.0,0.0
63750747009984,28.2,3.1,10.0,0.0,15.0,0.0
63750747011010,26.2,1.1,10.0,0.1,15.0,0.0
63750747012014,30.9,5.8,10.0,0.1,15.0,0.2
63750747013020,26.5,1.4,10.0,0.1,15.0,0.1
63750747014035,28.1,3.0,10.0,0.1,15.0,0.0
63750747015050,28.3,2.9,10.0,0.3,15.0,0.2
63750747016067,28.8,3.6,10.0,0.2,15.0,0.1
63750747017087,28.3,3.1,10.0,0.1,15.0,0.0
63750747018120,26.6,1.4,10.0,0.2,15.0,0.0
63750747019144,28.1,3.0,10.0,0.2,15.0,0.0
63750747020173,28.4,3.2,10.0,0.2,15.0,0.0
63750747021192,31.3,6.2,10.0,0.1,15.0,0.0
63750747022211,26.3,1.1,10.0,0.1,15.0,0.0
63750747023226,26.2,1.0,10.0,0.2,15.0,0.0
63750747024247,26.6,1.4,10.0,0.2,15.0,0.0
63750747025265,28.5,3.3,10.0,0.2,15.0,0.0
63750747026286,26.6,1.3,10.0,0.3,15.0,0.0
63750747027300,26.4,1.1,10.0,0.2,15.0,0.0
63750747028328,28.7,3.4,10.0,0.2,15.0,0.0
63750747029347,30.0,4.9,10.0,0.1,15.0,0.0
63750747030375,28.5,3.4,10.0,0.1,15.0,0.0
63750747031416,28.2,3.0,10.0,0.2,15.0,0.0
63750747032444,26.7,1.7,10.0,0.1,15.0,0.0
63750747033457,28.1,3.1,10.0,0.0,15.0,0.0
63750747034480,27.8,2.8,10.0,0.1,15.0,0.0
63750747035500,28.2,2.9,10.0,0.2,15.0,0.0
63750747036508,28.6,3.5,10.0,0.1,15.0,0.0
63750747037551,28.2,3.1,10.0,0.1,15.0,0.0
63750747038576,26.4,1.3,10.0,0.1,15.0,0.0
63750747039616,26.2,1.0,10.0,0.1,15.0,0.0
63750747040653,26.4,1.4,10.0,0.1,15.0,0.0
63750747041679,26.2,1.2,10.0,0.1,15.0,0.0
63750747042689,28.2,3.1,10.0,0.1,15.0,0.0
63750747043704,28.0,2.8,10.0,0.2,15.0,0.0
63750747044705,26.4,1.3,10.0,0.1,15.0,0.0
63750747045730,30.9,5.8,10.0,0.1,15.0,0.0
63750747046741,26.3,1.2,10.0,0.0,15.0,0.0
63750747047779,26.2,1.1,10.0,0.1,15.0,0.0
63750747048828,26.4,1.3,10.0,0.1,15.0,0.1
63750747049863,35.4,10.1,10.0,0.3,15.0,0.0
63750747050881,28.5,3.4,10.0,0.1,15.0,0.1
63750747051894,27.7,2.6,10.0,0.1,15.0,0.0
63750747052918,28.0,2.9,10.0,0.1,15.0,0.0
63750747053945,26.5,1.3,10.0,0.1,15.0,0.0
63750747054964,26.5,1.4,10.0,0.1,15.0,0.0
63750747055979,26.2,1.1,10.0,0.1,15.0,0.0
63750747057022,28.5,3.3,10.0,0.2,15.0,0.0
63750747058049,26.2,1.1,10.0,0.1,15.0,0.0
63750747059062,28.8,3.7,10.0,0.1,15.0,0.0
63750747060084,28.4,3.4,10.0,0.1,15.0,0.0
63750747061100,29.0,3.8,10.0,0.2,15.0,0.0
63750747062113,28.4,3.4,10.0,0.0,15.0,0.0
63750747063131,28.5,3.5,10.0,0.0,15.0,0.1
63750747064153,28.6,3.5,10.0,0.1,15.0,0.0
63750747065180,26.3,1.2,10.0,0.1,15.0,0.0
63750747066207,28.2,3.0,10.0,0.1,15.0,0.0
63750747067223,26.3,1.2,10.0,0.1,15.0,0.0
63750747068284,28.1,3.0,10.0,0.1,15.0,0.0
63750747069307,26.4,1.3,10.0,0.1,15.0,0.0
63750747070339,28.1,3.0,10.0,0.2,15.0,0.0
63750747071366,28.5,3.4,10.0,0.0,15.0,0.0
63750747072409,28.7,3.6,10.0,0.1,15.0,0.0
63750747073453,28.6,3.5,10.0,0.1,15.0,0.0
63750747074475,28.8,3.6,10.0,0.2,15.0,0.0
63750747075483,28.8,3.7,10.0,0.1,15.0,0.1
63750747076497,28.3,3.1,10.0,0.2,15.0,0.0
63750747077516,28.9,3.7,10.0,0.2,15.0,0.0
63750747078531,26.2,1.1,10.0,0.1,15.0,0.0
63750747079552,28.6,3.5,10.0,0.1,15.0,0.0
63750747080577,26.5,1.4,10.0,0.2,15.0,0.0
63750747081593,28.8,3.5,10.0,0.3,15.0,0.0
63750747082596,26.4,1.2,10.0,0.2,15.0,0.0
63750747083631,28.9,3.6,10.0,0.2,15.0,0.0
63750747084667,28.7,3.5,10.0,0.2,15.0,0.0
63750747085694,26.7,1.5,10.0,0.2,15.0,0.0
63750747086703,26.6,1.3,10.0,0.3,15.0,0.0
63750747087718,28.1,2.9,10.0,0.2,15.0,0.0
63750747088727,26.5,1.3,10.0,0.2,15.0,0.0
63750747089738,28.8,3.7,10.0,0.1,15.0,0.0
63750747090763,28.5,3.3,10.0,0.2,15.0,0.0
63750747091805,29.1,4.0,10.0,0.1,15.0,0.0
63750747092838,28.4,3.3,10.0,0.1,15.0,0.0
63750747093864,29.1,3.8,10.0,0.3,15.0,0.0
63750747094896,32.7,7.6,10.0,0.1,15.0,0.0
63750747095935,29.1,4.0,10.0,0.1,15.0,0.1
63750747096960,28.7,3.6,10.0,0.1,15.0,0.0
63750747097994,28.8,3.6,10.0,0.2,15.0,0.0
63750747099007,28.3,3.1,10.0,0.2,15.0,0.0
63750747100025,26.5,1.3,10.0,0.1,15.0,0.0
63750747101056,26.5,1.3,10.0,0.1,15.0,0.0
63750747102064,30.5,5.2,10.0,0.4,15.0,0.0
63750747103087,31.1,5.8,10.0,0.3,15.0,0.0
63750747104096,37.7,12.2,10.0,0.5,15.0,0.1
63750747105109,37.7,12.3,10.0,0.4,15.0,0.0
63750747106127,30.6,5.4,10.0,0.2,15.0,0.0
63750747107159,30.5,5.2,10.0,0.3,15.0,0.0
63750747108176,31.0,5.7,10.0,0.2,15.0,0.0
63750747109199,31.3,5.9,10.0,0.4,15.0,0.0
63750747110211,30.5,5.1,10.0,0.4,15.0,0.0
63750747111230,27.5,1.9,10.0,0.5,15.0,0.0
63750747112254,26.6,1.6,10.0,0.0,15.0,0.0
63750747113268,28.6,3.5,10.0,0.1,15.0,0.0
63750747114284,27.8,2.7,10.0,0.1,15.0,0.0
63750747115314,29.0,3.9,10.0,0.1,15.0,0.0
63750747116330,29.8,4.8,10.0,0.0,15.0,0.1
63750747117346,29.0,3.9,10.0,0.1,15.0,0.0
63750747118372,29.5,4.3,10.0,0.2,15.0,0.0
63750747119386,27.0,1.8,10.0,0.1,15.0,0.0
63750747120409,32.2,7.1,10.0,0.1,15.0,0.0
63750747121429,29.2,4.0,10.0,0.1,15.0,0.0
63750747122449,27.4,2.2,10.0,0.2,15.0,0.0
63750747123469,29.1,3.9,10.0,0.1,15.0,0.0
63750747124487,29.1,4.1,10.0,0.0,15.0,0.0
63750747125508,29.3,4.1,10.0,0.2,15.0,0.0
63750747126521,29.4,4.2,10.0,0.1,15.0,0.0
63750747127535,29.6,4.3,10.0,0.3,15.0,0.0
63750747128554,36.3,11.0,10.0,0.3,15.0,0.0
63750747129571,28.9,3.8,10.0,0.1,15.0,0.0
63750747130592,29.6,4.5,10.0,0.1,15.0,0.0
63750747131614,28.9,3.8,10.0,0.1,15.0,0.0
63750747132626,29.2,4.1,10.0,0.1,15.0,0.0
63750747133652,29.1,4.0,10.0,0.1,15.0,0.0
63750747134684,29.6,4.5,10.0,0.1,15.0,0.0
63750747135707,29.2,4.1,10.0,0.1,15.0,0.0
63750747136729,26.9,1.9,10.0,0.0,15.0,0.0
63750747137764,29.0,4.0,10.0,0.1,15.0,0.0
63750747138783,27.4,2.3,10.0,0.1,15.0,0.1
63750747139800,29.1,4.0,10.0,0.1,15.0,0.0
63750747140816,29.7,4.6,10.0,0.1,15.0,0.0
63750747141840,28.7,3.5,10.0,0.2,15.0,0.0
63750747142862,26.9,1.8,10.0,0.1,15.0,0.0
63750747143901,28.3,3.3,10.0,0.0,15.0,0.0
63750747144940,27.6,2.5,10.0,0.0,15.0,0.0
