TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748924317,26.8,1.8,10.0,0.0,15.0,0.2
63750748925331,26.0,1.0,10.0,0.0,15.0,0.1
63750748926348,26.2,1.2,10.0,0.0,15.0,0.1
63750748927361,25.9,0.9,10.0,0.0,15.0,0.1
63750748928366,25.8,0.8,10.0,0.0,15.0,0.0
63750748929374,25.3,0.3,10.0,0.0,15.0,0.2
63750748930406,25.9,0.9,10.0,0.0,15.0,0.0
63750748931413,26.0,0.9,10.0,0.1,15.0,0.1
63750748932429,26.7,1.7,10.0,0.0,15.0,0.2
63750748933436,25.1,0.1,10.0,0.0,15.0,0.1
63750748934444,27.8,2.8,10.0,0.0,15.0,0.2
63750748935456,26.5,1.5,10.0,0.0,15.0,0.4
63750748936467,28.1,3.1,10.0,0.0,15.0,0.2
63750748937470,27.1,2.1,10.0,0.0,15.0,0.3
63750748938472,27.3,2.3,10.0,0.0,15.0,0.3
63750748939488,27.2,2.2,10.0,0.0,15.0,0.5
63750748940500,26.8,1.8,10.0,0.0,15.0,0.3
63750748941508,26.2,1.2,10.0,0.0,15.0,0.3
63750748942513,26.3,1.3,10.0,0.0,15.0,0.0
63750748943521,25.3,0.3,10.0,0.0,15.0,0.0
