TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748883066,25.9,0.9,10.0,0.0,15.0,0.1
63750748884097,26.7,1.7,10.0,0.0,15.0,0.1
63750748885108,27.0,2.0,10.0,0.0,15.0,0.3
63750748886112,25.1,0.1,10.0,0.0,15.0,0.0
63750748887125,26.0,1.0,10.0,0.0,15.0,0.1
63750748888131,25.7,0.7,10.0,0.0,15.0,0.3
63750748889141,26.3,1.3,10.0,0.0,15.0,0.3
63750748890147,25.8,0.8,10.0,0.0,15.0,0.3
63750748891160,26.6,1.5,10.0,0.0,15.0,0.3
63750748892175,26.2,1.2,10.0,0.0,15.0,0.3
63750748893189,26.3,1.3,10.0,0.0,15.0,0.4
63750748894197,25.5,0.5,10.0,0.0,15.0,0.1
63750748895204,25.7,0.7,10.0,0.0,15.0,0.0
63750748896202,25.2,0.2,10.0,0.0,15.0,0.2
63750748897211,26.8,1.8,10.0,0.0,15.0,0.2
63750748898223,26.1,1.1,10.0,0.0,15.0,0.0
63750748899267,26.1,1.1,10.0,0.0,15.0,0.1
