TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748588562,26.3,1.3,10.0,0.0,15.0,0.1
63750748589572,25.6,0.6,10.0,0.0,15.0,0.1
63750748590601,27.6,2.6,10.0,0.0,15.0,0.2
63750748591627,25.7,0.6,10.0,0.0,15.0,0.3
63750748592641,26.6,1.6,10.0,0.0,15.0,0.1
63750748593652,25.3,0.3,10.0,0.0,15.0,0.0
63750748594659,25.8,0.8,10.0,0.0,15.0,0.0
63750748595678,25.4,0.4,10.0,0.0,15.0,0.1
63750748596695,26.2,1.2,10.0,0.0,15.0,0.0
63750748597707,25.2,0.2,10.0,0.0,15.0,0.2
63750748598722,26.6,1.6,10.0,0.0,15.0,0.3
63750748599734,25.0,0.0,10.0,0.0,15.0,0.1
63750748600734,26.4,1.4,10.0,0.0,15.0,0.2
63750748601747,26.0,0.9,10.0,0.0,15.0,0.2
63750748602749,25.9,0.9,10.0,0.0,15.0,0.2
63750748603756,25.3,0.3,10.0,0.0,15.0,0.2
63750748604766,25.9,0.9,10.0,0.0,15.0,0.1
63750748605767,25.2,0.2,10.0,0.0,15.0,0.2
63750748606772,26.7,1.7,10.0,0.0,15.0,0.1
63750748607782,25.3,0.3,10.0,0.0,15.0,0.0
63750748608815,26.3,1.3,10.0,0.0,15.0,0.2
