TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746198112,26.8,1.7,10.0,0.1,15.0,0.1
63750746199137,27.4,2.2,10.0,0.2,15.0,0.1
63750746200145,27.1,2.0,10.0,0.0,15.0,0.1
63750746201157,27.0,1.8,10.0,0.2,15.0,0.3
63750746202161,26.0,0.9,10.0,0.1,15.0,0.1
63750746203186,26.8,1.8,10.0,0.0,15.0,0.5
63750746204208,26.2,1.0,10.0,0.1,15.0,0.3
63750746205221,26.6,1.5,10.0,0.1,15.0,0.0
63750746206218,28.7,3.5,10.0,0.2,15.0,0.3
63750746207231,26.2,1.2,10.0,0.0,15.0,0.1
63750746208240,25.8,0.8,10.0,0.0,15.0,0.0
63750746209247,26.5,1.3,10.0,0.2,15.0,0.1
63750746210258,25.9,0.9,10.0,0.0,15.0,0.0
63750746211267,26.3,1.2,10.0,0.0,15.0,0.1
63750746212272,26.3,1.2,10.0,0.1,15.0,0.1
63750746213287,26.5,1.1,10.0,0.3,15.0,0.1
63750746214299,26.2,1.0,10.0,0.2,15.0,0.0
63750746215314,26.3,1.1,10.0,0.2,15.0,0.1
63750746216313,25.9,0.8,10.0,0.1,15.0,0.1
63750746217315,26.2,1.1,10.0,0.1,15.0,0.1
63750746218328,26.3,1.2,10.0,0.2,15.0,0.3
63750746219329,26.5,1.4,10.0,0.0,15.0,0.1
63750746220330,26.7,1.5,10.0,0.3,15.0,0.3
63750746221330,26.7,1.6,10.0,0.1,15.0,0.3
63750746222352,26.1,1.0,10.0,0.1,15.0,0.2
63750746223364,26.9,1.7,10.0,0.2,15.0,0.2
63750746224382,27.2,2.0,10.0,0.2,15.0,0.4
63750746225397,26.5,1.3,10.0,0.2,15.0,0.1
63750746226408,26.1,0.9,10.0,0.2,15.0,0.2
63750746227426,27.1,1.8,10.0,0.2,15.0,0.3
63750746228448,26.7,1.6,10.0,0.2,15.0,0.1
63750746229455,26.8,1.7,10.0,0.1,15.0,0.6
63750746230481,26.3,1.1,10.0,0.2,15.0,0.0
63750746231483,25.9,0.9,10.0,0.0,15.0,0.0
63750746232488,25.8,0.7,10.0,0.1,15.0,0.1
63750746233503,26.2,1.1,10.0,0.1,15.0,0.1
63750746234518,26.2,1.0,10.0,0.2,15.0,0.2
63750746235537,27.0,1.9,10.0,0.1,15.0,0.2
63750746236549,26.9,1.7,10.0,0.2,15.0,0.0
63750746237550,27.0,1.9,10.0,0.2,15.0,0.0
63750746238569,26.7,1.6,10.0,0.1,15.0,0.1
