TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748418643,25.8,0.8,10.0,0.0,15.0,0.0
63750748419653,26.3,1.3,10.0,0.0,15.0,0.4
63750748420662,26.4,1.4,10.0,0.0,15.0,0.2
63750748421687,26.2,1.2,10.0,0.0,15.0,0.2
63750748422686,26.2,1.2,10.0,0.0,15.0,0.0
63750748423694,25.5,0.5,10.0,0.0,15.0,0.2
63750748424707,26.4,1.3,10.0,0.0,15.0,0.0
63750748425722,25.1,0.0,10.0,0.0,15.0,0.0
63750748426739,26.5,1.5,10.0,0.0,15.0,0.3
63750748427756,25.4,0.4,10.0,0.0,15.0,0.2
63750748428768,26.3,1.3,10.0,0.0,15.0,0.2
63750748429770,25.4,0.4,10.0,0.0,15.0,0.1
63750748430784,26.3,1.3,10.0,0.0,15.0,0.3
63750748431798,25.6,0.6,10.0,0.0,15.0,0.2
63750748432809,26.8,1.8,10.0,0.0,15.0,0.2
63750748433813,25.4,0.4,10.0,0.0,15.0,0.3
63750748434816,26.5,1.5,10.0,0.0,15.0,0.4
63750748435832,25.4,0.4,10.0,0.0,15.0,0.3
63750748436850,27.1,2.1,10.0,0.0,15.0,0.1
63750748437865,26.2,1.2,10.0,0.0,15.0,0.0
63750748438882,26.4,1.4,10.0,0.0,15.0,0.0
