TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746131703,27.0,1.9,10.0,0.0,15.0,0.1
63750746132703,26.7,1.6,10.0,0.1,15.0,0.0
63750746133704,27.2,2.2,10.0,0.1,15.0,0.2
63750746134703,27.1,2.1,10.0,0.0,15.0,0.2
63750746135706,26.2,1.2,10.0,0.0,15.0,0.0
63750746136720,26.3,1.2,10.0,0.1,15.0,0.1
63750746137717,26.3,1.3,10.0,0.0,15.0,0.1
63750746138727,26.9,1.9,10.0,0.0,15.0,0.6
63750746139732,26.3,1.3,10.0,0.0,15.0,0.3
63750746140735,25.7,0.7,10.0,0.0,15.0,0.1
63750746141740,26.8,1.7,10.0,0.1,15.0,0.2
63750746142753,26.3,1.2,10.0,0.0,15.0,0.1
63750746143763,26.5,1.4,10.0,0.2,15.0,0.1
63750746144768,26.2,1.2,10.0,0.0,15.0,0.3
63750746145780,26.8,1.6,10.0,0.2,15.0,0.2
63750746146786,26.2,1.0,10.0,0.1,15.0,0.2
63750746147794,26.4,1.2,10.0,0.2,15.0,0.2
63750746148799,26.8,1.6,10.0,0.2,15.0,0.2
63750746149822,33.0,7.4,10.0,0.6,15.0,0.4
63750746150829,26.5,1.4,10.0,0.1,15.0,0.1
63750746151827,26.4,1.2,10.0,0.2,15.0,0.2
63750746152835,27.6,2.3,10.0,0.3,15.0,0.3
63750746153853,25.8,0.8,10.0,0.0,15.0,0.0
63750746154857,26.5,1.4,10.0,0.1,15.0,0.0
63750746155882,26.8,1.6,10.0,0.2,15.0,0.0
