TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748463019,26.6,1.6,10.0,0.0,15.0,0.2
63750748464032,27.3,2.3,10.0,0.0,15.0,0.0
63750748465034,26.3,1.3,10.0,0.0,15.0,0.2
63750748466051,26.8,1.8,10.0,0.0,15.0,0.1
63750748467062,25.2,0.2,10.0,0.0,15.0,0.0
63750748468068,26.4,1.4,10.0,0.0,15.0,0.1
63750748469083,25.2,0.2,10.0,0.0,15.0,0.1
63750748470099,26.2,1.2,10.0,0.0,15.0,0.2
63750748471123,25.8,0.8,10.0,0.0,15.0,0.3
63750748472133,26.3,1.3,10.0,0.0,15.0,0.4
63750748473146,25.7,0.7,10.0,0.0,15.0,0.3
63750748474157,26.7,1.7,10.0,0.0,15.0,0.4
63750748475159,25.7,0.7,10.0,0.0,15.0,0.2
63750748476159,26.3,1.3,10.0,0.0,15.0,0.3
63750748477171,25.2,0.2,10.0,0.0,15.0,0.1
63750748478178,26.2,1.2,10.0,0.0,15.0,0.0
63750748479191,26.5,1.5,10.0,0.0,15.0,0.0
63750748480209,27.8,2.8,10.0,0.0,15.0,0.1
