TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750747748827,26.4,1.3,10.0,0.0,15.0,0.2
63750747749838,28.1,3.1,10.0,0.0,15.0,0.1
63750747750850,27.4,2.4,10.0,0.0,15.0,0.3
63750747751864,26.3,1.3,10.0,0.0,15.0,0.2
63750747752875,26.1,1.1,10.0,0.0,15.0,0.0
63750747753880,26.5,1.5,10.0,0.0,15.0,0.1
63750747754889,26.1,1.1,10.0,0.0,15.0,0.0
63750747755899,25.9,0.9,10.0,0.0,15.0,0.3
63750747756912,26.7,1.7,10.0,0.0,15.0,0.2
63750747757925,26.1,1.1,10.0,0.0,15.0,0.3
63750747758940,27.1,2.1,10.0,0.0,15.0,0.4
63750747759954,26.5,1.5,10.0,0.0,15.0,0.3
63750747760954,26.9,1.9,10.0,0.0,15.0,0.3
63750747761954,26.1,1.1,10.0,0.0,15.0,0.4
63750747762955,25.9,0.9,10.0,0.0,15.0,0.4
63750747763961,26.9,1.9,10.0,0.0,15.0,0.3
63750747764973,26.8,1.8,10.0,0.0,15.0,0.5
63750747765991,26.5,1.5,10.0,0.0,15.0,0.2
63750747766998,26.7,1.6,10.0,0.0,15.0,0.3
63750747768010,27.2,2.1,10.0,0.0,15.0,0.0
63750747769013,27.0,2.0,10.0,0.0,15.0,0.0
63750747770015,26.1,1.1,10.0,0.0,15.0,0.0
63750747771016,25.4,0.4,10.0,0.0,15.0,0.0
63750747772023,26.4,1.4,10.0,0.0,15.0,0.0
63750747773036,27.1,2.1,10.0,0.0,15.0,0.2
