TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750749766787,26.5,1.5,10.0,0.0,15.0,0.2
63750749767803,26.7,1.7,10.0,0.0,15.0,0.2
63750749768812,25.8,0.8,10.0,0.0,15.0,0.1
63750749769817,25.5,0.5,10.0,0.0,15.0,0.0
63750749770840,26.3,1.3,10.0,0.0,15.0,0.3
63750749771855,25.2,0.2,10.0,0.0,15.0,0.0
63750749772864,25.3,0.3,10.0,0.0,15.0,0.0
63750749773882,25.0,0.0,10.0,0.0,15.0,0.0
63750749774896,25.7,0.7,10.0,0.0,15.0,0.0
63750749775912,26.2,1.2,10.0,0.0,15.0,0.1
63750749776929,25.5,0.5,10.0,0.0,15.0,0.0
63750749777952,25.4,0.4,10.0,0.0,15.0,0.2
63750749778965,25.4,0.4,10.0,0.0,15.0,0.1
63750749779974,25.5,0.5,10.0,0.0,15.0,0.2
63750749780983,25.5,0.5,10.0,0.0,15.0,0.1
63750749781989,25.2,0.2,10.0,0.0,15.0,0.2
63750749783007,25.6,0.6,10.0,0.0,15.0,0.2
63750749784022,25.8,0.8,10.0,0.0,15.0,0.3
63750749785034,26.0,1.0,10.0,0.0,15.0,0.3
63750749786052,26.1,1.1,10.0,0.0,15.0,0.6
63750749787076,25.7,0.7,10.0,0.0,15.0,0.4
63750749788083,25.4,0.4,10.0,0.0,15.0,0.2
63750749789099,27.1,2.1,10.0,0.0,15.0,0.0
63750749790117,26.4,1.4,10.0,0.0,15.0,0.1
