TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750748825837,26.6,1.6,10.0,0.0,15.0,0.2
63750748826842,26.4,1.4,10.0,0.0,15.0,0.1
63750748827851,26.6,1.6,10.0,0.0,15.0,0.1
63750748828862,26.0,1.0,10.0,0.0,15.0,0.2
63750748829883,26.2,1.2,10.0,0.0,15.0,0.0
63750748830900,25.3,0.2,10.0,0.0,15.0,0.0
63750748831907,25.5,0.5,10.0,0.0,15.0,0.0
63750748832905,25.2,0.2,10.0,0.0,15.0,0.4
63750748833905,26.0,1.0,10.0,0.0,15.0,0.2
63750748834907,25.3,0.3,10.0,0.0,15.0,0.1
63750748835912,26.0,1.0,10.0,0.0,15.0,0.2
63750748836928,25.2,0.2,10.0,0.0,15.0,0.2
63750748837936,26.2,1.2,10.0,0.0,15.0,0.2
63750748838945,25.5,0.5,10.0,0.0,15.0,0.2
63750748839953,26.2,1.2,10.0,0.0,15.0,0.4
63750748840955,25.2,0.2,10.0,0.0,15.0,0.1
63750748841959,25.8,0.8,10.0,0.0,15.0,0.1
63750748842972,25.9,0.9,10.0,0.0,15.0,0.1
63750748843992,26.5,1.5,10.0,0.0,15.0,0.1
63750748845001,25.7,0.7,10.0,0.0,15.0,0.0
63750748846004,26.2,1.2,10.0,0.0,15.0,0.1
63750748847017,25.6,0.6,10.0,0.0,15.0,0.0
63750748848020,27.0,2.0,10.0,0.0,15.0,0.1
63750748849031,26.5,1.5,10.0,0.1,15.0,0.0
