TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750746421985,27.0,1.7,10.0,0.3,15.0,0.1
63750746422983,27.7,2.1,10.0,0.5,15.0,0.0
63750746423987,27.8,2.6,10.0,0.3,15.0,0.4
63750746424998,26.6,1.3,10.0,0.3,15.0,0.1
63750746426021,26.6,1.4,10.0,0.2,15.0,0.1
63750746427039,26.8,1.5,10.0,0.3,15.0,0.1
63750746428048,27.3,2.1,10.0,0.2,15.0,0.1
63750746429049,26.4,1.1,10.0,0.3,15.0,0.1
63750746430062,27.1,1.7,10.0,0.3,15.0,0.2
63750746431063,26.2,1.0,10.0,0.2,15.0,0.0
63750746432072,27.2,2.0,10.0,0.2,15.0,0.3
63750746433085,26.0,0.8,10.0,0.2,15.0,0.1
63750746434096,26.2,1.0,10.0,0.2,15.0,0.1
63750746435112,26.3,1.1,10.0,0.3,15.0,0.1
63750746436108,27.7,2.2,10.0,0.5,15.0,0.3
63750746437111,26.4,1.2,10.0,0.3,15.0,0.1
63750746438116,27.5,2.3,10.0,0.2,15.0,0.3
63750746439134,26.3,1.1,10.0,0.3,15.0,0.1
63750746440139,28.2,2.7,10.0,0.5,15.0,0.2
63750746441144,26.3,1.0,10.0,0.3,15.0,0.1
63750746442158,27.9,2.6,10.0,0.3,15.0,0.4
63750746443157,26.4,1.0,10.0,0.3,15.0,0.1
63750746444166,28.2,2.7,10.0,0.4,15.0,0.4
63750746445174,26.2,1.0,10.0,0.2,15.0,0.1
63750746446189,26.8,1.6,10.0,0.1,15.0,0.3
63750746447203,26.2,0.9,10.0,0.2,15.0,0.2
63750746448202,27.4,2.2,10.0,0.2,15.0,0.3
63750746449202,26.1,0.7,10.0,0.4,15.0,0.1
63750746450205,27.6,2.4,10.0,0.2,15.0,0.4
63750746451204,26.4,1.1,10.0,0.3,15.0,0.1
63750746452207,27.6,2.2,10.0,0.3,15.0,0.4
63750746453227,27.8,2.3,10.0,0.5,15.0,0.3
63750746454237,26.5,1.2,10.0,0.3,15.0,0.1
63750746455257,26.7,1.4,10.0,0.3,15.0,0.2
63750746456271,27.6,2.3,10.0,0.3,15.0,0.2
63750746457283,25.9,0.8,10.0,0.1,15.0,0.0
63750746458284,26.7,1.6,10.0,0.2,15.0,0.1
63750746459298,26.6,1.4,10.0,0.1,15.0,0.0
