System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:32:33:810, 34892942267835,    0.105,    4.000,  800,   2.898,   0.303,   0.084,   1.110,   0.116,   0.032, 37,  0,   0.645,   0.067,   0.019,   0.033,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:33:919, 34893249610282,    0.214,    8.000,  800,   2.379,   0.563,   0.157,   0.605,   0.182,   0.051, 37,  0,   0.628,   0.136,   0.038,   0.027,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:025, 34893545957992,    0.320,    7.000,  800,   2.286,   0.805,   0.224,   0.522,   0.237,   0.066, 36,  0,   0.633,   0.203,   0.056,   0.011,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:135, 34893855007493,    0.430,    9.000,  800,   2.367,   1.065,   0.296,   0.644,   0.308,   0.086, 37,  0,   0.624,   0.272,   0.075,   0.000,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:297, 34894309811446,    0.592,   15.000, 1300,   2.412,   1.456,   0.404,   0.697,   0.421,   0.117, 37,  0,   0.567,   0.363,   0.101,   0.023,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:353, 34894468894311,    0.648,    1.000,  800,   2.071,   1.573,   0.437,   0.344,   0.441,   0.122, 36,  0,   0.633,   0.399,   0.111,   0.009,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:462, 34894772904506,    0.757,    1.000,  800,   1.787,   1.767,   0.491,   0.193,   0.462,   0.128, 36,  0,   0.552,   0.459,   0.128,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:575, 34895092345985,    0.870,    5.000,  800,   2.105,   2.006,   0.557,   0.439,   0.511,   0.142, 37,  0,   0.563,   0.523,   0.145,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:685, 34895400140978,    0.980,    1.000,  800,   1.733,   2.196,   0.610,   0.137,   0.526,   0.146, 36,  0,   0.551,   0.584,   0.162,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:794, 34895705671532,    1.089,    1.000,  800,   1.770,   2.389,   0.664,   0.170,   0.545,   0.151, 36,  0,   0.551,   0.644,   0.179,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:34:898, 34895997376617,    1.193,    8.000,  800,   2.329,   2.631,   0.731,   0.630,   0.610,   0.170, 37,  0,   0.598,   0.706,   0.196,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:35:011, 34896314622977,    1.306,   15.000,  800,   2.798,   2.947,   0.819,   0.948,   0.718,   0.199, 38,  0,   0.670,   0.781,   0.217,   0.017,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:35:119, 34896619371705,    1.414,    6.000,  800,   2.256,   3.192,   0.887,   0.489,   0.771,   0.214, 37,  0,   0.668,   0.854,   0.237,   0.017,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:35:229, 34896927552079,    1.524,    7.000,  800,   2.342,   3.449,   0.958,   0.569,   0.833,   0.231, 37,  0,   0.622,   0.922,   0.256,   0.013,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:35:337, 34897229444725,    1.631,   13.000,  800,   2.877,   3.758,   1.044,   1.039,   0.945,   0.262, 38,  0,   0.653,   0.992,   0.276,   0.040,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:32:35:444, 34897532880059,    1.739,    8.000,  800,   2.305,   4.007,   1.113,   0.566,   1.006,   0.279, 37,  0,   0.673,   1.065,   0.296,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
