System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:17:32:306, 42470325246425,    0.102,   23.000,  900,   6.279,   0.641,   0.178,   4.385,   0.447,   0.124, 37,  0,   0.706,   0.072,   0.020,   0.017,   0.002,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:32:463, 42470764612228,    0.259,   17.000,  900,   2.904,   1.095,   0.304,   0.968,   0.599,   0.166, 36,  0,   0.695,   0.181,   0.050,   0.108,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:32:528, 42470948609010,    0.324,    9.000,  900,   2.566,   1.263,   0.351,   0.759,   0.649,   0.180, 36,  0,   0.655,   0.224,   0.062,   0.009,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:32:638, 42471255916910,    0.433,    3.000,  900,   1.935,   1.475,   0.410,   0.301,   0.682,   0.189, 36,  0,   0.574,   0.286,   0.080,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:32:745, 42471557193977,    0.541,    1.000,  800,   1.756,   1.663,   0.462,   0.162,   0.699,   0.194, 35,  0,   0.553,   0.346,   0.096,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:32:853, 42471861320895,    0.649,    4.000,  900,   2.116,   1.893,   0.526,   0.455,   0.748,   0.208, 36,  0,   0.565,   0.407,   0.113,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:32:961, 42472165373783,    0.757,    5.000,  900,   2.127,   2.123,   0.590,   0.457,   0.798,   0.222, 36,  0,   0.585,   0.470,   0.131,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:33:075, 42472483172018,    0.871,    2.000,  800,   1.844,   2.332,   0.648,   0.238,   0.825,   0.229, 35,  0,   0.564,   0.534,   0.148,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:33:184, 42472791356797,    0.980,    4.000,  900,   2.043,   2.556,   0.710,   0.393,   0.868,   0.241, 36,  0,   0.562,   0.596,   0.166,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:17:33:293, 42473095988183,    1.089,    5.000,  900,   2.080,   2.781,   0.773,   0.453,   0.917,   0.255, 36,  0,   0.555,   0.656,   0.182,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
