System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:13:37:856, 41811987283486,    0.104,   17.000, 2800,   6.219,   0.644,   0.179,   4.254,   0.441,   0.122, 39,  0,   0.685,   0.071,   0.020,   0.028,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
20:13:37:964, 41812291065855,    0.212,    7.000,  800,   3.239,   0.995,   0.276,   1.335,   0.585,   0.163, 35,  0,   0.744,   0.151,   0.042,   0.102,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:072, 41812595339812,    0.320,   10.000,  900,   2.559,   1.272,   0.353,   0.759,   0.667,   0.185, 36,  0,   0.663,   0.223,   0.062,   0.039,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:183, 41812907606687,    0.431,    4.000,  800,   2.051,   1.500,   0.417,   0.360,   0.707,   0.196, 35,  0,   0.589,   0.289,   0.080,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:290, 41813208172298,    0.538,   10.000,  800,   2.543,   1.772,   0.492,   0.734,   0.786,   0.218, 35,  0,   0.681,   0.362,   0.100,   0.022,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:460, 41813685035488,    0.708,   16.000,  900,   2.745,   2.238,   0.622,   0.904,   0.939,   0.261, 36,  0,   0.642,   0.471,   0.131,   0.051,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:512, 41813831363456,    0.760,    5.000,  800,   2.245,   2.355,   0.654,   0.411,   0.961,   0.267, 35,  0,   0.678,   0.506,   0.141,   0.025,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:616, 41814123881236,    0.864,    6.000,  800,   2.161,   2.580,   0.717,   0.458,   1.009,   0.280, 36,  0,   0.632,   0.572,   0.159,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:728, 41814438227748,    0.976,   14.000,  800,   2.696,   2.882,   0.801,   0.908,   1.110,   0.308, 35,  0,   0.671,   0.647,   0.180,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:838, 41814745703757,    1.086,    5.000,  800,   2.092,   3.111,   0.864,   0.409,   1.155,   0.321, 35,  0,   0.610,   0.714,   0.198,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:38:947, 41815053391428,    1.196,    4.000,  800,   2.063,   3.337,   0.927,   0.368,   1.195,   0.332, 35,  0,   0.594,   0.779,   0.216,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:13:39:055, 41815355489063,    1.303,   13.000,  800,   2.612,   3.618,   1.005,   0.857,   1.288,   0.358, 36,  0,   0.681,   0.852,   0.237,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
