System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:47:57:808, 17269918053796,    0.110,    3.000, 3800,   6.444,   0.707,   0.196,   4.146,   0.455,   0.126, 46,  0,   0.684,   0.075,   0.021,   0.372,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:57:916, 17270219904232,    0.217,    2.000, 3500,   4.819,   1.225,   0.340,   2.914,   0.768,   0.213, 46,  0,   0.614,   0.141,   0.039,   0.041,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:025, 17270526143280,    0.326,    2.000, 3600,   4.723,   1.740,   0.483,   2.802,   1.074,   0.298, 46,  0,   0.622,   0.209,   0.058,   0.048,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:134, 17270831546733,    0.435,    1.000, 3600,   3.622,   2.134,   0.593,   1.765,   1.266,   0.352, 45,  0,   0.568,   0.271,   0.075,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:245, 17271144464444,    0.546,    1.000, 3600,   3.994,   2.579,   0.716,   2.161,   1.506,   0.418, 45,  0,   0.556,   0.333,   0.092,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:354, 17271451510227,    0.656,    0.000, 3600,   3.129,   2.921,   0.812,   1.269,   1.645,   0.457, 45,  0,   0.551,   0.393,   0.109,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:465, 17271761955822,    0.766,    1.000, 3600,   3.489,   3.307,   0.919,   1.736,   1.837,   0.510, 49,  0,   0.561,   0.455,   0.126,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:572, 17272064625601,    0.874,    1.000, 3500,   3.670,   3.703,   1.029,   1.790,   2.030,   0.564, 46,  0,   0.552,   0.514,   0.143,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:681, 17272367137975,    0.982,    0.000, 3800,   3.163,   4.044,   1.123,   1.273,   2.167,   0.602, 45,  0,   0.550,   0.574,   0.159,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:790, 17272675702319,    1.092,    3.000, 3600,   6.186,   4.723,   1.312,   4.259,   2.635,   0.732, 46,  0,   0.602,   0.640,   0.178,   0.062,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:58:902, 17272988269062,    1.203,    0.000, 3800,   2.960,   5.053,   1.404,   1.133,   2.761,   0.767, 45,  0,   0.541,   0.700,   0.194,   0.000,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:011, 17273295014017,    1.312,    0.000, 3600,   3.213,   5.404,   1.501,   1.371,   2.911,   0.809, 45,  0,   0.558,   0.761,   0.211,   0.000,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:118, 17273594468360,    1.419,    1.000, 3800,   3.674,   5.796,   1.610,   1.810,   3.104,   0.862, 45,  0,   0.560,   0.820,   0.228,   0.000,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:231, 17273911600072,    1.532,    1.000, 3500,   4.081,   6.256,   1.738,   2.180,   3.350,   0.931, 46,  0,   0.585,   0.887,   0.246,   0.050,   0.063,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:338, 17274213101791,    1.639,    3.000, 3600,   5.443,   6.841,   1.900,   3.524,   3.729,   1.036, 46,  0,   0.680,   0.960,   0.267,   0.038,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:446, 17274516613349,    1.747,    3.000, 3600,   5.930,   7.482,   2.078,   4.016,   4.163,   1.156, 46,  0,   0.677,   1.033,   0.287,   0.042,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:559, 17274834676282,    1.861,    1.000, 3800,   4.157,   7.953,   2.209,   2.234,   4.416,   1.227, 46,  0,   0.598,   1.101,   0.306,   0.025,   0.074,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:47:59:664, 17275128439146,    1.965,    2.000, 3600,   4.353,   8.408,   2.336,   2.529,   4.680,   1.300, 46,  0,   0.600,   1.163,   0.323,   0.000,   0.074,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
