System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:09:15:106, 41074185597721,    0.100,   12.000,  800,   5.036,   0.503,   0.140,   3.037,   0.304,   0.084, 36,  0,   0.707,   0.071,   0.020,   0.104,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:215, 41074493723674,    0.210,    5.000,  800,   2.298,   0.755,   0.210,   0.455,   0.354,   0.098, 36,  0,   0.683,   0.146,   0.040,   0.067,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:325, 41074800576972,    0.319,    7.000,  800,   2.341,   1.011,   0.281,   0.576,   0.417,   0.116, 35,  0,   0.610,   0.212,   0.059,   0.020,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:456, 41075170583957,    0.451,   14.000, 1300,   2.524,   1.344,   0.373,   0.753,   0.516,   0.143, 36,  0,   0.589,   0.290,   0.081,   0.031,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:542, 41075409948790,    0.536,    2.000,  800,   2.054,   1.519,   0.422,   0.375,   0.548,   0.152, 35,  0,   0.616,   0.342,   0.095,   0.010,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:653, 41075721016073,    0.647,   27.000,  900,   3.033,   1.855,   0.515,   1.248,   0.686,   0.191, 36,  0,   0.668,   0.416,   0.116,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:762, 41076027964544,    0.756,   18.000,  800,   2.932,   2.176,   0.604,   1.193,   0.816,   0.227, 35,  0,   0.698,   0.493,   0.137,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:869, 41076330316256,    0.864,    1.000,  800,   1.703,   2.359,   0.655,   0.113,   0.829,   0.230, 35,  0,   0.552,   0.552,   0.153,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:15:976, 41076629030899,    0.970,    6.000,  800,   2.169,   2.590,   0.719,   0.487,   0.880,   0.245, 35,  0,   0.565,   0.612,   0.170,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:086, 41076938131162,    1.080,    2.000,  800,   1.836,   2.792,   0.776,   0.233,   0.906,   0.252, 35,  0,   0.565,   0.674,   0.187,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:198, 41077251801378,    1.192,    8.000,  900,   2.135,   3.030,   0.842,   0.460,   0.957,   0.266, 36,  0,   0.557,   0.737,   0.205,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:308, 41077561259824,    1.302,   11.000,  800,   3.053,   3.367,   0.935,   1.277,   1.098,   0.305, 35,  0,   0.620,   0.805,   0.224,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:479, 41078042123563,    1.473,   23.000, 3500,   6.265,   4.440,   1.233,   4.479,   1.865,   0.518, 45,  0,   0.594,   0.907,   0.252,   0.011,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:528, 41078180460063,    1.523,    6.000, 2800,   3.125,   4.594,   1.276,   1.160,   1.922,   0.534, 38,  0,   0.712,   0.942,   0.262,   0.021,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:638, 41078487515003,    1.632,    3.000,  800,   2.295,   4.845,   1.346,   0.657,   1.994,   0.554, 35,  0,   0.579,   1.005,   0.279,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:746, 41078790964736,    1.740,   16.000, 1400,   2.989,   5.168,   1.435,   1.213,   2.125,   0.590, 36,  0,   0.646,   1.075,   0.299,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:856, 41079099498993,    1.850,    6.000,  800,   2.197,   5.409,   1.502,   0.504,   2.181,   0.606, 35,  0,   0.599,   1.141,   0.317,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:16:964, 41079402633444,    1.958,    6.000,  800,   2.178,   5.644,   1.568,   0.479,   2.232,   0.620, 35,  0,   0.598,   1.205,   0.335,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:071, 41079703431287,    2.065,   11.000,  800,   2.551,   5.917,   1.644,   0.750,   2.313,   0.642, 35,  0,   0.717,   1.282,   0.356,   0.014,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:184, 41080021529947,    2.178,    9.000,  800,   2.484,   6.199,   1.722,   0.679,   2.389,   0.664, 36,  0,   0.690,   1.360,   0.378,   0.022,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:292, 41080325557167,    2.287,    7.000,  800,   2.306,   6.449,   1.791,   0.542,   2.448,   0.680, 35,  0,   0.665,   1.432,   0.398,   0.011,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:467, 41080816442574,    2.461,   20.000,  900,   2.739,   6.927,   1.924,   0.921,   2.609,   0.725, 36,  0,   0.689,   1.553,   0.431,   0.014,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:513, 41080944421850,    2.507,   14.000,  800,   2.846,   7.057,   1.960,   0.974,   2.654,   0.737, 36,  0,   0.723,   1.586,   0.440,   0.012,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:618, 41081241190906,    2.613,    5.000,  800,   2.180,   7.287,   2.024,   0.456,   2.702,   0.750, 35,  0,   0.616,   1.651,   0.459,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:729, 41081551103405,    2.723,    8.000,  800,   2.297,   7.541,   2.095,   0.573,   2.765,   0.768, 35,  0,   0.668,   1.724,   0.479,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:836, 41081853035208,    2.831,   11.000,  800,   2.529,   7.813,   2.170,   0.764,   2.847,   0.791, 35,  0,   0.696,   1.799,   0.500,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:17:948, 41082165610678,    2.942,    8.000,  800,   2.404,   8.080,   2.245,   0.640,   2.918,   0.811, 35,  0,   0.617,   1.868,   0.519,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:054, 41082465088798,    3.048,   11.000,  800,   2.492,   8.346,   2.318,   0.732,   2.997,   0.832, 35,  0,   0.718,   1.945,   0.540,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:165, 41082776453186,    3.159,   11.000,  800,   2.522,   8.626,   2.396,   0.747,   3.079,   0.855, 36,  0,   0.706,   2.023,   0.562,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:277, 41083089452683,    3.271,    7.000,  800,   2.298,   8.882,   2.467,   0.556,   3.141,   0.873, 35,  0,   0.614,   2.091,   0.581,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:388, 41083401188536,    3.382,    4.000,  800,   2.130,   9.118,   2.533,   0.428,   3.189,   0.886, 35,  0,   0.617,   2.160,   0.600,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:502, 41083725271113,    3.497,   23.000,  800,   3.403,   9.511,   2.642,   1.529,   3.365,   0.935, 36,  0,   0.719,   2.243,   0.623,   0.045,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:607, 41084015816922,    3.601,   38.000,  900,   4.217,   9.948,   2.763,   2.240,   3.597,   0.999, 36,  0,   0.841,   2.330,   0.647,   0.038,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:712, 41084312221846,    3.706,   11.000,  900,   8.713,  10.867,   3.019,   6.778,   4.313,   1.198, 36,  0,   0.770,   2.411,   0.670,   0.091,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:825, 41084628159992,    3.819,    7.000,  900,   2.391,  11.136,   3.093,   0.637,   4.384,   1.218, 36,  0,   0.636,   2.483,   0.690,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:18:934, 41084934597201,    3.928,    9.000,  900,   2.381,  11.396,   3.166,   0.652,   4.455,   1.238, 36,  0,   0.635,   2.552,   0.709,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:045, 41085246946663,    4.039,    6.000,  800,   2.238,  11.645,   3.235,   0.538,   4.515,   1.254, 35,  0,   0.611,   2.620,   0.728,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:151, 41085543608564,    4.145,    4.000,  900,   2.041,  11.861,   3.295,   0.385,   4.556,   1.266, 35,  0,   0.566,   2.680,   0.744,   0.003,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:257, 41085842562379,    4.251,    2.000,  800,   1.964,  12.070,   3.353,   0.288,   4.587,   1.274, 35,  0,   0.587,   2.742,   0.762,   0.025,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:372, 41086165754166,    4.366,    1.000,  800,   1.749,  12.271,   3.409,   0.159,   4.605,   1.279, 35,  0,   0.548,   2.805,   0.779,   0.000,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:476, 41086456407394,    4.470,   22.000,  900,   3.165,  12.599,   3.500,   1.269,   4.736,   1.316, 35,  0,   0.681,   2.876,   0.799,   0.075,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:590, 41086776643991,    4.584,    3.000,  800,   2.066,  12.834,   3.565,   0.381,   4.780,   1.328, 35,  0,   0.606,   2.945,   0.818,   0.004,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:699, 41087083079543,    4.693,   12.000,  800,   2.628,  13.121,   3.645,   0.853,   4.873,   1.354, 35,  0,   0.605,   3.011,   0.836,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:811, 41087396475145,    4.805,    4.000,  900,   1.981,  13.342,   3.706,   0.329,   4.909,   1.364, 35,  0,   0.564,   3.074,   0.854,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:19:915, 41087691633460,    4.910,    5.000, 3500,   4.731,  13.839,   3.844,   3.062,   5.231,   1.453, 40,  0,   0.586,   3.135,   0.871,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:022, 41087991581191,    5.017,    6.000, 2800,   4.587,  14.329,   3.980,   2.720,   5.522,   1.534, 36,  0,   0.696,   3.210,   0.892,   0.070,   0.074,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:133, 41088300672217,    5.127,    6.000,  900,   2.457,  14.600,   4.055,   0.683,   5.597,   1.555, 36,  0,   0.636,   3.280,   0.911,   0.017,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:242, 41088607342019,    5.236,    1.000,  800,   1.793,  14.796,   4.110,   0.192,   5.618,   1.561, 35,  0,   0.546,   3.339,   0.928,   0.000,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:351, 41088913622928,    5.345,    1.000,  800,   1.801,  14.992,   4.164,   0.206,   5.640,   1.567, 35,  0,   0.558,   3.400,   0.945,   0.000,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:462, 41089226906645,    5.457,   19.000, 1400,   2.723,  15.296,   4.249,   0.956,   5.747,   1.596, 36,  0,   0.612,   3.469,   0.964,   0.030,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:575, 41089543759943,    5.569,    2.000,  800,   2.052,  15.527,   4.313,   0.394,   5.792,   1.609, 35,  0,   0.609,   3.537,   0.983,   0.004,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:680, 41089837837615,    5.674,    3.000,  800,   1.985,  15.735,   4.371,   0.323,   5.825,   1.618, 35,  0,   0.591,   3.599,   1.000,   0.017,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:791, 41090149108708,    5.785,    4.000,  900,   2.023,  15.960,   4.433,   0.361,   5.865,   1.629, 36,  0,   0.573,   3.663,   1.017,   0.000,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:20:903, 41090464392063,    5.897,    6.000,  800,   2.248,  16.212,   4.503,   0.506,   5.922,   1.645, 35,  0,   0.608,   3.731,   1.036,   0.050,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:011, 41090767305725,    6.005,    5.000,  800,   2.158,  16.445,   4.568,   0.427,   5.968,   1.658, 35,  0,   0.615,   3.797,   1.055,   0.003,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:117, 41091065451095,    6.111,   11.000,  900,   2.647,  16.726,   4.646,   0.878,   6.062,   1.684, 35,  0,   0.602,   3.861,   1.073,   0.000,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:232, 41091386515983,    6.226,    2.000, 2800,   2.797,  17.046,   4.735,   1.147,   6.193,   1.720, 40,  0,   0.578,   3.927,   1.091,   0.000,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:341, 41091693794140,    6.335,    7.000,  800,   5.517,  17.649,   4.903,   3.696,   6.597,   1.833, 35,  0,   0.666,   4.000,   1.111,   0.060,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:464, 41092041043734,    6.459,   22.000,  900,   2.916,  18.010,   5.003,   1.052,   6.727,   1.869, 36,  0,   0.648,   4.080,   1.133,   0.055,   0.101,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:556, 41092297530654,    6.550,    3.000,  800,   1.958,  18.189,   5.052,   0.285,   6.753,   1.876, 35,  0,   0.600,   4.135,   1.149,   0.011,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:663, 41092599651078,    6.658,    2.000,  800,   1.821,  18.385,   5.107,   0.204,   6.775,   1.882, 35,  0,   0.556,   4.195,   1.165,   0.000,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:776, 41092915965299,    6.770,    5.000,  900,   2.149,  18.627,   5.174,   0.488,   6.830,   1.897, 35,  0,   0.564,   4.258,   1.183,   0.000,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:887, 41093228601212,    6.882,    2.000,  800,   1.862,  18.834,   5.232,   0.240,   6.857,   1.905, 35,  0,   0.564,   4.321,   1.200,   0.000,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:21:995, 41093532007999,    6.990,    4.000,  800,   1.958,  19.046,   5.290,   0.306,   6.890,   1.914, 35,  0,   0.565,   4.382,   1.217,   0.006,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:103, 41093834895226,    7.098,    5.000,  900,   2.163,  19.279,   5.355,   0.458,   6.939,   1.928, 36,  0,   0.600,   4.447,   1.235,   0.000,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:215, 41094147617139,    7.209,    4.000,  800,   2.027,  19.505,   5.418,   0.372,   6.981,   1.939, 35,  0,   0.570,   4.510,   1.253,   0.010,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:324, 41094455176187,    7.318,    3.000,  800,   2.016,  19.725,   5.479,   0.310,   7.015,   1.949, 35,  0,   0.606,   4.577,   1.271,   0.016,   0.105,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:471, 41094869830055,    7.466,   24.000,  900,   2.824,  20.142,   5.595,   1.014,   7.164,   1.990, 35,  0,   0.629,   4.670,   1.297,   0.032,   0.110,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:541, 41095062387205,    7.535,    9.000, 2800,   7.134,  20.632,   5.731,   5.271,   7.526,   2.091, 37,  0,   0.675,   4.716,   1.310,   0.041,   0.112,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:653, 41095378829262,    7.647,    7.000, 1300,   3.211,  20.993,   5.832,   1.443,   7.689,   2.136, 35,  0,   0.636,   4.788,   1.330,   0.019,   0.115,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:757, 41095669599800,    7.751,   21.000,  800,   3.633,  21.370,   5.936,   1.756,   7.870,   2.186, 36,  0,   0.799,   4.870,   1.353,   0.037,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:868, 41095982132058,    7.862,    3.000,  800,   1.833,  21.574,   5.993,   0.212,   7.894,   2.193, 35,  0,   0.563,   4.933,   1.370,   0.000,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:22:980, 41096295932387,    7.974,    2.000,  800,   1.838,  21.779,   6.050,   0.224,   7.919,   2.200, 35,  0,   0.559,   4.996,   1.388,   0.000,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:091, 41096606939104,    8.085,    6.000,  800,   2.266,  22.030,   6.119,   0.566,   7.982,   2.217, 36,  0,   0.588,   5.061,   1.406,   0.000,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:198, 41096908738205,    8.192,    1.000,  800,   1.755,  22.219,   6.172,   0.153,   7.998,   2.222, 35,  0,   0.555,   5.120,   1.422,   0.000,   0.118,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:308, 41097216672133,    8.302,    5.000,  800,   2.099,  22.449,   6.236,   0.405,   8.042,   2.234, 36,  0,   0.597,   5.186,   1.441,   0.017,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:463, 41097652880685,    8.457,   20.000,  900,   2.702,  22.869,   6.352,   0.842,   8.173,   2.270, 35,  0,   0.646,   5.286,   1.468,   0.062,   0.130,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:528, 41097833961849,    8.522,   13.000,  900,   2.850,  23.052,   6.403,   0.987,   8.237,   2.288, 35,  0,   0.677,   5.330,   1.480,   0.024,   0.131,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:632, 41098127378310,    8.626,    8.000,  800,   6.676,  23.750,   6.597,   4.859,   8.745,   2.429, 36,  0,   0.672,   5.400,   1.500,   0.027,   0.134,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:742, 41098435841015,    8.736,   12.000,  900,   2.862,  24.064,   6.685,   0.997,   8.854,   2.459, 36,  0,   0.648,   5.471,   1.520,   0.048,   0.140,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:855, 41098754487526,    8.850,    2.000,  800,   1.955,  24.286,   6.746,   0.287,   8.887,   2.469, 35,  0,   0.576,   5.536,   1.538,   0.000,   0.140,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:23:965, 41099063439102,    8.960,    1.000,  800,   1.763,  24.480,   6.800,   0.166,   8.905,   2.474, 35,  0,   0.555,   5.597,   1.555,   0.000,   0.140,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:075, 41099372214623,    9.070,    8.000,  900,   2.278,  24.731,   6.870,   0.606,   8.972,   2.492, 36,  0,   0.585,   5.662,   1.573,   0.000,   0.140,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:185, 41099679797801,    9.179,    3.000,  800,   1.894,  24.938,   6.927,   0.258,   9.000,   2.500, 35,  0,   0.571,   5.724,   1.590,   0.000,   0.140,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:294, 41099986999732,    9.288,    2.000,  800,   1.799,  25.135,   6.982,   0.210,   9.023,   2.506, 35,  0,   0.552,   5.785,   1.607,   0.000,   0.140,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:453, 41100436030218,    9.448,   15.000, 1400,   2.898,  25.599,   7.111,   1.021,   9.186,   2.552, 36,  0,   0.644,   5.888,   1.635,   0.066,   0.150,   0.042,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:511, 41100595861578,    9.505,    3.000, 1400,   2.451,  25.738,   7.149,   0.743,   9.228,   2.563, 35,  0,   0.655,   5.925,   1.646,   0.010,   0.151,   0.042,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:617, 41100893415784,    9.611,    6.000,  800,   2.340,  25.986,   7.218,   0.630,   9.295,   2.582, 35,  0,   0.598,   5.988,   1.663,   0.000,   0.151,   0.042,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:726, 41101199925697,    9.720,   12.000, 1500,   7.634,  26.819,   7.450,   5.821,   9.930,   2.758, 39,  0,   0.739,   6.069,   1.686,   0.035,   0.154,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:09:24:836, 41101508596112,    9.830,    6.000,  800,   3.184,  27.169,   7.547,   1.408,  10.085,   2.801, 36,  0,   0.631,   6.138,   1.705,   0.023,   0.157,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
