System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:53:55:852, 38492920257643,    0.097,    4.000,  800,   2.877,   0.279,   0.078,   1.081,   0.105,   0.029, 35,  0,   0.653,   0.063,   0.018,   0.032,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:55:965, 38493235723097,    0.209,    5.000,  800,   2.093,   0.514,   0.143,   0.373,   0.147,   0.041, 35,  0,   0.622,   0.133,   0.037,   0.012,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:070, 38493530060954,    0.314,   10.000,  800,   2.553,   0.782,   0.217,   0.748,   0.225,   0.063, 35,  0,   0.653,   0.202,   0.056,   0.005,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:185, 38493854934998,    0.430,    3.000,  800,   1.949,   1.007,   0.280,   0.290,   0.259,   0.072, 35,  0,   0.580,   0.269,   0.075,   0.000,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:289, 38494147635413,    0.534,    3.000,  800,   1.938,   1.209,   0.336,   0.301,   0.290,   0.081, 35,  0,   0.576,   0.329,   0.091,   0.000,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:399, 38494453632968,    0.643,   28.000,  900,   3.595,   1.601,   0.445,   1.633,   0.468,   0.130, 36,  0,   0.748,   0.410,   0.114,   0.096,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:512, 38494772394053,    0.757,   17.000,  900,   3.132,   1.957,   0.544,   1.215,   0.606,   0.168, 36,  0,   0.666,   0.486,   0.135,   0.067,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:619, 38495072822334,    0.864,   18.000,  900,   3.011,   2.279,   0.633,   1.177,   0.732,   0.203, 36,  0,   0.553,   0.545,   0.151,   0.004,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:731, 38495388418609,    0.976,   24.000,  900,   3.279,   2.647,   0.735,   1.424,   0.892,   0.248, 36,  0,   0.595,   0.612,   0.170,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:839, 38495692053843,    1.084,   10.000,  800,   2.495,   2.917,   0.810,   0.655,   0.963,   0.267, 36,  0,   0.707,   0.688,   0.191,   0.063,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:56:945, 38495989921538,    1.190,    5.000,  800,   2.079,   3.138,   0.872,   0.405,   1.006,   0.279, 36,  0,   0.602,   0.752,   0.209,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:057, 38496301252261,    1.301,   14.000,  800,   2.766,   3.444,   0.957,   0.957,   1.112,   0.309, 36,  0,   0.677,   0.827,   0.230,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:169, 38496617800372,    1.414,    8.000,  800,   2.336,   3.708,   1.030,   0.592,   1.179,   0.327, 35,  0,   0.658,   0.901,   0.250,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:276, 38496920048411,    1.521,    5.000,  800,   2.101,   3.934,   1.093,   0.422,   1.224,   0.340, 35,  0,   0.601,   0.966,   0.268,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:387, 38497229241461,    1.632,   20.000,  900,   3.064,   4.271,   1.186,   1.173,   1.353,   0.376, 36,  0,   0.680,   1.041,   0.289,   0.070,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:493, 38497527388036,    1.738,    8.000,  800,   2.341,   4.520,   1.256,   0.573,   1.414,   0.393, 36,  0,   0.682,   1.113,   0.309,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:604, 38497837428250,    1.848,    4.000,  800,   2.072,   4.749,   1.319,   0.392,   1.457,   0.405, 36,  0,   0.594,   1.179,   0.327,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:711, 38498139309227,    1.956,    9.000,  900,   2.421,   5.009,   1.391,   0.683,   1.531,   0.425, 36,  0,   0.600,   1.243,   0.345,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:822, 38498450238297,    2.066,    3.000,  800,   1.987,   5.229,   1.452,   0.325,   1.567,   0.435, 35,  0,   0.586,   1.308,   0.363,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:57:931, 38498756965225,    2.176,   17.000,  800,   2.534,   5.506,   1.529,   0.833,   1.658,   0.461, 36,  0,   0.651,   1.379,   0.383,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
19:53:58:041, 38499065237645,    2.285,   47.000, 2800,   5.319,   6.090,   1.692,   3.334,   2.024,   0.562, 38,  0,   0.920,   1.480,   0.411,   0.051,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:152, 38499376851514,    2.396,   12.000, 2800,  10.617,   7.268,   2.019,   8.652,   2.984,   0.829, 37,  0,   0.746,   1.563,   0.434,   0.085,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:259, 38499678697881,    2.504,    3.000,  800,   2.089,   7.492,   2.081,   0.400,   3.027,   0.841, 36,  0,   0.601,   1.628,   0.452,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:370, 38499990590858,    2.615,   17.000,  900,   2.971,   7.822,   2.173,   1.095,   3.149,   0.875, 36,  0,   0.630,   1.698,   0.472,   0.071,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:477, 38500290271886,    2.722,    4.000,  800,   2.055,   8.042,   2.234,   0.337,   3.185,   0.885, 36,  0,   0.635,   1.765,   0.490,   0.009,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:585, 38500594807143,    2.830,    3.000,  800,   1.972,   8.256,   2.293,   0.277,   3.215,   0.893, 35,  0,   0.599,   1.830,   0.508,   0.047,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:698, 38500911369839,    2.943,    5.000,  800,   2.132,   8.496,   2.360,   0.456,   3.266,   0.907, 35,  0,   0.579,   1.896,   0.527,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:807, 38501217796977,    3.052,    1.000,  800,   1.723,   8.684,   2.412,   0.138,   3.281,   0.911, 35,  0,   0.548,   1.956,   0.543,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:58:918, 38501528655624,    3.163,    2.000,  800,   1.866,   8.891,   2.470,   0.242,   3.308,   0.919, 35,  0,   0.562,   2.018,   0.560,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:59:028, 38501836444926,    3.272,    6.000,  800,   2.265,   9.139,   2.539,   0.513,   3.364,   0.934, 36,  0,   0.624,   2.086,   0.579,   0.032,   0.070,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:59:139, 38502147919748,    3.383,    2.000,  800,   1.857,   9.345,   2.596,   0.239,   3.391,   0.942, 35,  0,   0.555,   2.148,   0.597,   0.000,   0.070,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
19:53:59:248, 38502455055595,    3.493,   18.000,  800,   2.707,   9.641,   2.678,   0.973,   3.497,   0.971, 36,  0,   0.640,   2.218,   0.616,   0.000,   0.070,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
