System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:17:30:043, 22246354990453,    0.107,    2.000, 3500,   5.611,   0.602,   0.167,   3.468,   0.372,   0.103, 47,  0,   0.682,   0.073,   0.020,   0.298,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:151, 22246659483506,    0.216,    1.000, 3500,   4.712,   1.113,   0.309,   2.723,   0.667,   0.185, 43,  0,   0.615,   0.140,   0.039,   0.123,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:258, 22246960859232,    0.323,    1.000, 3500,   4.149,   1.558,   0.433,   2.234,   0.907,   0.252, 42,  0,   0.602,   0.204,   0.057,   0.008,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:372, 22247279747430,    0.437,    6.000, 3600,   6.114,   2.252,   0.626,   4.219,   1.386,   0.385, 43,  0,   0.608,   0.274,   0.076,   0.054,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:478, 22247579037390,    0.543,    0.000, 3600,   3.221,   2.596,   0.721,   1.362,   1.531,   0.425, 41,  0,   0.559,   0.333,   0.093,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:585, 22247879037048,    0.650,    3.000, 3600,   4.811,   3.109,   0.864,   2.957,   1.847,   0.513, 42,  0,   0.634,   0.401,   0.111,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:698, 22248195823271,    0.763,    1.000, 3800,   3.947,   3.555,   0.987,   2.099,   2.084,   0.579, 42,  0,   0.571,   0.465,   0.129,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:805, 22248497398140,    0.870,    2.000, 3500,   4.953,   4.087,   1.135,   3.123,   2.419,   0.672, 44,  0,   0.618,   0.532,   0.148,   0.019,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:30:915, 22248804001878,    0.979,   12.000, 3400,  12.818,   5.486,   1.524,  10.551,   3.571,   0.992, 50,  0,   0.776,   0.617,   0.171,   0.395,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:31:025, 22249114108851,    1.090,    5.000, 3500,   8.003,   6.370,   1.769,   5.674,   4.198,   1.166, 43,  0,   0.700,   0.694,   0.193,   0.362,   0.137,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:31:133, 22249416592250,    1.198,    1.000, 3600,   4.128,   6.815,   1.893,   2.231,   4.438,   1.233, 42,  0,   0.601,   0.759,   0.211,   0.104,   0.149,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:31:247, 22249738053327,    1.312,    2.000, 3400,   4.697,   7.353,   2.042,   2.805,   4.760,   1.322, 42,  0,   0.634,   0.831,   0.231,   0.000,   0.149,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:31:356, 22250044484411,    1.421,    8.000, 3600,   6.828,   8.098,   2.249,   4.937,   5.298,   1.472, 43,  0,   0.649,   0.902,   0.251,   0.026,   0.152,   0.042,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:17:31:465, 22250347911525,    1.529,    1.000, 3600,   4.525,   8.587,   2.385,   2.656,   5.585,   1.552, 42,  0,   0.608,   0.968,   0.269,   0.042,   0.156,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
