System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:15:51:773, 21970413246398,    0.107,    3.000, 3500,   5.540,   0.590,   0.164,   3.653,   0.389,   0.108, 42,  0,   0.630,   0.067,   0.019,   0.030,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:51:885, 21970729497288,    0.219,    1.000, 3400,   4.213,   1.065,   0.296,   2.314,   0.650,   0.180, 42,  0,   0.604,   0.135,   0.038,   0.049,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:51:998, 21971044439698,    0.331,    3.000, 3500,   5.995,   1.737,   0.483,   4.159,   1.116,   0.310, 44,  0,   0.626,   0.205,   0.057,   0.005,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:101, 21971334209600,    0.435,    3.000, 3600,   5.687,   2.324,   0.646,   3.820,   1.510,   0.420, 43,  0,   0.669,   0.274,   0.076,   0.031,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:211, 21971644807388,    0.545,    6.000, 3600,   8.505,   3.265,   0.907,   6.509,   2.230,   0.620, 45,  0,   0.671,   0.349,   0.097,   0.046,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:341, 21972008381495,    0.675,   12.000, 3600,   6.307,   4.081,   1.134,   4.402,   2.800,   0.778, 54,  0,   0.619,   0.429,   0.119,   0.104,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:431, 21972260340715,    0.764,    1.000, 3600,   4.480,   4.483,   1.245,   2.479,   3.023,   0.840, 42,  0,   0.610,   0.484,   0.134,   0.053,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:539, 21972565920175,    0.873,    3.000, 3500,   6.042,   5.141,   1.428,   4.127,   3.472,   0.964, 42,  0,   0.649,   0.554,   0.154,   0.073,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:651, 21972879027151,    0.985,    2.000, 3800,   5.030,   5.702,   1.584,   3.128,   3.821,   1.061, 42,  0,   0.632,   0.625,   0.174,   0.019,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:15:52:761, 21973188145025,    1.095,    2.000, 3400,   4.387,   6.185,   1.718,   2.610,   4.108,   1.141, 42,  0,   0.604,   0.691,   0.192,   0.000,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
