System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:09:32:009, 10788471453524,    0.111,    2.000, 3600,   9.064,   1.007,   0.280,   5.141,   0.571,   0.159, 54,  0,   0.589,   0.065,   0.018,   1.996,   0.222,   0.062,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:124, 10788797356081,    0.227,   12.000, 3600,   9.042,   2.057,   0.571,   5.254,   1.181,   0.328, 63,  0,   0.553,   0.130,   0.036,   1.999,   0.454,   0.126,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:227, 10789084533790,    0.329,    1.000, 3800,   7.795,   2.854,   0.793,   3.879,   1.578,   0.438, 54,  0,   0.550,   0.186,   0.052,   2.012,   0.660,   0.183,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:335, 10789388784730,    0.438,    1.000, 3600,   7.931,   3.713,   1.031,   4.079,   2.020,   0.561, 54,  0,   0.536,   0.244,   0.068,   1.977,   0.874,   0.243,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:444, 10789694893042,    0.547,    0.000, 3600,   7.064,   4.483,   1.245,   3.242,   2.373,   0.659, 54,  0,   0.517,   0.300,   0.083,   1.981,   1.090,   0.303,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:557, 10790012774233,    0.660,    1.000, 3600,   7.694,   5.354,   1.487,   3.889,   2.814,   0.782, 54,  0,   0.522,   0.359,   0.100,   1.975,   1.313,   0.365,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:665, 10790315109685,    0.768,    3.000, 3600,   9.296,   6.355,   1.765,   5.423,   3.398,   0.944, 54,  0,   0.605,   0.425,   0.118,   1.992,   1.528,   0.424,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:773, 10790618751058,    0.876,    2.000, 3600,   8.568,   7.282,   2.023,   4.754,   3.912,   1.087, 54,  0,   0.577,   0.487,   0.135,   1.995,   1.744,   0.484,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:885, 10790933248059,    0.988,    3.000, 3600,   9.097,   8.300,   2.306,   5.216,   4.496,   1.249, 54,  0,   0.578,   0.552,   0.153,   1.992,   1.967,   0.546,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:32:997, 10791247816700,    1.100,    1.000, 3600,   8.238,   9.223,   2.562,   4.425,   4.991,   1.387, 54,  0,   0.532,   0.611,   0.170,   1.979,   2.188,   0.608,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:119, 10791591030715,    1.222,   12.000, 3600,   9.222,  10.350,   2.875,   5.444,   5.657,   1.571, 65,  0,   0.539,   0.677,   0.188,   1.996,   2.432,   0.676,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:214, 10791855356391,    1.316,    0.000, 3600,   7.579,  11.064,   3.073,   3.656,   6.001,   1.667, 54,  0,   0.540,   0.728,   0.202,   2.007,   2.621,   0.728,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:325, 10792169602872,    1.428,    2.000, 3600,   8.619,  12.029,   3.341,   4.830,   6.542,   1.817, 54,  0,   0.548,   0.789,   0.219,   1.976,   2.843,   0.790,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:432, 10792468908880,    1.535,    2.000, 3500,   8.414,  12.925,   3.590,   4.554,   7.027,   1.952, 54,  0,   0.535,   0.846,   0.235,   1.971,   3.053,   0.848,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:540, 10792771124402,    1.642,    4.000, 3500,   9.358,  13.932,   3.870,   5.550,   7.624,   2.118, 57,  0,   0.573,   0.908,   0.252,   1.971,   3.265,   0.907,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:653, 10793088109905,    1.755,    1.000, 3800,   7.715,  14.803,   4.112,   3.913,   8.066,   2.241, 54,  0,   0.515,   0.966,   0.268,   1.968,   3.487,   0.969,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:760, 10793390305113,    1.863,    1.000, 3600,   8.119,  15.677,   4.355,   4.326,   8.532,   2.370, 54,  0,   0.537,   1.024,   0.284,   1.970,   3.699,   1.027,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:869, 10793695937893,    1.972,    2.000, 3600,   9.005,  16.657,   4.627,   5.109,   9.088,   2.524, 54,  0,   0.560,   1.085,   0.301,   1.985,   3.915,   1.087,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:33:978, 10794001189053,    2.080,    0.000, 3500,   7.541,  17.477,   4.855,   3.770,   9.497,   2.638, 53,  0,   0.509,   1.140,   0.317,   1.972,   4.129,   1.147,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:091, 10794318536567,    2.193,    2.000, 3500,   8.396,  18.426,   5.118,   4.589,  10.016,   2.782, 54,  0,   0.548,   1.202,   0.334,   1.970,   4.352,   1.209,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:197, 10794617260176,    2.300,    4.000, 3600,  10.188,  19.510,   5.419,   6.289,  10.685,   2.968, 54,  0,   0.576,   1.264,   0.351,   2.006,   4.565,   1.268,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:305, 10794921781531,    2.408,    1.000, 3600,   8.023,  20.380,   5.661,   4.294,  11.151,   3.097, 54,  0,   0.527,   1.321,   0.367,   1.984,   4.781,   1.328,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:417, 10795234939323,    2.520,    1.000, 3600,   7.852,  21.256,   5.904,   3.937,  11.590,   3.219, 54,  0,   0.523,   1.379,   0.383,   1.972,   5.000,   1.389,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:527, 10795543268118,    2.630,    1.000, 3600,   8.013,  22.135,   6.149,   4.188,  12.050,   3.347, 54,  0,   0.531,   1.437,   0.399,   1.969,   5.217,   1.449,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:637, 10795853443399,    2.740,    2.000, 3600,   8.485,  23.073,   6.409,   4.689,  12.568,   3.491, 54,  0,   0.539,   1.497,   0.416,   1.972,   5.435,   1.510,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:742, 10796146936563,    2.845,    1.000, 3600,   8.199,  23.930,   6.647,   4.361,  13.023,   3.618, 55,  0,   0.535,   1.553,   0.431,   1.976,   5.641,   1.567,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:856, 10796467638822,    2.959,    4.000, 3500,  10.164,  25.091,   6.970,   6.330,  13.746,   3.818, 54,  0,   0.599,   1.621,   0.450,   1.987,   5.868,   1.630,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:34:960, 10796760073185,    3.063,    1.000, 3600,   7.980,  25.922,   7.200,   4.199,  14.184,   3.940, 54,  0,   0.522,   1.676,   0.465,   1.970,   6.073,   1.687,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:071, 10797071703731,    3.174,    1.000, 3400,   8.366,  26.850,   7.458,   4.583,  14.692,   4.081, 55,  0,   0.558,   1.737,   0.483,   1.966,   6.291,   1.748,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:179, 10797373423397,    3.281,    4.000, 3600,  10.395,  27.967,   7.769,   6.513,  15.392,   4.276, 54,  0,   0.587,   1.801,   0.500,   2.020,   6.508,   1.808,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:289, 10797683071871,    3.392,    1.000, 3600,   8.134,  28.864,   8.018,   4.261,  15.862,   4.406, 54,  0,   0.526,   1.859,   0.516,   1.978,   6.727,   1.868,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:403, 10798002223285,    3.505,    1.000, 3600,   8.209,  29.797,   8.277,   4.451,  16.368,   4.547, 54,  0,   0.524,   1.918,   0.533,   1.966,   6.950,   1.931,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:511, 10798306035405,    3.613,    1.000, 3600,   8.026,  30.665,   8.518,   4.208,  16.823,   4.673, 54,  0,   0.532,   1.976,   0.549,   1.974,   7.164,   1.990,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:618, 10798607739791,    3.721,    2.000, 3500,   8.299,  31.557,   8.766,   4.433,  17.299,   4.805, 54,  0,   0.525,   2.032,   0.564,   1.981,   7.376,   2.049,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:729, 10798919747650,    3.832,    1.000, 3800,   8.228,  32.471,   9.020,   4.408,  17.789,   4.941, 54,  0,   0.536,   2.092,   0.581,   1.981,   7.596,   2.110,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:835, 10799216232260,    3.938,    1.000, 3600,   8.132,  33.330,   9.258,   4.311,  18.244,   5.068, 54,  0,   0.531,   2.148,   0.597,   1.969,   7.804,   2.168,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:35:950, 10799539369892,    4.053,    1.000, 3600,   8.085,  34.260,   9.517,   4.267,  18.735,   5.204, 54,  0,   0.524,   2.208,   0.613,   1.973,   8.031,   2.231,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:09:36:054, 10799831668141,    4.157,    1.000, 3600,   8.347,  35.129,   9.758,   4.530,  19.207,   5.335, 54,  0,   0.546,   2.265,   0.629,   1.976,   8.237,   2.288,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
