System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:07:26:164, 10435098453450,    0.096,    4.000, 3400,  13.160,   1.258,   0.349,   8.749,   0.836,   0.232, 54,  0,   0.681,   0.065,   0.018,   2.359,   0.225,   0.063,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:272, 10435403912352,    0.204,    1.000, 3600,   8.398,   2.171,   0.603,   4.449,   1.320,   0.367, 54,  0,   0.575,   0.128,   0.035,   2.078,   0.452,   0.125,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:387, 10435727246639,    0.319,    3.000, 3600,   8.998,   3.207,   0.891,   5.174,   1.916,   0.532, 54,  0,   0.606,   0.197,   0.055,   1.980,   0.680,   0.189,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:496, 10436031747676,    0.428,    2.000, 3600,   9.179,   4.203,   1.167,   5.367,   2.498,   0.694, 54,  0,   0.522,   0.254,   0.071,   1.982,   0.895,   0.248,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:604, 10436335811361,    0.536,    0.000, 3600,   7.513,   5.016,   1.393,   3.658,   2.894,   0.804, 54,  0,   0.530,   0.311,   0.087,   1.981,   1.109,   0.308,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:715, 10436647933261,    0.647,    0.000, 3600,   7.046,   5.799,   1.611,   3.229,   3.253,   0.904, 54,  0,   0.515,   0.369,   0.102,   1.982,   1.329,   0.369,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:820, 10436941214761,    0.752,    0.000, 3600,   6.731,   6.502,   1.806,   2.949,   3.561,   0.989, 54,  0,   0.505,   0.421,   0.117,   1.989,   1.537,   0.427,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:26:929, 10437249851358,    0.862,    1.000, 3600,   7.588,   7.336,   2.038,   3.797,   3.978,   1.105, 54,  0,   0.531,   0.480,   0.133,   1.973,   1.754,   0.487,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:044, 10437570673873,    0.976,    0.000, 3600,   6.858,   8.120,   2.256,   3.007,   4.322,   1.200, 53,  0,   0.523,   0.540,   0.150,   1.990,   1.981,   0.550,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:150, 10437868162652,    1.082,    5.000, 3600,   8.439,   9.014,   2.504,   4.563,   4.805,   1.335, 54,  0,   0.546,   0.597,   0.166,   2.020,   2.195,   0.610,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:262, 10438181987833,    1.194,    0.000, 3600,   7.506,   9.853,   2.737,   3.685,   5.217,   1.449, 54,  0,   0.536,   0.657,   0.183,   1.977,   2.416,   0.671,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:370, 10438484952769,    1.302,    0.000, 3600,   7.053,  10.614,   2.948,   3.215,   5.564,   1.546, 53,  0,   0.515,   0.713,   0.198,   1.982,   2.630,   0.731,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:475, 10438782404745,    1.408,    0.000, 3600,   6.718,  11.326,   3.146,   2.915,   5.873,   1.631, 54,  0,   0.508,   0.767,   0.213,   1.976,   2.839,   0.789,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:590, 10439104003509,    1.522,    0.000, 3800,   7.262,  12.157,   3.377,   3.474,   6.271,   1.742, 53,  0,   0.522,   0.827,   0.230,   1.978,   3.066,   0.852,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:696, 10439401979504,    1.628,    0.000, 3500,   6.772,  12.876,   3.577,   2.897,   6.578,   1.827, 53,  0,   0.513,   0.881,   0.245,   1.984,   3.277,   0.910,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:805, 10439707094057,    1.737,    1.000, 3600,   8.402,  13.789,   3.830,   4.630,   7.081,   1.967, 54,  0,   0.539,   0.940,   0.261,   1.959,   3.489,   0.969,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:27:914, 10440014036438,    1.846,    6.000, 3600,  10.959,  14.987,   4.163,   7.056,   7.852,   2.181, 55,  0,   0.647,   1.010,   0.281,   1.988,   3.707,   1.030,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:027, 10440332220722,    1.959,    2.000, 3400,   8.673,  15.970,   4.436,   4.841,   8.401,   2.334, 54,  0,   0.576,   1.076,   0.299,   1.991,   3.932,   1.092,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:134, 10440630789582,    2.066,    8.000, 3600,  10.111,  17.045,   4.735,   6.270,   9.068,   2.519, 55,  0,   0.576,   1.137,   0.316,   2.027,   4.148,   1.152,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:243, 10440937104129,    2.175,    1.000, 3600,   7.956,  17.913,   4.976,   4.116,   9.517,   2.644, 54,  0,   0.539,   1.195,   0.332,   1.981,   4.364,   1.212,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:353, 10441245301836,    2.285,    1.000, 3600,   8.083,  18.800,   5.222,   4.256,   9.984,   2.773, 54,  0,   0.529,   1.254,   0.348,   1.972,   4.580,   1.272,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:462, 10441552436351,    2.394,    2.000, 3600,   8.533,  19.733,   5.481,   4.801,  10.509,   2.919, 53,  0,   0.552,   1.314,   0.365,   1.971,   4.796,   1.332,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:572, 10441862110523,    2.504,    1.000, 3600,   8.132,  20.630,   5.731,   4.231,  10.976,   3.049, 54,  0,   0.532,   1.373,   0.381,   1.980,   5.014,   1.393,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:681, 10442166285499,    2.613,    1.000, 3600,   7.991,  21.496,   5.971,   4.165,  11.427,   3.174, 53,  0,   0.531,   1.430,   0.397,   1.976,   5.228,   1.452,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:790, 10442474821335,    2.722,    2.000, 3600,   8.485,  22.428,   6.230,   4.677,  11.941,   3.317, 53,  0,   0.550,   1.491,   0.414,   1.979,   5.446,   1.513,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:07:28:904, 10442793431703,    2.836,    1.000, 3600,   7.589,  23.289,   6.469,   3.834,  12.376,   3.438, 53,  0,   0.515,   1.549,   0.430,   1.968,   5.669,   1.575,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
