System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:03:45:335, 19930574898155,    0.104,    5.000, 3600,   5.624,   0.584,   0.162,   3.552,   0.369,   0.102, 45,  0,   0.647,   0.067,   0.019,   0.149,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:45:448, 19930893093753,    0.217,    2.000, 3600,   5.143,   1.166,   0.324,   3.210,   0.732,   0.203, 44,  0,   0.631,   0.139,   0.039,   0.039,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:45:559, 19931203296358,    0.328,    1.000, 3600,   4.101,   1.620,   0.450,   2.224,   0.978,   0.272, 44,  0,   0.603,   0.205,   0.057,   0.016,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:45:666, 19931504705020,    0.435,    1.000, 3600,   3.827,   2.030,   0.564,   1.981,   1.191,   0.331, 44,  0,   0.570,   0.266,   0.074,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:45:773, 19931804353646,    0.542,    1.000, 3600,   3.913,   2.448,   0.680,   2.076,   1.412,   0.392, 43,  0,   0.562,   0.326,   0.091,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:45:886, 19932121469249,    0.655,    0.000, 3600,   3.328,   2.824,   0.784,   1.488,   1.580,   0.439, 43,  0,   0.550,   0.388,   0.108,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:45:998, 19932436876494,    0.767,    0.000, 3600,   3.078,   3.169,   0.880,   1.250,   1.721,   0.478, 43,  0,   0.544,   0.450,   0.125,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:106, 19932738864810,    0.874,    1.000, 3500,   4.419,   3.645,   1.012,   2.547,   1.995,   0.554, 43,  0,   0.588,   0.513,   0.142,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:213, 19933041565774,    0.982,    0.000, 3600,   3.440,   4.016,   1.115,   1.635,   2.171,   0.603, 43,  0,   0.543,   0.571,   0.159,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:322, 19933346022283,    1.091,    6.000, 3600,   4.379,   4.490,   1.247,   2.538,   2.446,   0.679, 45,  0,   0.551,   0.631,   0.175,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:429, 19933645894971,    1.197,    1.000, 3500,   4.192,   4.938,   1.372,   2.274,   2.689,   0.747, 43,  0,   0.590,   0.694,   0.193,   0.055,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:541, 19933960642323,    1.310,    0.000, 3600,   2.953,   5.269,   1.464,   1.117,   2.814,   0.782, 44,  0,   0.545,   0.755,   0.210,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:652, 19934273003961,    1.421,    1.000, 3600,   3.714,   5.682,   1.578,   1.881,   3.023,   0.840, 44,  0,   0.556,   0.817,   0.227,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:757, 19934567217634,    1.526,    1.000, 3600,   3.736,   6.074,   1.687,   1.905,   3.223,   0.895, 43,  0,   0.573,   0.877,   0.244,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:868, 19934880570560,    1.637,   10.000, 3600,   9.819,   7.170,   1.992,   7.966,   4.112,   1.142, 47,  0,   0.668,   0.952,   0.264,   0.054,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:46:980, 19935194125759,    1.749,    3.000, 3600,   5.905,   7.829,   2.175,   3.941,   4.552,   1.264, 45,  0,   0.691,   1.029,   0.286,   0.021,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:47:089, 19935500233688,    1.858,    2.000, 3500,   4.320,   8.300,   2.306,   2.427,   4.816,   1.338, 44,  0,   0.627,   1.097,   0.305,   0.009,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:03:47:197, 19935804570390,    1.966,    1.000, 3600,   4.278,   8.763,   2.434,   2.424,   5.079,   1.411, 44,  0,   0.603,   1.163,   0.323,   0.000,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
