System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:45:53:028, 16919534935545,    0.108,    2.000, 3800,   5.481,   0.591,   0.164,   3.402,   0.367,   0.102, 46,  0,   0.652,   0.070,   0.020,   0.081,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:138, 16919842482536,    0.217,    2.000, 3600,   4.893,   1.127,   0.313,   2.970,   0.692,   0.192, 46,  0,   0.626,   0.139,   0.039,   0.051,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:247, 16920149773280,    0.327,    1.000, 3600,   4.228,   1.590,   0.442,   2.348,   0.949,   0.264, 46,  0,   0.591,   0.204,   0.057,   0.025,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:351, 16920441229760,    0.431,    4.000, 3600,   4.982,   2.107,   0.585,   3.108,   1.272,   0.353, 45,  0,   0.640,   0.270,   0.075,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:465, 16920761462167,    0.545,    1.000, 3800,   4.068,   2.571,   0.714,   2.210,   1.524,   0.423, 45,  0,   0.571,   0.335,   0.093,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:570, 16921057036489,    0.650,    2.000, 3600,   4.216,   3.015,   0.837,   2.433,   1.780,   0.494, 46,  0,   0.601,   0.398,   0.111,   0.012,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:679, 16921364914810,    0.760,    4.000, 3600,   6.639,   3.743,   1.040,   4.710,   2.297,   0.638, 46,  0,   0.676,   0.473,   0.131,   0.016,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:791, 16921676168651,    0.870,    5.000, 3800,   7.144,   4.535,   1.260,   5.050,   2.856,   0.793, 46,  0,   0.685,   0.548,   0.152,   0.160,   0.038,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:53:904, 16921993815227,    0.984,    1.000, 3800,   3.979,   4.985,   1.385,   2.098,   3.094,   0.859, 45,  0,   0.591,   0.615,   0.171,   0.019,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
17:45:54:009, 16922288432719,    1.088,    3.000, 3600,   5.466,   5.558,   1.544,   3.588,   3.470,   0.964, 46,  0,   0.658,   0.684,   0.190,   0.000,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
