System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:49:12:838, 47807021932181,    0.108,    4.000,  800,   3.803,   0.409,   0.114,   1.926,   0.207,   0.058, 45,  0,   0.723,   0.078,   0.022,   0.054,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:946, 47807324524234,    0.215,    5.000,  800,   2.184,   0.645,   0.179,   0.445,   0.255,   0.071, 44,  0,   0.629,   0.146,   0.040,   0.013,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:054, 47807629121261,    0.324,    9.000,  900,   2.431,   0.908,   0.252,   0.651,   0.326,   0.091, 44,  0,   0.648,   0.216,   0.060,   0.004,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:194, 47808023864461,    0.464,   15.000,  900,   2.385,   1.244,   0.345,   0.652,   0.418,   0.116, 43,  0,   0.583,   0.298,   0.083,   0.023,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:276, 47808251407424,    0.545,    1.000,  800,   1.915,   1.399,   0.389,   0.218,   0.435,   0.121, 43,  0,   0.602,   0.347,   0.096,   0.009,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:384, 47808554792854,    0.654,    6.000,  900,   2.227,   1.639,   0.455,   0.543,   0.494,   0.137, 44,  0,   0.581,   0.409,   0.114,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:495, 47808866268364,    0.764,   22.000,  900,   3.315,   2.007,   0.558,   1.456,   0.656,   0.182, 45,  0,   0.703,   0.487,   0.135,   0.020,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:601, 47809164602991,    0.871,   19.000, 2500,   3.861,   2.417,   0.672,   1.969,   0.865,   0.240, 46,  0,   0.655,   0.557,   0.155,   0.017,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:714, 47809482458113,    0.984,    9.000,  800,   3.005,   2.758,   0.766,   1.212,   1.002,   0.278, 44,  0,   0.648,   0.630,   0.175,   0.005,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:823, 47809787925274,    1.093,    8.000,  800,   2.319,   3.010,   0.836,   0.573,   1.064,   0.296, 44,  0,   0.661,   0.702,   0.195,   0.007,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:934, 47810099273592,    1.204,    9.000,  800,   2.418,   3.278,   0.911,   0.631,   1.134,   0.315, 44,  0,   0.695,   0.779,   0.216,   0.012,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:046, 47810413273744,    1.315,    9.000,  800,   2.400,   3.546,   0.985,   0.665,   1.209,   0.336, 44,  0,   0.636,   0.850,   0.236,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:196, 47810836854579,    1.466,   20.000,  900,   2.704,   3.954,   1.098,   0.906,   1.345,   0.374, 44,  0,   0.658,   0.950,   0.264,   0.030,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:259, 47811011170765,    1.528,    9.000,  800,   2.485,   4.108,   1.141,   0.672,   1.387,   0.385, 44,  0,   0.713,   0.994,   0.276,   0.011,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:370, 47811324323180,    1.640,   10.000,  900,   2.557,   4.394,   1.220,   0.782,   1.474,   0.409, 44,  0,   0.654,   1.067,   0.296,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:480, 47811634366309,    1.750,    9.000,  800,   2.459,   4.665,   1.296,   0.726,   1.554,   0.432, 44,  0,   0.611,   1.134,   0.315,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:587, 47811934094831,    1.857,   14.000, 2800,   3.731,   5.063,   1.406,   1.900,   1.757,   0.488, 45,  0,   0.566,   1.195,   0.332,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:697, 47812243086582,    1.967,   16.000,  900,   5.361,   5.653,   1.570,   3.507,   2.143,   0.595, 45,  0,   0.605,   1.261,   0.350,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:804, 47812543345110,    2.074,    3.000,  800,   2.039,   5.871,   1.631,   0.383,   2.184,   0.607, 44,  0,   0.586,   1.324,   0.368,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:14:914, 47812850829000,    2.183,   16.000,  800,   2.855,   6.184,   1.718,   1.008,   2.294,   0.637, 44,  0,   0.742,   1.405,   0.390,   0.017,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:15:028, 47813171802338,    2.298,    7.000,  900,   2.386,   6.457,   1.794,   0.651,   2.369,   0.658, 44,  0,   0.610,   1.475,   0.410,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:15:136, 47813475735782,    2.406,    4.000,  800,   2.050,   6.679,   1.855,   0.374,   2.409,   0.669, 43,  0,   0.595,   1.539,   0.428,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:15:241, 47813772800042,    2.512,   18.000, 1400,   3.244,   7.022,   1.950,   1.339,   2.551,   0.709, 44,  0,   0.695,   1.613,   0.448,   0.063,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
